<h>
Share	VB	share
Keir	NP	Keir
Starmer	NP	Starmer
,	,	,
in	IN	in
which	WDT	which
he	PP	he
said	VBD	say
Israel	NP	Israel
had	VBD	have
the	DT	the
right	NN	right
to	TO	to
withhold	VB	withhold
water	NN	water
and	CC	and
power	NN	power
from	IN	from
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Starmer	NP	Starmer
has	VBZ	have
also	RB	also
faced	VBN	face
criticism	NN	criticism
from	IN	from
Muslim	JJ	Muslim
voters	NNS	voter
for	IN	for
being	VBG	be
too	RB	too
slow	JJ	slow
to	TO	to
call	VB	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
.	SENT	.
<p>
The	DT	the
party	NN	party
'	POS	'
s	NN	S
vote	NN	vote
is	VBZ	be
down	RB	down
on	IN	on
average	NN	average
by	IN	by
11	CD	@card@
points	NNS	point
in	IN	in
seats	NNS	seat
where	WRB	where
more	JJR	more
than	IN	than
10	CD	@card@
per	IN	per
cent	NN	cent
of	IN	of
the	DT	the
population	NN	population
identify	VB	identify
as	IN	as
Muslim	NP	Muslim
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
Jonathan	NP	Jonathan
Ashworth	NP	Ashworth
,	,	,
the	DT	the
shadow	NN	shadow
Cabinet	NP	Cabinet
Office	NP	Office
Minister	NP	Minister
,	,	,
lost	VBD	lose
his	PP$	his
Leicester	NP	Leicester
South	NP	South
seat	NN	seat
to	TO	to
the	DT	the
independent	JJ	independent
,	,	,
Adam	NP	Adam
Shockat	NP	<unknown>
,	,	,
who	WP	who
declared	VBD	declare
:	:	:
'	''	'
This	DT	this
is	VBZ	be
for	IN	for
Gaza	NP	Gaza
'	POS	'
.	SENT	.
Ashworth	NP	Ashworth
had	VBD	have
a	DT	a
majority	NN	majority
of	IN	of
more	JJR	more
than	IN	than
22,000	CD	@card@
at	IN	at
the	DT	the
last	JJ	last
election	NN	election
but	CC	but
lost	VBD	lose
by	IN	by
979	CD	@card@
votes	NNS	vote
.	SENT	.
The	DT	the
constituency	NN	constituency
,	,	,
where	WRB	where
around	RB	around
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
electorate	NN	electorate
are	VBP	be
Muslim	JJ	Muslim
,	,	,
had	VBD	have
been	VBN	be
held	VBN	hold
by	IN	by
Ashworth	NP	Ashworth
for	IN	for
13	CD	@card@
years	NNS	year
.	SENT	.
In	IN	in
nearby	JJ	nearby
Leicester	NP	Leicester
East	NP	East
,	,	,
the	DT	the
Conservatives	NNS	conservative
benefitted	VBN	benefit
from	IN	from
independent	JJ	independent
candidates	NNS	candidate
picking	VBG	pick
up	RP	up
several	JJ	several
thousand	CD	thousand
votes	NNS	vote
and	CC	and
splitting	VBG	split
the	DT	the
Labour	NP	Labour
vote	NN	vote
.	SENT	.
The	DT	the
Tories	NPS	Tories
won	VBD	win
by	IN	by
4,426	CD	@card@
votes	NNS	vote
.	SENT	.
<p>
In	IN	in
another	DT	another
high-profile	JJ	high-profile
contest	NN	contest
,	,	,
Shabana	NP	Shabana
Mahmood	NP	Mahmood
,	,	,
the	DT	the
shadow	NN	shadow
justice	NN	justice
secretary	NN	secretary
and	CC	and
a	DT	a
key	JJ	key
ally	NN	ally
of	IN	of
the	DT	the
Labour	NP	Labour
leader	NN	leader
Sir	NP	Sir
Keir	NP	Keir
Starmer	NP	Starmer
,	,	,
won	VBN	win
in	IN	in
Birmingham	NP	Birmingham
Ladywood	NP	<unknown>
by	IN	by
about	RB	about
3,500	CD	@card@
votes	NNS	vote
over	IN	over
the	DT	the
independent	JJ	independent
Akhmed	NP	<unknown>
Yakoob	NP	<unknown>
.	SENT	.
Mahmood	NP	Mahmood
had	VBD	have
a	DT	a
majority	NN	majority
of	IN	of
more	JJR	more
than	IN	than
32,000	CD	@card@
at	IN	at
the	DT	the
last	JJ	last
election	NN	election
.	SENT	.
In	IN	in
Birmingham	NP	Birmingham
Perry	NP	Perry
Barr	NP	Barr
,	,	,
Labour	NP	Labour
'	POS	'
s	NN	S
Khalid	NP	Khalid
Mahmood	NP	Mahmood
lost	VBD	lose
to	TO	to
independent	JJ	independent
Ayoub	NP	Ayoub
Khan	NP	Khan
by	IN	by
507	CD	@card@
votes	NNS	vote
.	SENT	.
And	CC	and
in	IN	in
Birmingham	NP	Birmingham
Hodge	NP	Hodge
Hill	NP	Hill
,	,	,
the	DT	the
former	JJ	former
cabinet	NN	cabinet
minister	NN	minister
Liam	NP	Liam
Byrne	NP	Byrne
squeaked	VBD	squeak
through	RP	through
by	IN	by
just	RB	just
over	IN	over
1,500	CD	@card@
votes	NNS	vote
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
former	JJ	former
adviser	NN	adviser
to	TO	to
Rachel	NP	Rachel
Reeves	NP	Reeves
,	,	,
lost	VBN	lose
by	IN	by
just	RB	just
under	IN	under
7,000	CD	@card@
votes	NNS	vote
to	TO	to
Iqbal	NP	Iqbal
Mohamed	NP	Mohamed
.	SENT	.
And	CC	and
in	IN	in
Blackburn	NP	Blackburn
,	,	,
the	DT	the
constituency	NN	constituency
once	RB	once
held	VBN	hold
by	IN	by
the	DT	the
former	JJ	former
cabinet	NN	cabinet
minister	NN	minister
Jack	NP	Jack
Straw	NP	Straw
,	,	,
Labour	NP	Labour
'	POS	'
s	NN	S
Kate	NP	Kate
Hollern	NP	<unknown>
lost	VBD	lose
by	IN	by
under	IN	under
200	CD	@card@
votes	NNS	vote
to	TO	to
the	DT	the
independent	JJ	independent
Adnan	NP	Adnan
Hussain	NP	Hussain
.	SENT	.
Both	DT	both
constituencies	NNS	constituency
had	VBD	have
previously	RB	previously
healthy	JJ	healthy
Labour	NP	Labour
majorities	NNS	majority
.	SENT	.
<p>
It	PP	it
was	VBD	be
n't	RB	n't
all	DT	all
bad	JJ	bad
news	NN	news
.	SENT	.
Labour	NP	Labour
will	MD	will
be	VB	be
pleased	VBN	please
to	TO	to
have	VB	have
won	VBN	win
back	RB	back
Rochdale	NP	Rochdale
.	SENT	.
George	NP	George
Galloway	NP	Galloway
won	VBD	win
the	DT	the
seat	NN	seat
at	IN	at
a	DT	a
controversial	JJ	controversial
by-election	NN	by-election
earlier	RBR	earlier
this	DT	this
year	NN	year
during	IN	during
which	WDT	which
Labour	NP	Labour
withdrew	VBD	withdraw
its	PP$	its
support	NN	support
from	IN	from
its	PP$	its
official	JJ	official
candidate	NN	candidate
Azhar	NP	Azhar
Ali	NP	Ali
over	IN	over
comments	NNS	comment
he	PP	he
made	VBD	make
about	IN	about
Israel	NP	Israel
.	SENT	.
Galloway	NP	Galloway
'	POS	'
s	NN	S
triumph	NN	triumph
has	VBZ	have
been	VBN	be
short-lived	JJ	short-lived
.	SENT	.
Parliament	NP	Parliament
will	MD	will
be	VB	be
a	DT	a
better	JJR	good
place	NN	place
without	IN	without
him	PP	him
.	SENT	.
<p>
Labour	NP	Labour
will	MD	will
also	RB	also
have	VB	have
breathed	VBN	breathe
a	DT	a
huge	JJ	huge
sigh	NN	sigh
of	IN	of
relief	NN	relief
that	IN	that
Wes	NP	Wes
Streeting	NP	<unknown>
--	:	--
one	CD	one
of	IN	of
its	PP$	its
most	RBS	most
senior	JJ	senior
MPs	NP	MP
and	CC	and
a	DT	a
ubiquitous	JJ	ubiquitous
presence	NN	presence
on	IN	on
the	DT	the
airwaves	NNS	airwaves
throughout	IN	throughout
this	DT	this
campaign	NN	campaign
--	:	--
clung	VBN	cling
on	IN	on
in	IN	in
Ilford	NP	Ilford
North	NP	North
.	SENT	.
He	PP	he
won	VBD	win
by	IN	by
just	RB	just
528	CD	@card@
votes	NNS	vote
.	SENT	.
Streeting	NP	<unknown>
had	VBD	have
a	DT	a
majority	NN	majority
of	IN	of
more	JJR	more
than	IN	than
9,000	CD	@card@
last	JJ	last
time	NN	time
round	NN	round
.	SENT	.
Jess	NP	Jess
Phillips	NP	Phillips
,	,	,
who	WP	who
resigned	VBD	resign
from	IN	from
the	DT	the
shadow	NN	shadow
cabinet	NN	cabinet
to	TO	to
vote	VB	vote
for	IN	for
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
hang	VB	hang
on	IN	on
to	TO	to
her	PP$	her
seat	NN	seat
.	SENT	.
She	PP	she
saw	VBD	see
her	PP$	her
majority	NN	majority
slashed	VBD	slash
from	IN	from
13,141	CD	@card@
to	TO	to
just	RB	just
693	CD	@card@
.	SENT	.
Phillips	NP	Phillips
faced	VBD	face
booing	VBG	boo
and	CC	and
shouts	NNS	shout
as	IN	as
she	PP	she
gave	VBD	give
her	PP$	her
victory	NN	victory
speech	NN	speech
after	IN	after
the	DT	the
result	NN	result
.	SENT	.
She	PP	she
described	VBD	describe
the	DT	the
campaign	NN	campaign
as	IN	as
'	''	'
the	DT	the
worst	JJS	bad
election	NN	election
I	PP	I
have	VBP	have
ever	RB	ever
stood	VBN	stand
in	IN	in
'	''	'
,	,	,
claiming	VBG	claim
her	PP$	her
activists	NNS	activist
had	VBD	have
faced	VBN	face
intimidation	NN	intimidation
and	CC	and
violence	NN	violence
.	SENT	.
And	CC	and
in	IN	in
Bethnal	NP	<unknown>
Green	NP	Green
and	CC	and
Bow	NP	Bow
--	:	--
one	CD	one
of	IN	of
Labour	NP	Labour
'	POS	'
s	JJ	<unknown>
safest	JJS	safe
seats	NNS	seat
--	:	--
Rushanara	NP	<unknown>
Ali	NP	Ali
won	VBD	win
by	IN	by
just	RB	just
over	IN	over
1,500	CD	@card@
votes	NNS	vote
.	SENT	.
Muslim	JJ	Muslim
voters	NNS	voter
there	RB	there
were	VBD	be
angered	VBN	anger
by	IN	by
the	DT	the
Labour	NP	Labour
leader	NN	leader
'	POS	'
s	NN	S
comments	NNS	comment
in	IN	in
the	DT	the
last	JJ	last
days	NNS	day
of	IN	of
the	DT	the
campaign	NN	campaign
about	IN	about
deporting	VBG	deport
Bangladeshi	JJ	Bangladeshi
people	NNS	people
whose	WP$	whose
asylum	NN	asylum
claims	NNS	claim
had	VBD	have
been	VBN	be
rejected	VBN	reject
.	SENT	.
Ali	NP	Ali
was	VBD	be
defending	VBG	defend
a	DT	a
majority	NN	majority
of	IN	of
more	JJR	more
than	IN	than
31,000	CD	@card@
.	SENT	.
She	PP	she
has	VBZ	have
won	VBN	win
but	CC	but
there	EX	there
can	MD	can
be	VB	be
no	RB	no
doubting	VBG	doubt
the	DT	the
scale	NN	scale
of	IN	of
local	JJ	local
discontent	NN	discontent
with	IN	with
Labour	NP	Labour
.	SENT	.
<p>
Labour	NP	Labour
strategists	NNS	strategist
had	VBD	have
expected	VBN	expect
most	JJS	most
Muslim	JJ	Muslim
voters	NNS	voter
who	WP	who
deserted	VBD	desert
them	PP	them
over	IN	over
the	DT	the
Gaza	NP	Gaza
issue	NN	issue
during	IN	during
the	DT	the
local	JJ	local
elections	NNS	election
in	IN	in
May	NP	May
to	TO	to
return	VB	return
to	TO	to
the	DT	the
fold	NN	fold
at	IN	at
the	DT	the
general	JJ	general
election	NN	election
.	SENT	.
This	DT	this
has	VBZ	have
n't	RB	n't
quite	RB	quite
turned	VBN	turn
out	RP	out
to	TO	to
be	VB	be
the	DT	the
case	NN	case
.	SENT	.
Muslim	JJ	Muslim
campaigners	NNS	campaigner
,	,	,
who	WP	who
have	VBP	have
long	RB	long
argued	VBN	argue
that	IN	that
the	DT	the
party	JJ	party
can	NN	can
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
will	MD	will
chalk	VB	chalk
up	RP	up
last	JJ	last
night	NN	night
'	POS	'
s	NN	S
results	NNS	result
as	IN	as
a	DT	a
significant	JJ	significant
victory	NN	victory
.	SENT	.
Expect	VBP	expect
to	TO	to
see	VB	see
further	JJR	further
pressure	NN	pressure
piled	VBN	pile
on	IN	on
the	DT	the
incoming	JJ	incoming
Labour	NP	Labour
government	NN	government
over	IN	over
its	PP$	its
policy	NN	policy
towards	IN	towards
Israel	NP	Israel
and	CC	and
the	DT	the
broader	JJR	broad
Middle	NP	Middle
East	NP	East
.	SENT	.
That	DT	that
will	MD	will
include	VB	include
demands	NNS	demand
for	IN	for
the	DT	the
recognition	NN	recognition
of	IN	of
an	DT	an
independent	JJ	independent
Palestinian	JJ	Palestinian
state	NN	state
as	RB	as
well	RB	well
as	IN	as
calls	NNS	call
for	IN	for
an	DT	an
embargo	NN	embargo
on	IN	on
arms	NNS	arm
sales	NNS	sale
to	TO	to
Israel	NP	Israel
.	SENT	.
All	DT	all
eyes	NNS	eye
will	MD	will
be	VB	be
on	IN	on
how	WRB	how
Starmer	NP	Starmer
responds	VBZ	respond
.	SENT	.
