<p>
Rep.	NP	Rep.
Mike	NP	Mike
Garcia	NP	Garcia
,	,	,
the	DT	the
only	JJ	only
House	NP	House
GOP	NP	GOP
lawmaker	NN	lawmaker
in	IN	in
the	DT	the
Los	NP	Los
Angeles	NP	Angeles
metro	NN	metro
area	NN	area
,	,	,
spoke	VBD	speak
with	IN	with
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
this	DT	this
week	NN	week
about	IN	about
the	DT	the
toll	NN	toll
the	DT	the
USC	NP	USC
college	NN	college
protests	NNS	protest
have	VBP	have
taken	VBN	take
on	IN	on
the	DT	the
city	NN	city
'	POS	'
s	JJ	<unknown>
strained	JJ	strained
police	NN	police
resources	NNS	resource
.	SENT	.
<p>
After	IN	after
hundreds	NNS	hundred
of	IN	of
anti-Israel	NP	anti-Israel
protesters	NNS	protester
swarmed	VBD	swarm
campus	NN	campus
buildings	NNS	building
and	CC	and
set	VB	set
up	RP	up
barricades	NNS	barricade
at	IN	at
the	DT	the
University	NP	University
of	IN	of
California	NP	California
,	,	,
Irvine	NP	Irvine
,	,	,
local	JJ	local
law	NN	law
enforcement	NN	enforcement
agencies	NNS	agency
responded	VBD	respond
and	CC	and
students	NNS	student
were	VBD	be
ordered	VBN	order
to	TO	to
leave	VB	leave
immediately	RB	immediately
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
<p>
In	IN	in
a	DT	a
statement	NN	statement
to	TO	to
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
,	,	,
a	DT	a
UC	NP	UC
Irvine	NP	Irvine
spokesperson	NN	spokesperson
said	VBD	say
that	IN	that
the	DT	the
campus	NN	campus
erupted	VBD	erupt
into	IN	into
chaos	NN	chaos
after	IN	after
several	JJ	several
hundreds	NNS	hundred
of	IN	of
protesters	NNS	protester
entered	VBD	enter
the	DT	the
Physical	NP	Physical
Sciences	NPS	Sciences
Lecture	NN	lecture
Hall	NP	Hall
on	IN	on
the	DT	the
California	NP	California
campus	NN	campus
and	CC	and
began	VBD	begin
to	TO	to
barricade	VB	barricade
the	DT	the
building	NN	building
at	IN	at
2:30	CD	@card@
p.m	NN	p.m
.	SENT	.
PST	NP	PST
.	SENT	.
<p>
The	DT	the
university	NN	university
said	VBD	say
that	IN	that
it	PP	it
put	VBD	put
out	RP	out
a	DT	a
call	NN	call
to	TO	to
local	JJ	local
law	NN	law
enforcement	NN	enforcement
and	CC	and
received	VBD	receive
immediate	JJ	immediate
assistance	NN	assistance
from	IN	from
the	DT	the
Irvine	NP	Irvine
Police	NP	Police
Department	NP	Department
and	CC	and
Orange	NP	Orange
County	NP	County
Sheriff	NP	Sheriff
'	POS	'
s	JJ	<unknown>
Department	NP	Department
.	SENT	.
<p>
In	IN	in
livestream	NN	livestream
footage	NN	footage
of	IN	of
the	DT	the
anti-Israel	NP	anti-Israel
agitators	NNS	agitator
'	POS	'
confrontation	NN	confrontation
with	IN	with
police	NN	police
,	,	,
at	IN	at
least	JJS	least
one	CD	one
protester	NN	protester
was	VBD	be
arrested	VBN	arrest
.	SENT	.
<p>
Law	NN	law
enforcement	NN	enforcement
stand-off	NN	stand-off
with	IN	with
anti-Israel	NP	anti-Israel
agitators	NNS	agitator
at	IN	at
the	DT	the
University	NP	University
of	IN	of
California	NP	California
,	,	,
Irvine	NP	Irvine
on	IN	on
Wednesday	NP	Wednesday
,	,	,
May	NP	May
15	CD	@card@
.	SENT	.
(	(	(
Fox	NP	Fox
News	NP	News
)	)	)
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
flower	NN	flower
to	TO	to
the	DT	the
law	NN	law
enforcement	NN	enforcement
officers	NNS	officer
deployed	VBN	deploy
to	TO	to
the	DT	the
University	NP	University
of	IN	of
California	NP	California
,	,	,
Irvine	NP	Irvine
(	(	(
UC	NP	UC
Irvine	NP	Irvine
)	)	)
after	IN	after
protesters	NNS	protester
against	IN	against
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
surrounded	VBD	surround
the	DT	the
physical	JJ	physical
sciences	NNS	science
lecture	VBP	lecture
hall	NN	hall
,	,	,
as	IN	as
the	DT	the
conflict	NN	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
Islamist	NN	<unknown>
group	NN	group
Hamas	NN	<unknown>
continues	VBZ	continue
,	,	,
in	IN	in
Irvine	NP	Irvine
,	,	,
Calif.	NP	Calif.
,	,	,
Wednesday	NP	Wednesday
.	SENT	.
(	(	(
REUTERS/Mike	NP	<unknown>
Blake	NP	Blake
)	)	)
<p>
Image	NN	image
2	CD	@card@
of	IN	of
4	CD	@card@
<p>
prev	NN	<unknown>
next	JJ	next
<p>
Demonstrators	NNS	demonstrator
gather	VBP	gather
as	IN	as
law	NN	law
enforcement	NN	enforcement
officers	NNS	officer
are	VBP	be
deployed	VBN	deploy
to	TO	to
the	DT	the
University	NP	University
of	IN	of
California	NP	California
,	,	,
Irvine	NP	Irvine
(	(	(
UC	NP	UC
Irvine	NP	Irvine
)	)	)
after	IN	after
protesters	NNS	protester
against	IN	against
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
surrounded	VBD	surround
the	DT	the
physical	JJ	physical
sciences	NNS	science
lecture	VBP	lecture
hall	NN	hall
,	,	,
as	IN	as
the	DT	the
conflict	NN	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
Islamist	NN	<unknown>
group	NN	group
Hamas	NN	<unknown>
continues	VBZ	continue
,	,	,
in	IN	in
Irvine	NP	Irvine
,	,	,
Calif.	NP	Calif.
,	,	,
Wednesday	NP	Wednesday
.	SENT	.
(	(	(
REUTERS/Mike	NP	<unknown>
Blake	NP	Blake
)	)	)
<p>
Image	NN	image
3	CD	@card@
of	IN	of
4	CD	@card@
<p>
prev	NN	<unknown>
next	JJ	next
<p>
Demonstrators	NNS	demonstrator
clash	NN	clash
with	IN	with
law	NN	law
enforcement	NN	enforcement
at	IN	at
the	DT	the
University	NP	University
of	IN	of
California	NP	California
,	,	,
Irvine	NP	Irvine
,	,	,
on	IN	on
Wednesday	NP	Wednesday
afternoon	NN	afternoon
.	SENT	.
(	(	(
REUTERS/Mike	NP	<unknown>
Blake	NP	Blake
)	)	)
<p>
Image	NN	image
4	CD	@card@
of	IN	of
4	CD	@card@
<p>
prev	NNS	<unknown>
<p>
A	DT	a
demonstrator	NN	demonstrator
hands	NNS	hand
out	IN	out
flowers	NNS	flower
to	TO	to
law	NN	law
enforcement	NN	enforcement
.	SENT	.
(	(	(
REUTERS/Mike	NP	<unknown>
Blake	NP	Blake
)	)	)
<p>
In	IN	in
a	DT	a
follow-up	NN	follow-up
statement	NN	statement
,	,	,
students	NNS	student
were	VBD	be
told	VBN	tell
to	TO	to
"	``	"
leave	VB	leave
area	NN	area
"	''	"
as	IN	as
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
protest	NN	protest
are	VBP	be
advised	VBN	advise
to	TO	to
exit	VB	exit
buildings	NNS	building
