<p>
Jake	NP	Jake
Auchincloss	NP	Auchincloss
could	MD	could
become	VB	become
the	DT	the
Jewish	JJ	Jewish
John	NP	John
F.	NP	F.
Kennedy	NP	Kennedy
if	IN	if
he	PP	he
plays	VBZ	play
his	PP$	his
cards	NNS	card
right	RB	right
.	SENT	.
<p>
He	PP	he
can	MD	can
own	VB	own
the	DT	the
anti-Jewish	NP	anti-Jewish
issue	NN	issue
just	RB	just
as	IN	as
Kennedy	NP	Kennedy
owned	VBD	own
the	DT	the
anti-Roman	NP	anti-Roman
Catholic	NP	Catholic
issue	NN	issue
in	IN	in
1960	CD	@card@
.	SENT	.
<p>
Auchincloss	NP	Auchincloss
,	,	,
36	CD	@card@
,	,	,
is	VBZ	be
a	DT	a
progressive	JJ	progressive
two-term	NN	two-term
Democrat	NP	Democrat
Congressman	NP	Congressman
from	IN	from
Newton	NP	Newton
who	WP	who
holds	VBZ	hold
the	DT	the
fourth	JJ	fourth
congressional	JJ	congressional
seat	NN	seat
once	RB	once
held	VBN	hold
by	IN	by
Joe	NP	Joe
Kennedy	NP	Kennedy
II	NP	II
and	CC	and
Joe	NP	Joe
Kennedy	NP	Kennedy
III	NP	III
,	,	,
son	NN	son
and	CC	and
grandson	NN	grandson
of	IN	of
the	DT	the
late	JJ	late
Robert	NP	Robert
F.	NP	F.
Kennedy	NP	Kennedy
.	SENT	.
He	PP	he
has	VBZ	have
Kennedy-like	JJ	<unknown>
ambitions	NNS	ambition
.	SENT	.
<p>
JFK	NP	JFK
began	VBD	begin
his	PP$	his
political	JJ	political
career	NN	career
as	IN	as
a	DT	a
member	NN	member
of	IN	of
the	DT	the
U.S.	NP	U.S.
House	NP	House
from	IN	from
Boston	NP	Boston
,	,	,
later	RBR	later
becoming	VBG	become
a	DT	a
U.S.	NP	U.S.
Senator	NP	Senator
and	CC	and
president	NN	president
in	IN	in
1960	CD	@card@
.	SENT	.
He	PP	he
ran	VBD	run
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
there	EX	there
were	VBD	be
serious	JJ	serious
concerns	NNS	concern
about	IN	about
electing	VBG	elect
a	DT	a
Catholic	NP	Catholic
,	,	,
who	WP	who
might	MD	might
be	VB	be
under	IN	under
the	DT	the
influence	NN	influence
of	IN	of
the	DT	the
Pope	NP	Pope
.	SENT	.
<p>
Now	RB	now
all	PDT	all
these	DT	these
years	NNS	year
later	RBR	later
that	DT	that
is	VBZ	be
something	NN	something
of	IN	of
a	DT	a
joke	NN	joke
,	,	,
but	CC	but
it	PP	it
was	VBD	be
not	RB	not
a	DT	a
joke	NN	joke
back	RB	back
then	RB	then
.	SENT	.
<p>
However	RB	however
,	,	,
as	RB	as
bad	JJ	bad
as	IN	as
anti-Catholicism	NN	anti-Catholicism
was	VBD	be
back	RB	back
then	RB	then
,	,	,
it	PP	it
does	VBZ	do
not	RB	not
compare	VB	compare
the	DT	the
virulent	JJ	virulent
anti-Jewish	NP	anti-Jewish
hatred	NN	hatred
that	WDT	that
is	VBZ	be
taking	VBG	take
place	NN	place
today	NN	today
at	IN	at
colleges	NNS	college
across	IN	across
the	DT	the
country	NN	country
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
only	RB	only
antisemitic	JJ	antisemitic
,	,	,
but	CC	but
also	RB	also
anti-American	JJ	anti-American
.	SENT	.
<p>
Kennedy	NP	Kennedy
put	VBD	put
much	RB	much
of	IN	of
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
country	NN	country
,	,	,
"	``	"
I	PP	I
am	VBP	be
not	RB	not
the	DT	the
Catholic	JJ	Catholic
candidate	NN	candidate
for	IN	for
president	NN	president
.	SENT	.
I	PP	I
am	VBP	be
the	DT	the
Democrat	NP	Democrat
Party	NP	Party
'	POS	'
s	JJ	<unknown>
candidate	NN	candidate
for	IN	for
president	NN	president
,	,	,
who	WP	who
happens	VBZ	happen
also	RB	also
to	TO	to
be	VB	be
a	DT	a
Catholic	NP	Catholic
.	SENT	.
I	PP	I
do	VBP	do
not	RB	not
speak	VB	speak
for	IN	for
my	PP$	my
church	NN	church
on	IN	on
public	JJ	public
matters	NNS	matter
,	,	,
and	CC	and
the	DT	the
church	NN	church
does	VBZ	do
not	RB	not
speak	VB	speak
or	CC	or
me	PP	me
.	SENT	.
"	``	"
<p>
Although	IN	although
there	EX	there
are	VBP	be
barriers	NNS	barrier
to	TO	to
a	DT	a
Jew	NN	jew
becoming	VBG	become
president	NN	president
,	,	,
many	JJ	many
of	IN	of
those	DT	those
barriers	NNS	barrier
were	VBD	be
overcome	VBN	overcome
by	IN	by
the	DT	the
impressive	JJ	impressive
showing	NN	showing
of	IN	of
Vermont	NP	Vermont
Sen.	NP	Sen.
Bernie	NP	Bernie
Sanders	NP	Sanders
,	,	,
who	WP	who
is	VBZ	be
Jewish	JJ	Jewish
,	,	,
in	IN	in
the	DT	the
2020	CD	@card@
Democrat	NP	Democrat
primary	JJ	primary
campaign	NN	campaign
for	IN	for
president	NN	president
.	SENT	.
<p>
However	RB	however
,	,	,
that	WDT	that
is	VBZ	be
long	JJ	long
before	IN	before
the	DT	the
well-organized	JJ	well-organized
,	,	,
anti-Israel	NP	anti-Israel
,	,	,
antisemitic	JJ	antisemitic
protests	NNS	protest
and	CC	and
riots	NNS	riot
swept	VBN	sweep
across	IN	across
the	DT	the
country	NN	country
'	POS	'
colleges	NNS	college
and	CC	and
universities	NNS	university
following	VBG	follow
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
retaliatory	JJ	retaliatory
invasion	NN	invasion
of	IN	of
Gaza	NP	Gaza
.	SENT	.
<p>
Auchincloss	NP	Auchincloss
,	,	,
who	WP	who
is	VBZ	be
matrilineally	RB	matrilineally
Jewish	JJ	Jewish
(	(	(
his	PP$	his
father	NN	father
is	VBZ	be
of	IN	of
