<h>
Award-winning	JJ	Award-winning
photo	NN	photo
puts	VBZ	put
face	NN	face
to	TO	to
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
war	NN	war
tragedy	NN	tragedy
:	:	:
A	DT	a
Palestinian	JJ	Palestinian
boy	NN	boy
with	IN	with
no	DT	no
arms	NNS	arm
<h>
A	DT	a
haunting	NN	haunting
photo	NN	photo
of	IN	of
9-year-old	JJ	9-year-old
Palestinian	JJ	Palestinian
boy	NN	boy
Mahmoud	NP	Mahmoud
Ajjour	NP	<unknown>
,	,	,
who	WP	who
lost	VBD	lose
both	DT	both
arms	NNS	arm
in	IN	in
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
,	,	,
has	VBZ	have
won	VBN	win
the	DT	the
2025	CD	@card@
World	NP	World
Press	NP	Press
Photo	NP	Photo
of	IN	of
the	DT	the
Year	NN	year
.	SENT	.
Taken	VBN	take
by	IN	by
Samar	NP	Samar
Abu	NP	Abu
Elouf	NP	<unknown>
for	IN	for
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
,	,	,
the	DT	the
image	NN	image
highlights	VBZ	highlight
the	DT	the
human	JJ	human
cost	NN	cost
of	IN	of
the	DT	the
Gaza	NP	Gaza
conflict	NN	conflict
.	SENT	.
<p>
This	DT	this
image	NN	image
provided	VBN	provide
by	IN	by
World	NP	World
Press	NP	Press
Photo	NP	Photo
and	CC	and
taken	VBN	take
by	IN	by
Samar	NP	Samar
Abu	NP	Abu
Elouf	NP	<unknown>
,	,	,
for	IN	for
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
,	,	,
won	VBD	win
the	DT	the
World	NP	World
Press	NP	Press
Photo	NP	Photo
Award	NN	award
of	IN	of
the	DT	the
Year	NN	year
and	CC	and
shows	VBZ	show
Mahmoud	NP	Mahmoud
Ajjour	NP	<unknown>
(	(	(
9	CD	@card@
)	)	)
,	,	,
who	WP	who
was	VBD	be
injured	VBN	injure
during	IN	during
an	DT	an
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
City	NP	City
in	IN	in
March	NP	March
2024	CD	@card@
,	,	,
finds	VBZ	find
refuge	NN	refuge
and	CC	and
medical	JJ	medical
help	NN	help
in	IN	in
Doha	NP	Doha
,	,	,
Qatar	NP	Qatar
,	,	,
28	CD	@card@
June	NP	June
2024	CD	@card@
.	SENT	.
AP/PTI	NP	<unknown>
<p>
A	DT	a
heartbreaking	JJ	heartbreaking
powerful	JJ	powerful
portrait	NN	portrait
of	IN	of
a	DT	a
9-year-old	JJ	9-year-old
Palestinian	JJ	Palestinian
boy	NN	boy
who	WP	who
lost	VBD	lose
both	DT	both
arms	NNS	arm
during	IN	during
an	DT	an
Israeli	JJ	Israeli
attack	NN	attack
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
been	VBN	be
awarded	VBN	award
the	DT	the
2025	CD	@card@
World	NP	World
Press	NP	Press
Photo	NP	Photo
