<p>
President-elect	NN	president-elect
Donald	NP	Donald
Trump	NP	Trump
warned	VBD	warn
that	IN	that
if	IN	if
the	DT	the
hostages	NNS	hostage
whom	WP	whom
Hamas	NP	<unknown>
is	VBZ	be
still	RB	still
holding	VBG	hold
in	IN	in
Gaza	NP	Gaza
are	VBP	be
not	RB	not
released	VBN	release
by	IN	by
his	PP$	his
inauguration	NN	inauguration
on	IN	on
January	NP	January
20	CD	@card@
,	,	,
"	''	"
all	DT	all
hell	NN	hell
will	MD	will
break	VB	break
out	RP	out
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
"	''	"
--	:	--
offering	VBG	offer
one	CD	one
more	JJR	more
stark	JJ	stark
indication	NN	indication
of	IN	of
how	WRB	how
much	RB	much
the	DT	the
incoming	JJ	incoming
president	NN	president
would	MD	would
prefer	VB	prefer
to	TO	to
avoid	VB	avoid
inheriting	VBG	inherit
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
as	IN	as
he	PP	he
prepares	VBZ	prepare
to	TO	to
take	VB	take
office	NN	office
in	IN	in
less	JJR	less
than	IN	than
two	CD	two
weeks	NNS	week
.	SENT	.
<p>
"	``	"
It	PP	it
will	MD	will
not	RB	not
be	VB	be
good	JJ	good
for	IN	for
Hamas	NP	<unknown>
and	CC	and
it	PP	it
will	MD	will
not	RB	not
be	VB	be
good	JJ	good
,	,	,
frankly	RB	frankly
,	,	,
for	IN	for
anyone	NN	anyone
.	SENT	.
All	DT	all
hell	NN	hell
will	MD	will
break	VB	break
out	RP	out
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
have	VB	have
to	TO	to
say	VB	say
anymore	RB	anymore
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
"	''	"
Trump	NP	Trump
said	VBD	say
in	IN	in
remarks	NNS	remark
at	IN	at
his	PP$	his
Mar-a-Lago	NP	<unknown>
estate	NN	estate
in	IN	in
Florida	NP	Florida
on	IN	on
Tuesday	NP	Tuesday
,	,	,
adding	VBG	add
that	IN	that
"	``	"
there	EX	there
should	MD	should
have	VB	have
never	RB	never
been	VBN	be
"	``	"
the	DT	the
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
attack	NN	attack
by	IN	by
Hamas	NP	<unknown>
on	IN	on
Israel	NP	Israel
.	SENT	.
<p>
Steve	NP	Steve
Witkoff	NP	<unknown>
