Strata	Text Count	Word Count
global_north_2023_09	25	16218
global_north_2023_10	2864	1810705
global_north_2023_11	1996	1268673
global_north_2023_12	1113	724147
global_north_2024_01	875	567431
global_north_2024_02	900	586278
global_north_2024_03	880	568935
global_north_2024_04	1037	682786
global_north_2024_05	1213	787629
global_north_2024_06	709	451547
global_north_2024_07	749	496723
global_north_2024_08	768	495172
global_north_2024_09	689	447287
global_north_2024_10	921	603488
global_north_2024_11	1189	766556
global_north_2024_12	873	556453
global_north_2025_01	1651	1070270
global_north_2025_02	1649	1065867
global_north_2025_03	1249	810676
global_north_2025_04	1110	713136
global_north_2025_05	1663	1071425
global_north_2025_06	1349	863201
global_south_2023_09	10	5602
global_south_2023_10	1361	816862
global_south_2023_11	845	509345
global_south_2023_12	486	301199
global_south_2024_01	385	237164
global_south_2024_02	253	153295
global_south_2024_03	292	172519
global_south_2024_04	333	203543
global_south_2024_05	439	263504
global_south_2024_06	300	173938
global_south_2024_07	405	242791
global_south_2024_08	493	298536
global_south_2024_09	393	239522
global_south_2024_10	687	434266
global_south_2024_11	461	274789
global_south_2024_12	322	193302
global_south_2025_01	601	351342
global_south_2025_02	498	298011
global_south_2025_03	398	232668
global_south_2025_04	405	229356
global_south_2025_05	461	266087
global_south_2025_06	481	286207

overall	35781	22608451
