<p>
(	(	(
WASHINGTON	NP	WASHINGTON
)	)	)
--	:	--
The	DT	the
Department	NP	Department
of	IN	of
Education	NP	Education
sent	VBD	send
a	DT	a
warning	NN	warning
to	TO	to
the	DT	the
accreditor	NN	accreditor
of	IN	of
Columbia	NP	Columbia
University	NP	University
on	IN	on
Wednesday	NP	Wednesday
,	,	,
saying	VBG	say
the	DT	the
Ivy	NP	Ivy
League	NP	League
institution	NN	institution
violated	VBD	violate
federal	JJ	federal
anti-discrimination	JJ	anti-discrimination
laws	NNS	law
.	SENT	.
<p>
U.S.	NP	U.S.
Secretary	NP	Secretary
of	IN	of
Education	NP	Education
Linda	NP	Linda
McMahon	NP	McMahon
said	VBD	say
in	IN	in
a	DT	a
press	NN	press
release	NN	release
that	IN	that
the	DT	the
decision	NN	decision
came	VBD	come
after	IN	after
the	DT	the
spate	NN	spate
of	IN	of
protests	NNS	protest
on	IN	on
university	NN	university
grounds	NNS	ground
opposing	VBG	oppose
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
McMahon	NP	McMahon
alleged	VBD	allege
Columbia	NP	Columbia
leadership	NN	leadership
"	``	"
acted	VBD	act
with	IN	with
deliberate	JJ	deliberate
indifference	NN	indifference
towards	IN	towards
the	DT	the
harassment	NN	harassment
of	IN	of
Jewish	JJ	Jewish
students	NNS	student
on	IN	on
its	PP$	its
campus	NN	campus
.	SENT	.
"	''	"
<p>
"	``	"
This	DT	this
is	VBZ	be
not	RB	not
only	RB	only
immoral	JJ	immoral
,	,	,
but	CC	but
also	RB	also
unlawful	JJ	unlawful
,	,	,
"	''	"
McMahon	NP	McMahon
said	VBD	say
.	SENT	.
<p>
Columbia	NP	Columbia
is	VBZ	be
accused	VBN	accuse
of	IN	of
violating	VBG	violate
Title	NP	Title
VI	NP	VI
of	IN	of
the	DT	the
Civil	NP	Civil
Rights	NPS	Rights
Act	NP	Act
of	IN	of
1964	CD	@card@
,	,	,
which	WDT	which
prohibits	VBZ	prohibit
recipients	NNS	recipient
of	IN	of
federal	JJ	federal
funding	NN	funding
from	IN	from
discriminating	VBG	discriminate
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
race	NN	race
,	,	,
color	NN	color
or	CC	or
national	JJ	national
origin	NN	origin
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
department	NN	department
.	SENT	.
<p>
The	DT	the
department	NN	department
said	VBD	say
that	IN	that
by	IN	by
violating	VBG	violate
federal	JJ	federal
anti-discrimination	JJ	anti-discrimination
laws	NNS	law
,	,	,
Columbia	NP	Columbia
has	VBZ	have
failed	VBN	fail
to	TO	to
meet	VB	meet
the	DT	the
standards	NNS	standard
of	IN	of
accreditation	NN	accreditation
that	WDT	that
have	VBP	have
been	VBN	be
set	VBN	set
by	IN	by
the	DT	the
Middle	NP	Middle
States	NPS	States
Commission	NP	Commission
on	IN	on
Higher	JJR	high
Education	NN	education
.	SENT	.
<p>
The	DT	the
government	NN	government
claims	VBZ	claim
Columbia	NP	Columbia
leadershup	NNS	<unknown>
failed	VBD	fail
to	TO	to
take	VB	take
several	JJ	several
actions	NNS	action
,	,	,
including	VBG	include
failing	VBG	fail
to	TO	to
establish	VB	establish
effective	JJ	effective
reporting	NN	reporting
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
abide	VB	abide
by	IN	by
its	PP$	its
own	JJ	own
policies	NNS	policy
and	CC	and
procedures	NNS	procedure
when	WRB	when
responding	VBG	respond
to	TO	to
Jewish	JJ	Jewish
students	NNS	student
'	POS	'
complaints	NNS	complaint
as	RB	as
well	RB	well
as	IN	as
governing	VBG	govern
misconduct	NN	misconduct
against	IN	against
Jewish	JJ	Jewish
students	NNS	student
and	CC	and
not	RB	not
investigating	VBG	investigate
or	CC	or
punishing	VBG	punish
vandalism	NN	vandalism
in	IN	in
its	PP$	its
classrooms	NNS	classroom
.	SENT	.
<p>
Now	RB	now
,	,	,
the	DT	the
university	NN	university
'	POS	'
s	JJ	<unknown>
federal	JJ	federal
accreditor	NN	accreditor
is	VBZ	be
required	VBN	require
to	TO	to
establish	VB	establish
a	DT	a
plan	NN	plan
to	TO	to
come	VB	come
into	IN	into
compliance	NN	compliance
with	IN	with
the	DT	the
federal	JJ	federal
law	NN	law
or	CC	or
"	``	"
take	VB	take
appropriate	JJ	appropriate
action	NN	action
against	IN	against
"	``	"
Columbia	NP	Columbia
,	,	,
the	DT	the
department	NN	department
said	VBD	say
.	SENT	.
<p>
ABC	NP	ABC
News	NP	News
has	VBZ	have
reached	VBN	reach
out	RP	out
to	TO	to
Columbia	NP	Columbia
University	NP	University
for	IN	for
a	DT	a
comment	NN	comment
.	SENT	.
<p>
This	DT	this
is	VBZ	be
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	NN	S
administration	NN	administration
'	POS	'
s	JJ	<unknown>
latest	JJS	late
action	NN	action
taken	VBN	take
against	IN	against
prominent	JJ	prominent
universities	NNS	university
,	,	,
claiming	VBG	claim
they	PP	they
have	VBP	have
fostered	VBN	foster
a	DT	a
breeding	VBG	breed
ground	NN	ground
for	IN	for
harassment	NN	harassment
of	IN	of
Jewish	JJ	Jewish
students	NNS	student
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
Israel-Hamas	JJ	<unknown>
war	NN	war
.	SENT	.
<p>
Last	JJ	last
month	NN	month
,	,	,
the	DT	the
Trump	NP	Trump
administration	NN	administration
announced	VBD	announce
and	CC	and
then	RB	then
backtracked	VBN	backtrack
on	IN	on
a	DT	a
decision	NN	decision
to	TO	to
bar	VB	bar
Harvard	NP	Harvard
University	NP	University
from	IN	from
allowing	VBG	allow
international	JJ	international
students	NNS	student
to	TO	to
enroll	VB	enroll
at	IN	at
the	DT	the
university	NN	university
.	SENT	.
<p>
Harvard	NP	Harvard
is	VBZ	be
also	RB	also
fighting	VBG	fight
the	DT	the
Trump	NP	Trump
administration	NN	administration
'	POS	'
s	JJ	<unknown>
attempt	NN	attempt
to	TO	to
freeze	VB	freeze
more	JJR	more
than	IN	than
$2.2	JJ	<unknown>
billion	NNS	billion
in	IN	in
grants	NNS	grant
and	CC	and
$60	JJ	$@card@
million	CD	million
in	IN	in
contracts	NNS	contract
to	TO	to
the	DT	the
school	NN	school
.	SENT	.
Harvard	NP	Harvard
filed	VBD	file
a	DT	a
separate	JJ	separate
lawsuit	NN	lawsuit
to	TO	to
challenge	VB	challenge
the	DT	the
funding	NN	funding
freeze	NN	freeze
in	IN	in
April	NP	April
,	,	,
and	CC	and
the	DT	the
next	JJ	next
hearing	NN	hearing
in	IN	in
that	DT	that
case	NN	case
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
interest	NN	interest
in	IN	in
revoking	VBG	revoke
the	DT	the
university	NN	university
'	POS	'
s	JJ	<unknown>
tax-exempt	JJ	tax-exempt
status	NN	status
.	SENT	.
<p>
Stay	NN	stay
connected	VBN	connect
with	IN	with
the	DT	the
most	RBS	most
up-to-date	JJ	up-to-date
coverage	NN	coverage
of	IN	of
the	DT	the
stories	NNS	story
that	DT	that
matter	NN	matter
.	SENT	.
Tune	NN	tune
in	IN	in
to	TO	to
WBAL	NP	<unknown>
NewsRadio	NP	NewsRadio
for	IN	for
real-time	JJ	real-time
updates	NNS	update
and	CC	and
in-depth	JJ	in-depth
analysis	NN	analysis
.	SENT	.
Listen	VB	listen
at	IN	at
1090AM	NP	<unknown>
,	,	,
FM	NP	FM
101.5	CD	@card@
,	,	,
wbal.com	NP	<unknown>
,	,	,
or	CC	or
through	IN	through
the	DT	the
WBAL	NP	<unknown>
NewsRadio	NP	NewsRadio
app	NP	App
.	SENT	.
Stay	NN	stay
informed	VBD	inform
,	,	,
stay	VB	stay
ahead	RB	ahead
.	SENT	.
<p>
WBAL	NP	<unknown>
NewsRadio	NP	NewsRadio
1090	CD	@card@
,	,	,
FM	NP	FM
101.5	CD	@card@
and	CC	and
the	DT	the
WBAL	NP	<unknown>
mobile	JJ	mobile
app	NP	App
.	SENT	.
All	DT	all
day	NN	day
,	,	,
every	DT	every
day	NN	day
:	:	:
News	NP	News
,	,	,
weather	NN	weather
and	CC	and
traffic	NN	traffic
.	SENT	.
Also	RB	also
,	,	,
insight	NN	insight
and	CC	and
analysis	NN	analysis
,	,	,
and	CC	and
the	DT	the
flagship	JJ	flagship
stations	NNS	station
for	IN	for
the	DT	the
Baltimore	NP	Baltimore
Ravens	NP	Ravens
,	,	,
the	DT	the
Baltimore	NP	Baltimore
Orioles	NP	Orioles
and	CC	and
Navy	NP	Navy
Football	NP	Football
.	SENT	.
