<p>
True	UH	true
,	,	,
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
BBC	NP	BBC
News	NP	News
programme	NN	programme
but	CC	but
Louis	NP	Louis
Theroux	NP	Theroux
:	:	:
The	DT	the
Settlers	NNS	settler
(	(	(
BBC	NP	BBC
Two	CD	two
)	)	)
.	SENT	.
It	PP	it
is	VBZ	be
mostly	RB	mostly
concerned	VBN	concern
with	IN	with
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
rather	RB	rather
than	IN	than
Hamas-controlled	NP	<unknown>
Gaza	NP	Gaza
.	SENT	.
Theroux	NP	Theroux
is	VBZ	be
under	IN	under
no	DT	no
obligation	NN	obligation
to	TO	to
hide	VB	hide
where	WRB	where
his	PP$	his
sympathies	NNS	sympathy
lie	VBP	lie
,	,	,
and	CC	and
he	PP	he
does	VBZ	do
n't	RB	n't
,	,	,
closing	VBG	close
the	DT	the
film	NN	film
by	IN	by
telling	VBG	tell
a	DT	a
leading	VBG	lead
settler	NN	settler
that	IN	that
she	PP	she
'	POS	'
s	NNS	<unknown>
a	DT	a
sociopath	NN	sociopath
because	IN	because
she	PP	she
does	VBZ	do
n't	RB	n't
care	VB	care
about	IN	about
the	DT	the
suffering	NN	suffering
of	IN	of
Palestinians	NPS	Palestinians
.	SENT	.
<p>
The	DT	the
Settlers	NNS	settler
is	VBZ	be
a	DT	a
follow-up	NN	follow-up
to	TO	to
The	DT	the
Ultra	JJ	ultra
Zionists	NNS	Zionist
,	,	,
a	DT	a
film	NN	film
he	PP	he
made	VBD	make
in	IN	in
2011	CD	@card@
.	SENT	.
That	DT	that
one	CD	one
was	VBD	be
very	RB	very
much	JJ	much
in	IN	in
the	DT	the
classic	JJ	classic
Theroux	NP	Theroux
tradition	NN	tradition
:	:	:
spend	VB	spend
time	NN	time
with	IN	with
religious	JJ	religious
fanatics	NNS	fanatic
who	WP	who
need	VBP	need
only	RB	only
the	DT	the
politest	JJS	polite
prodding	NN	prodding
to	TO	to
make	VB	make
inflammatory	JJ	inflammatory
statements	NNS	statement
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
much	RB	much
better	JJR	good
documentary	NN	documentary
than	IN	than
this	DT	this
,	,	,
which	WDT	which
covers	VBZ	cover
the	DT	the
same	JJ	same
ground	NN	ground
and	CC	and
feels	VBZ	feel
surplus	NN	surplus
to	TO	to
requirements	NNS	requirement
.	SENT	.
<p>
The	DT	the
Jewish	JJ	Jewish
settlers	NNS	settler
believe	VBP	believe
they	PP	they
have	VBP	have
a	DT	a
God-given	JJ	god-given
right	NN	right
to	TO	to
live	VB	live
in	IN	in
"	``	"
the	DT	the
heart	NN	heart
of	IN	of
