<p>
Ten	CD	ten
British	JJ	British
nationals	NNS	national
who	WP	who
served	VBD	serve
in	IN	in
the	DT	the
Israeli	JJ	Israeli
military	NN	military
in	IN	in
Gaza	NP	Gaza
have	VBP	have
been	VBN	be
accused	VBN	accuse
of	IN	of
war	NN	war
crimes	NNS	crime
in	IN	in
a	DT	a
complaint	NN	complaint
submitted	VBN	submit
to	TO	to
the	DT	the
Met	NP	Met
Police	NP	Police
.	SENT	.
<p>
Leading	VBG	lead
human	JJ	human
rights	NNS	right
lawyer	NN	lawyer
Michael	NP	Michael
Mansfield	NP	Mansfield
KC	NP	KC
is	VBZ	be
part	NN	part
a	DT	a
group	NN	group
of	IN	of
lawyers	NNS	lawyer
and	CC	and
human	JJ	human
rights	NNS	right
activists	NNS	activist
who	WP	who
have	VBP	have
handed	VBN	hand
a	DT	a
240-page	JJ	<unknown>
dossier	NN	dossier
to	TO	to
Scotland	NP	Scotland
Yard	NP	Yard
'	POS	'
s	JJ	<unknown>
war	NN	war
crimes	NNS	crime
unit	NN	unit
,	,	,
accusing	VBG	accuse
the	DT	the
Britons	NNS	Briton
of	IN	of
targeting	VBG	target
and	CC	and
killing	VBG	kill
civilians	NNS	civilian
and	CC	and
aid	NN	aid
workers	NNS	worker
,	,	,
including	VBG	include
through	IN	through
sniper	NN	sniper
fire	NN	fire
,	,	,
as	RB	as
well	RB	well
as	IN	as
carrying	VBG	carry
out	RP	out
indiscriminate	JJ	indiscriminate
attacks	NNS	attack
on	IN	on
civilian	JJ	civilian
sites	NNS	site
,	,	,
such	JJ	such
as	IN	as
hospitals	NNS	hospital
.	SENT	.
<p>
Here	RB	here
,	,	,
The	DT	the
i	NP	i
Paper	NP	Paper
looks	VBZ	look
at	IN	at
everything	NN	everything
we	PP	we
know	VBP	know
about	IN	about
the	DT	the
case	NN	case
and	CC	and
who	WP	who
is	VBZ	be
involved	VBN	involve
.	SENT	.
<h>
Who	WP	who
are	VBP	be
the	DT	the
British	JJ	British
nationals	NNS	national
?	SENT	?
<p>
The	DT	the
names	NNS	name
of	IN	of
the	DT	the
British	JJ	British
nationals	NNS	national
who	WP	who
served	VBD	serve
with	IN	with
the	DT	the
Israeli	JJ	Israeli
military	NN	military
have	VBP	have
not	RB	not
been	VBN	be
made	VBN	make
public	JJ	public
for	IN	for
legal	JJ	legal
reasons	NNS	reason
.	SENT	.
<p>
However	RB	however
,	,	,
it	PP	it
is	VBZ	be
understood	VBN	understand
that	IN	that
some	DT	some
of	IN	of
the	DT	the
individuals	NNS	individual
are	VBP	be
officer-level	JJ	officer-level
personnel	NNS	personnel
and	CC	and
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
duel	NN	duel
British-Israeli	JJ	British-Israeli
nationals	NNS	national
.	SENT	.
<p>
"	''	"
?	SENT	?
If	IN	if
one	CD	one
of	IN	of
our	PP$	our
nationals	NNS	national
is	VBZ	be
committing	VBG	commit
?	SENT	?
an	DT	an
offence	NN	offence
,	,	,
we	PP	we
ought	MD	ought
to	TO	to
be	VB	be
doing	VBG	do
something	NN	something
about	IN	about
it	PP	it
?	SENT	?
,	,	,
"	''	"
Mansfield	NP	Mansfield
said	VBN	say
before	RB	before
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
we	PP	we
ca	MD	ca
n't	RB	n't
stop	VB	stop
the	DT	the
government	NN	government
of	IN	of
foreign	JJ	foreign
countries	NNS	country
behaving	VBG	behave
badly	RB	badly
,	,	,
we	PP	we
can	MD	can
at	IN	at
least	JJS	least
stop	VB	stop
our	PP$	our
nationals	NNS	national
from	IN	from
behaving	VBG	behave
badly	RB	badly
.	SENT	.
"	''	"
<p>
Mansfield	NP	Mansfield
has	VBZ	have
represented	VBN	represent
survivors	NNS	survivor
and	CC	and
bereaved	VBN	bereave
relatives	NNS	relative
of	IN	of
the	DT	the
Grenfell	NP	Grenfell
Tower	NP	Tower
fire	NN	fire
,	,	,
as	RB	as
well	RB	well
as	IN	as
the	DT	the
family	NN	family
of	IN	of
Stephen	NP	Stephen
Lawrence	NP	Lawrence
.	SENT	.
The	DT	the
barrister	NN	barrister
also	RB	also
played	VBD	play
a	DT	a
key	JJ	key
role	NN	role
in	IN	in
the	DT	the
case	NN	case
of	IN	of
the	DT	the
Birmingham	NP	Birmingham
Six	CD	six
,	,	,
a	DT	a
group	NN	group
of	IN	of
men	NNS	man
wrongly	RB	wrongly
convicted	VBN	convict
of	IN	of
the	DT	the
1974	CD	@card@
Birmingham	NP	Birmingham
pub	NN	pub
bombings	NNS	bombing
who	WP	who
later	JJR	late
had	VBD	have
their	PP$	their
convictions	NNS	conviction
quashed	VBD	quash
.	SENT	.
<h>
What	WP	what
are	VBP	be
the	DT	the
allegations	NNS	allegation
?	SENT	?
<p>
The	DT	the
report	NN	report
accuses	VBZ	accuse
the	DT	the
10	CD	@card@
Britons	NNS	Briton
of	IN	of
targeting	VBG	target
and	CC	and
killing	VBG	kill
civilians	NNS	civilian
and	CC	and
aid	NN	aid
workers	NNS	worker
,	,	,
carrying	VBG	carry
out	RP	out
indiscriminate	JJ	indiscriminate
attacks	NNS	attack
on	IN	on
civilian	JJ	civilian
infrastructure	NN	infrastructure
,	,	,
such	JJ	such
as	IN	as
hospitals	NNS	hospital
,	,	,
and	CC	and
the	DT	the
forced	VBN	force
transfer	NN	transfer
and	CC	and
displacement	NN	displacement
of	IN	of
civilians	NNS	civilian
.	SENT	.
<p>
It	PP	it
includes	VBZ	include
allegations	NNS	allegation
from	IN	from
people	NNS	people
at	IN	at
a	DT	a
medical	JJ	medical
facility	NN	facility
in	IN	in
Gaza	NP	Gaza
who	WP	who
claim	VBP	claim
to	TO	to
