<h>
Higher	JJR	high
education	NN	education
should	MD	should
n't	RB	n't
be	VB	be
a	DT	a
political	JJ	political
puppet	NN	puppet
show	NN	show
<p>
If	IN	if
universities	NNS	university
truly	RB	truly
value	VBP	value
order	NN	order
and	CC	and
openness	NN	openness
,	,	,
discipline	NN	discipline
must	MD	must
be	VB	be
rooted	VBN	root
in	IN	in
principle	NN	principle
,	,	,
not	RB	not
political	JJ	political
pressure	NN	pressure
.	SENT	.
<p>
In	IN	in
his	PP$	his
commencement	NN	commencement
address	NN	address
,	,	,
on	IN	on
Wednesday	NP	Wednesday
,	,	,
May	NP	May
14	CD	@card@
,	,	,
New	NP	New
York	NP	York
University	NP	University
(	(	(
NYU	NP	NYU
)	)	)
valedictorian	NN	<unknown>
,	,	,
Logan	NP	Logan
Rozos	NP	<unknown>
,	,	,
denounced	VBD	denounce
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
actions	NNS	action
in	IN	in
Gaza	NP	Gaza
,	,	,
describing	VBG	describe
the	DT	the
conflict	NN	conflict
in	IN	in
Palestine	NP	Palestine
as	IN	as
a	DT	a
'	''	'
genocide	NN	genocide
.	SENT	.
'	''	'
Following	VBG	follow
his	PP$	his
controversial	JJ	controversial
remarks	NNS	remark
,	,	,
NYU	NP	NYU
decided	VBD	decide
to	TO	to
deny	VB	deny
Rozos	NNS	<unknown>
his	PP$	his
diploma	NN	diploma
,	,	,
demonstrating	VBG	demonstrate
alignment	NN	alignment
with	IN	with
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
suppression	NN	suppression
of	IN	of
pro-Palestinian	NP	pro-Palestinian
speech	NN	speech
.	SENT	.
<p>
A	DT	a
valedictorian	JJ	<unknown>
address	NN	address
might	MD	might
not	RB	not
be	VB	be
the	DT	the
time	NN	time
or	CC	or
place	NN	place
to	TO	to
deliver	VB	deliver
a	DT	a
polarizing	VBG	polarize
speech	NN	speech
using	VBG	use
inflammatory	JJ	inflammatory
language	NN	language
,	,	,
which	WDT	which
could	MD	could
be	VB	be
isolating	VBG	isolate
for	IN	for
some	DT	some
students	NNS	student
.	SENT	.
However	RB	however
,	,	,
the	DT	the
real	JJ	real
wrong	NN	wrong
in	IN	in
this	DT	this
situation	NN	situation
is	VBZ	be
the	DT	the
University	NP	University
basing	VBG	base
its	PP$	its
policy	NN	policy
decisions	NNS	decision
on	IN	on
the	DT	the
attitude	NN	attitude
of	IN	of
the	DT	the
federal	JJ	federal
administration	NN	administration
.	SENT	.
<p>
Universities	NNS	university
should	MD	should
stand	VB	stand
as	IN	as
bastions	NNS	bastion
of	IN	of
free	JJ	free
expression	NN	expression
and	CC	and
open	JJ	open
dialogue	NN	dialogue
,	,	,
not	RB	not
as	IN	as
pliable	JJ	pliable
institutions	NNS	institution
swayed	VBN	sway
by	IN	by
the	DT	the
preferences	NNS	preference
of	IN	of
a	DT	a
president	NN	president
.	SENT	.
Decisions	NNS	decision
about	IN	about
commencement	NN	commencement
speakers	NNS	speaker
must	MD	must
reflect	VB	reflect
a	DT	a
commitment	NN	commitment
to	TO	to
academic	JJ	academic
freedom	NN	freedom
,	,	,
not	RB	not
the	DT	the
shifting	VBG	shift
winds	NNS	wind
of	IN	of
political	JJ	political
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
a	DT	a
school	NN	school
policy	NN	policy
to	TO	to
set	VB	set
a	DT	a
precedent	NN	precedent
for	IN	for
what	WP	what
'	POS	'
s	NN	S
considered	VBD	consider
an	DT	an
appropriate	JJ	appropriate
use	NN	use
of	IN	of
a	DT	a
valedictorian	JJ	<unknown>
speech	NN	speech
.	SENT	.
Unpunished	JJ	unpunished
,	,	,
the	DT	the
University	NP	University
would	MD	would
risk	VB	risk
its	PP$	its
commencement	NN	commencement
ceremony	NN	ceremony
becoming	VBG	become
a	DT	a
soapbox	NN	soapbox
to	TO	to
express	VB	express
political	JJ	political
beliefs	NNS	belief
.	SENT	.
Simultaneously	RB	simultaneously
,	,	,
the	DT	the
ability	NN	ability
to	TO	to
accept	VB	accept
punishment	NN	punishment
in	IN	in
the	DT	the
name	NN	name
of	IN	of
your	PP$	your
beliefs	NNS	belief
is	VBZ	be
what	WP	what
makes	VBZ	make
acts	NNS	act
such	JJ	such
as	IN	as
Rozos	NP	<unknown>
'	POS	'
s	NN	S
so	RB	so
powerful	JJ	powerful
.	SENT	.
<p>
However	RB	however
,	,	,
revoking	VBG	revoke
a	DT	a
degree	NN	degree
is	VBZ	be
a	DT	a
disproportionately	RB	disproportionately
severe	JJ	severe
punishment	NN	punishment
,	,	,
considering	VBG	consider
the	DT	the
$65,000	JJ	$@card@
annual	JJ	annual
tuition	NN	tuition
at	IN	at
NYU	NP	NYU
.	SENT	.
Though	IN	though
we	PP	we
may	MD	may
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
pinpoint	VB	pinpoint
an	DT	an
appropriate	JJ	appropriate
punishment	NN	punishment
,	,	,
to	TO	to
deny	VB	deny
someone	NN	someone
their	PP$	their
diploma	NN	diploma
in	IN	in
the	DT	the
absence	NN	absence
of	IN	of
academic	JJ	academic
misconduct	NN	misconduct
undermines	VBZ	undermine
core	JJ	core
principles	NNS	principle
of	IN	of
fairness	NN	fairness
.	SENT	.
<p>
Penalization	NN	penalization
is	VBZ	be
important	JJ	important
.	SENT	.
Bending	VBG	bend
the	DT	the
rules	NNS	rule
for	IN	for
Rozos	NP	<unknown>
is	VBZ	be
n't	RB	n't
the	DT	the
way	NN	way
to	TO	to
foster	VB	foster
an	DT	an
inclusive	JJ	inclusive
and	CC	and
celebratory	NN	celebratory
convocation	NN	convocation
environment	NN	environment
.	SENT	.
Neither	CC	neither
is	VBZ	be
stripping	VBG	strip
Rozos	NP	<unknown>
of	IN	of
his	PP$	his
hard-earned	VBN	hard-earn
degree	NN	degree
.	SENT	.
<p>
A	DT	a
similar	JJ	similar
incident	NN	incident
occurred	VBN	occur
at	IN	at
Queen	NP	Queen
'	POS	'
s	JJ	<unknown>
last	JJ	last
year	NN	year
,	,	,
with	IN	with
