<h>
BREAKING	VBG	break
Capital	NP	Capital
Jewish	NP	Jewish
Museum	NP	Museum
,	,	,
pose	NN	pose
for	IN	for
a	DT	a
picture	NN	picture
at	IN	at
an	DT	an
unknown	JJ	unknown
location	NN	location
,	,	,
in	IN	in
this	DT	this
handout	NN	handout
image	NN	image
released	VBN	release
by	IN	by
Embassy	NP	Embassy
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
U.S.	NP	U.S.
Attorney	NP	Attorney
'	POS	'
s	JJ	<unknown>
Office	NN	office
in	IN	in
Washington	NP	Washington
,	,	,
led	VBN	lead
by	IN	by
former	JJ	former
judge	NN	judge
Jeanine	NP	Jeanine
Pirro	NP	Pirro
,	,	,
is	VBZ	be
prosecuting	VBG	prosecute
the	DT	the
case	NN	case
.	SENT	.
<p>
During	IN	during
the	DT	the
hearing	NN	hearing
at	IN	at
the	DT	the
E.	NP	E.
Barrett	NP	Barrett
Prettyman	NP	Prettyman
Court	NP	Court
House	NP	House
in	IN	in
Washington	NP	Washington
DC	NP	DC
,	,	,
Rodriguez	NP	Rodriguez
sat	VBD	sit
in	IN	in
a	DT	a
black	JJ	black
swivel	NN	swivel
chair	NN	chair
next	JJ	next
to	TO	to
his	PP$	his
court-appointed	JJ	court-appointed
lawyer	NN	lawyer
Elizabeth	NP	Elizabeth
Mullin	NP	Mullin
at	IN	at
a	DT	a
wooden	JJ	wooden
table	NN	table
.	SENT	.
A	DT	a
US	NP	US
Marshall	NP	Marshall
sat	VBD	sit
on	IN	on
either	DT	either
side	NN	side
.	SENT	.
<p>
Rodriguez	NP	Rodriguez
wore	VBD	wear
glasses	NNS	glass
and	CC	and
had	VBD	have
a	DT	a
neatly	RB	neatly
trimmed	VBN	trim
beard	NN	beard
.	SENT	.
<p>
During	IN	during
the	DT	the
hearing	NN	hearing
he	PP	he
repeatedly	RB	repeatedly
looked	VBD	look
slowly	RB	slowly
around	IN	around
the	DT	the
wood	NN	wood
and	CC	and
marble-paneled	JJ	<unknown>
courtroom	NN	courtroom
,	,	,
including	VBG	include
at	IN	at
the	DT	the
benches	NNS	bench
in	IN	in
the	DT	the
public	JJ	public
gallery	NN	gallery
,	,	,
the	DT	the
white	JJ	white
ceiling	NN	ceiling
and	CC	and
burgundy	NN	Burgundy
carpet	NN	carpet
.	SENT	.
<p>
The	DT	the
judge	NN	judge
asked	VBD	ask
him	PP	him
to	TO	to
stand	VB	stand
and	CC	and
raise	VB	raise
his	PP$	his
right	JJ	right
hand	NN	hand
and	CC	and
he	PP	he
was	VBD	be
sworn	VBN	swear
in	IN	in
.	SENT	.
When	WRB	when
asked	VBN	ask
if	IN	if
he	PP	he
swore	VBD	swear
to	TO	to
tell	VB	tell
the	DT	the
truth	NN	truth
,	,	,
he	PP	he
answered	VBD	answer
:	:	:
'	''	'
I	PP	I
do	VBP	do
.	SENT	.
'	''	'
<p>
After	IN	after
giving	VBG	give
his	PP$	his
name	NN	name
and	CC	and
age	NN	age
,	,	,
the	DT	the
judge	NN	judge
asked	VBD	ask
him	PP	him
:	:	:
'	''	'
How	WRB	how
far	RB	far
did	VBD	do
you	PP	you
get	VB	get
in	IN	in
school	NN	school
?	SENT	?
'	''	'
<p>
Rodriguez	NP	Rodriguez
replied	VBD	reply
calmly	RB	calmly
:	:	:
'	''	'
I	PP	I
have	VBP	have
a	DT	a
bachelors	NNS	bachelor
in	IN	in
English	NP	English
.	SENT	.
'	''	'
<p>
Asked	VBN	ask
by	IN	by
Judge	NP	Judge
Sharbaugh	NP	Sharbaugh
if	IN	if
he	PP	he
was	VBD	be
on	IN	on
drugs	NNS	drug
