<h>
New	NP	New
D	NP	D
?	SENT	?
il	NNS	<unknown>
will	MD	will
not	RB	not
be	VB	be
silenced	VBN	silence
in	IN	in
calling	VBG	call
for	IN	for
peace	NN	peace
in	IN	in
Gaza	NP	Gaza
,	,	,
Taoiseach	NP	<unknown>
says	VBZ	say
<p>
Taoiseach	NP	<unknown>
Simon	NP	Simon
Harris	NP	Harris
has	VBZ	have
said	VBN	say
Ireland	NP	Ireland
'	POS	'
s	NN	S
newly-elected	NP	newly-elected
D	NP	D
?	SENT	?
il	NNS	<unknown>
will	MD	will
not	RB	not
be	VB	be
intimidated	VBN	intimidate
from	IN	from
calling	VBG	call
for	IN	for
peace	NN	peace
in	IN	in
Gaza	NP	Gaza
and	CC	and
respect	NN	respect
for	IN	for
international	JJ	international
law	NN	law
.	SENT	.
<p>
Mr	NP	Mr
Harris	NP	Harris
made	VBD	make
the	DT	the
comments	NNS	comment
as	IN	as
Ireland	NP	Ireland
'	POS	'
s	JJ	<unknown>
new	JJ	new
parliament	NN	parliament
met	VBN	meet
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
on	IN	on
Wednesday	NP	Wednesday
and	CC	and
elected	VBD	elect
a	DT	a
new	JJ	new
Ceann	NP	<unknown>
Comhairle	NP	<unknown>
.	SENT	.
<p>
As	IN	as
the	DT	the
new	JJ	new
TDs	NNS	TD
gathered	VBN	gather
in	IN	in
the	DT	the
Dail	NP	Dail
chamber	NN	chamber
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
a	DT	a
pro-Palestine	NP	pro-Palestine
protest	NN	protest
was	VBD	be
held	VBN	hold
outside	IN	outside
the	DT	the
gates	NNS	gate
of	IN	of
Leinster	NP	Leinster
House	NP	House
calling	VBG	call
on	IN	on
TDs	NNS	TD
to	TO	to
urgently	RB	urgently
pass	VB	pass
a	DT	a
bill	NN	bill
that	WDT	that
would	MD	would
ban	VB	ban
imports	NNS	import
from	IN	from
illegal	JJ	illegal
Israeli	JJ	Israeli
settlements	NNS	settlement
on	IN	on
Palestinian	JJ	Palestinian
land	NN	land
.	SENT	.
<p>
Israel	NP	Israel
said	VBD	say
at	IN	at
the	DT	the
weekend	NN	weekend
it	PP	it
was	VBD	be
closing	VBG	close
its	PP$	its
embassy	NN	embassy
in	IN	in
Dublin	NP	Dublin
with	IN	with
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
minister	NN	minister
accusing	VBG	accuse
Ireland	NP	Ireland
of	IN	of
"	``	"
antisemitic	JJ	antisemitic
rhetoric	NN	rhetoric
"	''	"
and	CC	and
of	IN	of
crossing	VBG	cross
"	``	"
every	DT	every
red	JJ	red
line	NN	line
in	IN	in
its	PP$	its
relations	NNS	relation
with	IN	with
Israel	NP	Israel
"	''	"
.	SENT	.
<p>
Simon	NP	Simon
Harris	NP	Harris
has	VBZ	have
said	VBN	say
that	IN	that
Ireland	NP	Ireland
'	POS	'
s	JJ	<unknown>
new	JJ	new
