<p>
Addressing	VBG	address
the	DT	the
rally	NN	rally
,	,	,
Aisling	NP	<unknown>
said	VBD	say
that	IN	that
while	IN	while
Irish	JJ	Irish
children	NNS	child
listened	VBD	listen
to	TO	to
Christmas	NP	Christmas
movies	NNS	movie
and	CC	and
music	NN	music
,	,	,
children	NNS	child
in	IN	in
Gaza	NP	Gaza
listened	VBD	listen
for	IN	for
the	DT	the
sounds	NNS	sound
of	IN	of
killer	NN	killer
drones	NNS	drone
,	,	,
adding	VBG	add
that	IN	that
the	DT	the
suffering	NN	suffering
of	IN	of
children	NNS	child
in	IN	in
Gaza	NP	Gaza
was	VBD	be
so	RB	so
bad	JJ	bad
that	IN	that
the	DT	the
living	NN	living
sometimes	RB	sometimes
envied	VBD	envy
the	DT	the
dead	NN	dead
.	SENT	.
<p>
"	''	"
Israel	NP	Israel
wants	VBZ	want
to	TO	to
silence	VB	silence
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
and	CC	and
hide	VB	hide
what	WP	what
is	VBZ	be
being	VBG	be
done	VBN	do
,	,	,
but	CC	but
we	PP	we
will	MD	will
not	RB	not
allow	VB	allow
them	PP	them
to	TO	to
do	VB	do
that	IN	that
,	,	,
we	PP	we
will	MD	will
be	VB	be
their	PP$	their
voices	NNS	voice
and	CC	and
we	PP	we
will	MD	will
continue	VB	continue
to	TO	to
tell	VB	tell
the	DT	the
world	NN	world
the	DT	the
truth	NN	truth
about	IN	about
what	WP	what
is	VBZ	be
happening	VBG	happen
,	,	,
"	''	"
she	PP	she
said	VBD	say
.	SENT	.
<p>
Reading	VBG	read
from	IN	from
a	DT	a
poem	NN	poem
,	,	,
'	''	'
I	PP	I
Like	IN	like
Your	PP$	your
Scarf	NN	scarf
'	POS	'
,	,	,
Journey	NP	Journey
drew	VBD	draw
strong	JJ	strong
applause	NN	applause
for	IN	for
the	DT	the
line	NN	line
"	``	"
Your	PP$	your
burden	NN	burden
is	VBZ	be
heavy	JJ	heavy
,	,	,
I	PP	I
will	MD	will
carry	VB	carry
it	PP	it
for	IN	for
you	PP	you
"	''	"
.	SENT	.
<p>
Because	IN	because
it	PP	it
took	VBD	take
place	NN	place
between	IN	between
Christmas	NP	Christmas
and	CC	and
New	NP	New
Year	NP	Year
,	,	,
this	DT	this
week	NN	week
'	POS	'
s	NN	S
rally	NN	rally
,	,	,
the	DT	the
64th	JJ	<unknown>
to	TO	to
take	VB	take
place	NN	place
in	IN	in
Cork	NP	Cork
,	,	,
had	VBD	have
fewer	JJR	few
people	NNS	people
in	IN	in
attendance	NN	attendance
than	IN	than
usual	JJ	usual
,	,	,
but	CC	but
its	PP$	its
numbers	NNS	number
still	RB	still
swelled	VBD	swell
to	TO	to
about	RB	about
350	CD	@card@
by	IN	by
the	DT	the
time	NN	time
its	PP$	its
march	NN	march
through	IN	through
the	DT	the
city	NN	city
centre	NN	centre
had	VBD	have
concluded	VBN	conclude
.	SENT	.
<p>
Speaking	VBG	speak
to	TO	to
The	DT	the
Echo	NP	Echo
at	IN	at
the	DT	the
protest	NN	protest
,	,	,
the	DT	the
deputy	JJ	deputy
lord	NN	lord
mayor	NN	mayor
of	IN	of
Cork	NP	Cork
,	,	,
Green	NP	Green
Party	NP	Party
councillor	NN	councillor
Honore	NP	Honore
Kamegni	NP	<unknown>
,	,	,
said	VBD	say
he	PP	he
had	VBD	have
been	VBN	be
moved	VBN	move
by	IN	by
the	DT	the
line	NN	line
"	``	"
I	PP	I
will	MD	will
carry	VB	carry
it	PP	it
for	IN	for
you	PP	you
"	''	"
,	,	,
quoted	VBN	quote
by	IN	by
Journey	NP	Journey
.	SENT	.
<p>
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
what	WDT	what
we	PP	we
Cork	NP	Cork
people	NNS	people
are	VBP	be
showing	VBG	show
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
every	DT	every
week	NN	week
,	,	,
that	WDT	that
we	PP	we
care	VBP	care
and	CC	and
that	IN	that
we	PP	we
will	MD	will
help	VB	help
them	PP	them
to	TO	to
carry	VB	carry
the	DT	the
burden	NN	burden
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Earlier	RBR	earlier
this	DT	this
month	NN	month
,	,	,
Israel	NP	Israel
announced	VBD	announce
it	PP	it
would	MD	would
close	VB	close
its	PP$	its
Irish	JJ	Irish
embassy	NN	embassy
,	,	,
citing	VBG	cite
the	DT	the
Irish	JJ	Irish
Government	NN	government
'	POS	'
s	JJ	<unknown>
decision	NN	decision
to	TO	to
support	VB	support
a	DT	a
petition	NN	petition
at	IN	at
the	DT	the
International	NP	International
Court	NP	Court
of	IN	of
Justice	NP	Justice
(	(	(
ICJ	NP	ICJ
)	)	)
accusing	VBG	accuse
Israel	NP	Israel
of	IN	of
genocide	NN	genocide
.	SENT	.
<p>
Israeli	JJ	Israeli
foreign	JJ	foreign
minister	NN	minister
Gideon	NP	Gideon
Sa'ar	NP	<unknown>
said	VBD	say
the	DT	the
move	NN	move
was	VBD	be
prompted	VBN	prompt
by	IN	by
the	DT	the
