<p>
AL	NP	al
ARISH	NP	<unknown>
,	,	,
Egypt	NP	Egypt
-	NP	<unknown>
United	NP	United
Nations	NPS	Nations
Secretary-General	NP	Secretary-General
Antonio	NP	Antonio
Guterres	NP	Guterres
flew	VBD	fly
to	TO	to
Egypt	NP	Egypt
'	POS	'
s	NN	S
Sinai	NP	Sinai
Peninsula	NP	Peninsula
on	IN	on
Friday	NP	Friday
in	IN	in
a	DT	a
push	NN	push
to	TO	to
get	VB	get
aid	NN	aid
flowing	VBG	flow
into	IN	into
Gaza	NP	Gaza
,	,	,
but	CC	but
it	PP	it
was	VBD	be
unclear	JJ	unclear
when	WRB	when
delivery	NN	delivery
of	IN	of
relief	NN	relief
materials	NNS	material
stockpiled	VBN	stockpile
in	IN	in
Egypt	NP	Egypt
would	MD	would
start	VB	start
.	SENT	.
<p>
The	DT	the
United	NP	United
States	NPS	States
said	VBD	say
details	NNS	detail
of	IN	of
a	DT	a
deal	NN	deal
to	TO	to
send	VB	send
aid	NN	aid
through	IN	through
the	DT	the
Rafah	NP	<unknown>
crossing	NN	crossing
between	IN	between
Sinai	NP	Sinai
and	CC	and
Gaza	NP	Gaza
were	VBD	be
still	RB	still
being	VBG	be
hammered	VBN	hammer
out	RP	out
.	SENT	.
<p>
Earlier	RBR	earlier
,	,	,
the	DT	the
United	NP	United
States	NPS	States
said	VBD	say
agreement	NN	agreement
was	VBD	be
reached	VBN	reach
for	IN	for
the	DT	the
passage	NN	passage
of	IN	of
the	DT	the
first	JJ	first
20	CD	@card@
trucks	NNS	truck
,	,	,
but	CC	but
U.N	NP	U.N
.	SENT	.
officials	NNS	official
say	VBP	say
that	IN	that
any	DT	any
delivery	NN	delivery
of	IN	of
aid	NN	aid
needs	VBZ	need
to	TO	to
be	VB	be
done	VBN	do
at	IN	at
scale	NN	scale
and	CC	and
in	IN	in
a	DT	a
sustained	JJ	sustained
way	NN	way
.	SENT	.
<p>
Before	IN	before
the	DT	the
current	JJ	current
conflict	NN	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
Palestinian	JJ	Palestinian
militant	JJ	militant
group	NN	group
Hamas	NN	<unknown>
about	IN	about
450	CD	@card@
aid	NN	aid
trucks	NNS	truck
were	VBD	be
arriving	VBG	arrive
in	IN	in
Gaza	NP	Gaza
daily	NN	daily
.	SENT	.
<p>
Most	JJS	most
of	IN	of
