<h>
Thank	VB	thank
you	PP	you
for	IN	for
subscribing	VBG	subscribe
!	SENT	!
<p>
Greater	NP	Greater
Manchester	NP	Manchester
'	POS	'
s	JJ	<unknown>
civic	JJ	civic
leaders	NNS	leader
have	VBP	have
called	VBN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
<p>
A	DT	a
statement	NN	statement
signed	VBN	sign
by	IN	by
the	DT	the
leaders	NNS	leader
of	IN	of
Greater	NP	Greater
Manchester	NP	Manchester
'	POS	'
s	JJ	<unknown>
10	CD	@card@
local	JJ	local
authorities	NNS	authority
,	,	,
the	DT	the
mayor	NN	mayor
of	IN	of
Greater	NP	Greater
Manchester	NP	Manchester
,	,	,
Andy	NP	Andy
Burnham	NP	Burnham
,	,	,
and	CC	and
deputy	JJ	deputy
mayor	NN	mayor
,	,	,
Kate	NP	Kate
Green	NP	Green
,	,	,
was	VBD	be
released	VBN	release
today	NN	today
.	SENT	.
Collectively	RB	collectively
,	,	,
they	PP	they
have	VBP	have
joined	VBN	join
the	DT	the
international	JJ	international
calls	NNS	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
amid	IN	amid
the	DT	the
humanitarian	JJ	humanitarian
disaster	NN	disaster
unfolding	VBG	unfold
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
leaders	NNS	leader
say	VBP	say
they	PP	they
are	VBP	be
'	''	'
deeply	RB	deeply
concerned	VBN	concern
'	''	'
about	IN	about
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
-	NP	<unknown>
and	CC	and
the	NP	the
'	POS	'
anguish	NN	anguish
being	VBG	be
experienced	VBN	experience
'	''	'
by	IN	by
people	NNS	people
in	IN	in
the	DT	the
city	NN	city
region	NN	region
'	POS	'
s	JJ	<unknown>
Jewish	JJ	Jewish
and	CC	and
Muslim	JJ	Muslim
communities	NNS	community
.	SENT	.
<p>
The	DT	the
statement	NN	statement
read	VBD	read
:	:	:
"	``	"
We	PP	we
are	VBP	be
deeply	RB	deeply
concerned	VBN	concern
about	IN	about
events	NNS	event
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
the	DT	the
anguish	NN	anguish
being	VBG	be
experienced	VBN	experience
by	IN	by
people	NNS	people
in	IN	in
Greater	NP	Greater
Manchester	NP	Manchester
,	,	,
most	RBS	most
acutely	RB	acutely
in	IN	in
our	PP$	our
Jewish	JJ	Jewish
and	CC	and
Muslim	JJ	Muslim
communities	NNS	community
.	SENT	.
<p>
Andy	NP	Andy
Burnham	NP	Burnham
(	(	(
Image	NN	image
:	:	:
PA	NN	pa
)	)	)
<p>
"	``	"
We	PP	we
condemn	VBP	condemn
unreservedly	RB	unreservedly
the	DT	the
appalling	JJ	appalling
