<h>
Caring	VBG	care
with	IN	with
tangible	JJ	tangible
actions	NNS	action
<p>
The	DT	the
author	NN	author
is	VBZ	be
a	DT	a
Professor	NP	Professor
and	CC	and
the	DT	the
Director	NP	Director
of	IN	of
Center	NP	Center
on	IN	on
Forced	VBN	force
Displacement	NN	displacement
at	IN	at
Boston	NP	Boston
University	NP	University
<p>
While	IN	while
the	DT	the
destruction	NN	destruction
of	IN	of
hospitals	NNS	hospital
or	CC	or
clinics	NNS	clinic
during	IN	during
conflict	NN	conflict
makes	VBZ	make
headlines	NNS	headline
,	,	,
as	IN	as
it	PP	it
should	MD	should
,	,	,
the	DT	the
destruction	NN	destruction
of	IN	of
colleges	NNS	college
or	CC	or
universities	NNS	university
does	VBZ	do
not	RB	not
get	VB	get
its	PP$	its
due	JJ	due
attention	NN	attention
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
certain	JJ	certain
sense	NN	sense
of	IN	of
inevitability	NN	inevitability
,	,	,
or	CC	or
resignation	NN	resignation
,	,	,
that	WDT	that
universities	NNS	university
would	MD	would
be	VB	be
destroyed	VBN	destroy
in	IN	in
a	DT	a
war	NN	war
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
just	RB	just
how	WRB	how
it	PP	it
is	VBZ	be
.	SENT	.
But	CC	but
a	DT	a
loss	NN	loss
of	IN	of
an	DT	an
institution	NN	institution
of	IN	of
learning	NN	learning
is	VBZ	be
not	RB	not
simply	RB	simply
the	DT	the
loss	NN	loss
of	IN	of
a	DT	a
building	NN	building
,	,	,
or	CC	or
destruction	NN	destruction
of	IN	of
infrastructure	NN	infrastructure
,	,	,
it	PP	it
has	VBZ	have
real	JJ	real
consequences	NNS	consequence
that	WDT	that
go	VBP	go
well	RB	well
beyond	IN	beyond
the	DT	the
physical	JJ	physical
damage	NN	damage
.	SENT	.
For	IN	for
example	NN	example
,	,	,
the	DT	the
doctors	NNS	doctor
or	CC	or
nurses	NNS	nurse
who	WP	who
would	MD	would
have	VB	have
trained	VBN	train
at	IN	at
the	DT	the
university	NN	university
that	WDT	that
was	VBD	be
destroyed	VBN	destroy
can	MD	can
no	RB	no
longer	RBR	longer
be	VB	be
trained	VBN	train
.	SENT	.
The	DT	the
impact	NN	impact
of	IN	of
this	DT	this
discontinuity	NN	discontinuity
of	IN	of
training	NN	training
is	VBZ	be
not	RB	not
simply	RB	simply
on	IN	on
their	PP$	their
own	JJ	own
education	NN	education
,	,	,
but	CC	but
the	DT	the
society	NN	society
at	IN	at
