<h>
Pro-Israel	NP	Pro-Israel
Democratic	NP	Democratic
group	NN	group
looking	VBG	look
to	TO	to
put	VB	put
third	JJ	third
'	''	'
Squad	NN	squad
'	POS	'
member	NN	member
on	IN	on
their	PP$	their
list	NN	list
for	IN	for
removal	NN	removal
<p>
Rep.	NP	Rep.
Summer	NPS	Summer
Lee	NP	Lee
,	,	,
D-Pa	NP	<unknown>
.	SENT	.
,	,	,
dons	VBZ	don
a	DT	a
scarf	NN	scarf
,	,	,
as	IN	as
Rep.	NP	Rep.
Rashida	NP	Rashida
Tlaib	NP	<unknown>
,	,	,
D-Mich	NP	<unknown>
.	SENT	.
,	,	,
top	JJ	top
,	,	,
looks	VBZ	look
on	IN	on
,	,	,
before	IN	before
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
arrives	VBZ	arrive
to	TO	to
deliver	VB	deliver
his	PP$	his
State	NN	state
of	IN	of
the	DT	the
Union	NP	Union
address	NN	address
to	TO	to
a	DT	a
joint	JJ	joint
session	NN	session
of	IN	of
Congress	NP	Congress
,	,	,
at	IN	at
the	DT	the
Capitol	NP	Capitol
in	IN	in
Washington	NP	Washington
,	,	,
Thursday	NP	Thursday
,	,	,
March	NP	March
7	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
(	(	(
AP	NP	AP
Photo/J	NP	<unknown>
.	SENT	.
Scott	NP	Scott
Applewhite	NP	Applewhite
)	)	)
<p>
A	DT	a
pro-Israel	NP	pro-Israel
Democratic	JJ	Democratic
group	NN	group
is	VBZ	be
looking	VBG	look
to	TO	to
put	VB	put
a	DT	a
third	JJ	third
"	``	"
Squad	NN	squad
"	''	"
member	NN	member
in	IN	in
the	DT	the
hot	JJ	hot
seat	NN	seat
for	IN	for
her	PP$	her
stance	NN	stance
on	IN	on
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
.	SENT	.
<p>
The	DT	the
Democratic	NP	Democratic
Majority	NP	Majority
for	IN	for
Israel	NP	Israel
is	VBZ	be
targeting	VBG	target
several	JJ	several
progressive	JJ	progressive
Democrats	NNS	democrat
in	IN	in
the	DT	the
Squad	NN	squad
with	IN	with
primary	JJ	primary
challengers	NNS	challenger
where	WRB	where
they	PP	they
can	MD	can
.	SENT	.
The	DT	the
group	NN	group
'	POS	'
s	NN	S
president	NN	president
,	,	,
Mark	NP	Mark
Mellman	NP	Mellman
,	,	,
toldPolitico	NN	<unknown>
that	IN	that
Reps	NNS	rep
.	SENT	.
Jamaal	NP	Jamaal
Bowman	NP	Bowman
(	(	(
D-NY	NP	<unknown>
)	)	)
and	CC	and
Cori	NP	Cori
Bush	NP	Bush
(	(	(
