<p>
Elected	VBN	elect
Democrats	NPS	Democrats
in	IN	in
Michigan	NP	Michigan
on	IN	on
Sunday	NP	Sunday
indicated	VBD	indicate
they	PP	they
'	''	'
re	IN	re
unsure	JJ	unsure
how	WRB	how
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
will	MD	will
perform	VB	perform
in	IN	in
the	DT	the
state	NN	state
electorally	RB	electorally
ahead	RB	ahead
of	IN	of
the	DT	the
Tuesday	NP	Tuesday
primary	NN	primary
,	,	,
citing	VBG	cite
calls	NNS	call
from	IN	from
the	DT	the
left	NN	left
for	IN	for
Michigan	NP	Michigan
Democrats	NPS	Democrats
to	TO	to
vote	VB	vote
uncommitted	JJ	uncommitted
over	IN	over
his	PP$	his
approach	NN	approach
to	TO	to
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
.	SENT	.
<p>
During	IN	during
an	DT	an
interview	NN	interview
on	IN	on
CNN	NP	CNN
'	POS	'
s	NN	S
"	``	"
State	NP	State
of	IN	of
the	DT	the
Union	NP	Union
,	,	,
"	''	"
Michigan	NP	Michigan
Gov	NP	Gov
.	SENT	.
Gretchen	NP	Gretchen
Whitmer	NP	Whitmer
,	,	,
who	WP	who
serves	VBZ	serve
as	IN	as
a	DT	a
surrogate	NN	surrogate
in	IN	in
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
re-election	NN	re-election
campaign	NN	campaign
,	,	,
was	VBD	be
asked	VBN	ask
about	IN	about
divisions	NNS	division
within	IN	within
the	DT	the
Democratic	JJ	Democratic
Party	NN	party
over	IN	over
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
,	,	,
with	IN	with
Democratic	JJ	Democratic
lawmakers	NNS	lawmaker
such	JJ	such
as	IN	as
Rep.	NP	Rep.
Rashida	NP	Rashida
Tlaib	NP	<unknown>
calling	VBG	call
on	IN	on
voters	NNS	voter
to	TO	to
vote	VB	vote
uncommitted	JJ	uncommitted
in	IN	in
protest	NN	protest
of	IN	of
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
response	NN	response
to	TO	to
the	DT	the
war	NN	war
.	SENT	.
<p>
Whitmer	NP	Whitmer
replied	VBD	reply
that	IN	that
she	PP	she
'	POS	'
s	NNS	<unknown>
"	``	"
not	RB	not
sure	JJ	sure
"	''	"
how	WRB	how
Tuesday	NP	Tuesday
'	POS	'
s	NN	S
primary	NN	primary
will	MD	will
turn	VB	turn
out	RP	out
,	,	,
noting	VBG	note
that	IN	that
Michigan	NP	Michigan
has	VBZ	have
a	DT	a
"	``	"
robust	JJ	robust
"	''	"
Arab	JJ	Arab
,	,	,
Muslim	JJ	Muslim
and	CC	and
Palestinian	JJ	Palestinian
community	NN	community
,	,	,
as	IN	as
well	RB	well
a	DT	a
"	``	"
robust	JJ	robust
"	''	"
Jewish	JJ	Jewish
community	NN	community
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
ve	NN	ve
lived	VBD	live
in	IN	in
harmony	NN	harmony
as	IN	as
neighbors	NNS	neighbor
for	IN	for
decades	NNS	decade
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
pain	NN	pain
all	RB	all
across	IN	across
all	DT	all
of	IN	of
these	DT	these
communities	NNS	community
because	IN	because
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
halfway	RB	halfway
around	IN	around
the	DT	the
world	NN	world
,	,	,
"	''	"
she	PP	she
said	VBD	say
,	,	,
adding	VBG	add
that	IN	that
she	PP	she
expects	VBZ	expect
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
primary	JJ	primary
and	CC	and
stressing	VBG	stress
that	IN	that
she	PP	she
does	VBZ	do
n't	RB	n't
want	VB	want
voters	NNS	voter
to	TO	to
"	``	"
lose	VB	lose
sight	NN	sight
of	IN	of
the	DT	the
fact	NN	fact
that	IN	that
any	DT	any
vote	NN	vote
that	RB	that
'	POS	'
s	NN	S
not	RB	not
cast	VBN	cast
for	IN	for
Joe	NP	Joe
Biden	NP	Biden
supports	VBZ	support
a	DT	a
second	JJ	second
Trump	NP	Trump
term	NN	term
.	SENT	.
"	''	"
<p>
But	CC	but
Whitmer	NP	Whitmer
also	RB	also
acknowledged	VBD	acknowledge
the	DT	the
"	``	"
pain	NN	pain
"	''	"
people	NNS	people
feel	VBP	feel
amid	IN	amid
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
.	SENT	.
<p>
"	''	"
I	NP	I
'	POS	'
m	NN	m
encouraging	VBG	encourage
people	NNS	people
to	TO	to
cast	VB	cast
an	DT	an
affirmative	JJ	affirmative
vote	NN	vote
for	IN	for
President	NP	President
Biden	NP	Biden
.	SENT	.
I	PP	I
understand	VBP	understand
the	DT	the
pain	NN	pain
that	IN	that
people	NNS	people
are	VBP	be
feeling	VBG	feel
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
continue	VBP	continue
to	TO	to
work	VB	work
to	TO	to
build	VB	build
bridges	NNS	bridge
with	IN	with
folks	NNS	folk
and	CC	and
all	DT	all
of	IN	of
these	DT	these
communities	NNS	community
,	,	,
because	IN	because
they	PP	they
'	POS	'
re	NN	re
all	RB	all
important	JJ	important
to	TO	to
me	PP	me
,	,	,
"	''	"
she	PP	she
said	VBD	say
.	SENT	.
"	``	"
They	PP	they
'	''	'
re	IN	re
all	DT	all
important	JJ	important
to	TO	to
Michigan	NP	Michigan
,	,	,
and	CC	and
I	PP	I
know	VBP	know
they	PP	they
'	''	'
re	IN	re
all	DT	all
important	JJ	important
to	TO	to
President	NP	President
Biden	NP	Biden
as	RB	as
well	RB	well
.	SENT	.
"	''	"
<p>
Pressed	VBN	press
on	IN	on
whether	IN	whether
she	PP	she
is	VBZ	be
preparing	VBG	prepare
for	IN	for
asizable	JJ	asizable
portion	NN	portion
of	IN	of
the	DT	the
vote	NN	vote
in	IN	in
the	DT	the
primary	JJ	primary
to	TO	to
be	VB	be
uncommitted	JJ	uncommitted
in	IN	in
protest	NN	protest
of	IN	of
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
handling	NN	handling
of	IN	of
the	DT	the
war	NN	war
,	,	,
Whitmer	NP	Whitmer
reiterated	VBD	reiterate
that	IN	that
she	PP	she
'	POS	'
s	NNS	<unknown>
unsure	JJ	unsure
of	IN	of
what	WP	what
to	TO	to
expect	VB	expect
because	IN	because
the	DT	the
state	NN	state
is	VBZ	be
holding	VBG	hold
its	PP$	its
primary	NN	primary
earlier	RBR	earlier
than	IN	than
usual	JJ	usual
,	,	,
and	CC	and
because	IN	because
of	IN	of
potential	JJ	potential
weather-related	JJ	weather-related
events	NNS	event
and	CC	and
Michigan	JJ	Michigan
being	VBG	be
a	DT	a
state	NN	state
"	''	"
where	WRB	where
the	DT	the
election	NN	election
is	VBZ	be
close	NN	close
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
he	PP	he
is	VBZ	be
going	VBG	go
to	TO	to
need	VB	need
to	TO	to
do	VB	do
that	IN	that
at	IN	at
some	DT	some
point	NN	point
down	IN	down
the	DT	the
road	NN	road
.	SENT	.
This	DT	this
community	NN	community
is	VBZ	be
pretty	RB	pretty
angry	JJ	angry
right	RB	right
now	RB	now
,	,	,
"	''	"
she	PP	she
said	VBD	say
Sunday	NP	Sunday
on	IN	on
CBS	NP	CBS
'	POS	'
"	``	"
Face	NP	Face
the	DT	the
Nation	NN	nation
,	,	,
"	''	"
noting	VBG	note
that	IN	that
her	PP$	her
own	JJ	own
events	NNS	event
have	VBP	have
been	VBN	be
marked	VBN	mark
by	IN	by
protests	NNS	protest
.	SENT	.
<p>
Asked	VBN	ask
whether	IN	whether
the	DT	the
push	NN	push
for	IN	for
voters	NNS	voter
to	TO	to
vote	VB	vote
"	``	"
uncommitted	JJ	uncommitted
"	''	"
will	MD	will
"	``	"
damage	VB	damage
Biden	NP	Biden
in	IN	in
a	DT	a
significant	JJ	significant
way	NN	way
,	,	,
"	''	"
Dingell	NP	Dingell
did	VBD	do
not	RB	not
answer	VB	answer
directly	RB	directly
.	SENT	.
<p>
"	``	"
I	PP	I
know	VBP	know
many	JJ	many
of	IN	of
this	DT	this
community	NN	community
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
lived	VBD	live
in	IN	in
Dearborn	NP	Dearborn
for	IN	for
many	JJ	many
years	NNS	year
with	IN	with
my	PP$	my
husband	NN	husband
,	,	,
and	CC	and
there	EX	there
are	VBP	be
two	CD	two
campaigns	NNS	campaign
,	,	,
"	''	"
she	PP	she
said	VBD	say
.	SENT	.
"	``	"
One	PP	one
is	VBZ	be
an	DT	an
abandon	VBP	abandon
Biden	NP	Biden
campaign	NN	campaign
,	,	,
but	CC	but
the	DT	the
other	JJ	other
,	,	,
the	DT	the
major	JJ	major
campaign	NN	campaign
that	WDT	that
has	VBZ	have
made	VBN	make
over	IN	over
a	DT	a
hundred	CD	hundred
thousand	CD	thousand
calls	NNS	call
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
how	WRB	how
many	JJ	many
people	NNS	people
vote	NN	vote
on	IN	on
Tuesday	NP	Tuesday
,	,	,
are	VBP	be
trying	VBG	try
to	TO	to
make	VB	make
sure	RB	sure
the	DT	the
president	NN	president
hears	VBZ	hear
them	PP	them
.	SENT	.
"	''	"
<p>
Dingell	NP	Dingell
said	VBD	say
that	IN	that
"	``	"
ongoing	JJ	ongoing
conversations	NNS	conversation
"	''	"
between	IN	between
Biden	NP	Biden
'	POS	'
s	NN	S
team	NN	team
and	CC	and
the	DT	the
Arab	JJ	Arab
American	JJ	American
community	NN	community
must	MD	must
continue	VB	continue
,	,	,
especially	RB	especially
because	IN	because
Michigan	NP	Michigan
is	VBZ	be
considered	VBN	consider
a	DT	a
"	``	"
purple	JJ	purple
state	NN	state
"	''	"
in	IN	in
presidential	JJ	presidential
elections	NNS	election
.	SENT	.
<p>
Many	JJ	many
on	IN	on
the	DT	the
left	NN	left
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
mishandled	VBN	mishandle
the	DT	the
conflict	NN	conflict
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
Tlaib	NP	<unknown>
,	,	,
D-Mich	NP	<unknown>
.	SENT	.
,	,	,
has	VBZ	have
joined	VBN	join
progressive	JJ	progressive
activists	NNS	activist
in	IN	in
urging	VBG	urge
Democrats	NNS	democrat
to	TO	to
vote	VB	vote
against	IN	against
Biden	NP	Biden
in	IN	in
the	DT	the
state	NN	state
'	POS	'
s	JJ	<unknown>
primary	NN	primary
on	IN	on
Tuesday	NP	Tuesday
,	,	,
citing	VBG	cite
disagreements	NNS	disagreement
over	IN	over
the	DT	the
administration	NN	administration
'	POS	'
s	JJ	<unknown>
role	NN	role
in	IN	in
the	DT	the
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
.	SENT	.
Tlaib	NP	<unknown>
,	,	,
who	WP	who
is	VBZ	be
Palestinian	NP	Palestinian
American	NP	American
,	,	,
has	VBZ	have
repeatedly	RB	repeatedly
called	VBN	call
for	IN	for
a	DT	a
cease-fire	NN	cease-fire
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
So	RB	so
far	RB	far
,	,	,
moderates	NNS	moderate
seem	VBP	seem
to	TO	to
support	VB	support
Biden	NP	Biden
'	POS	'
s	NN	S
approach	NN	approach
--	:	--
and	CC	and
they	PP	they
'	POS	'
re	NN	re
urging	VBG	urge
Democratic	JJ	Democratic
voters	NNS	voter
to	TO	to
support	VB	support
him	PP	him
in	IN	in
Michigan	NP	Michigan
'	POS	'
s	NN	S
primary	NN	primary
.	SENT	.
A	DT	a
centrist	JJ	centrist
Democratic	JJ	Democratic
pro-Israel	NP	pro-Israel
group	NN	group
recently	RB	recently
launched	VBD	launch
an	DT	an
ad	NN	ad
campaign	NN	campaign
in	IN	in
Michigan	NP	Michigan
ahead	RB	ahead
of	IN	of
the	DT	the
state	NN	state
'	POS	'
s	NN	S
primary	JJ	primary
urging	VBG	urge
voters	NNS	voter
to	TO	to
back	VB	back
Biden	NP	Biden
because	IN	because
"	``	"
voting	VBG	vote
uncommitted	JJ	uncommitted
hurts	NNS	hurt
Biden	NP	Biden
,	,	,
which	WDT	which
helps	VBZ	help
former	JJ	former
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
and	CC	and
his	PP$	his
