<p>
R	LS	r
?	SENT	?
meysa	NN	<unknown>
?	SENT	?
zt	NN	zt
?	SENT	?
rk	RB	<unknown>
,	,	,
a	DT	a
student	NN	student
visa	NN	visa
holder	NN	holder
at	IN	at
Tufts	NP	Tufts
University	NP	University
from	IN	from
Turkey	NP	Turkey
,	,	,
was	VBD	be
ordered	VBN	order
to	TO	to
be	VB	be
released	VBN	release
on	IN	on
bail	NN	bail
and	CC	and
freed	VBN	free
from	IN	from
over	IN	over
six	CD	six
weeks	NNS	week
of	IN	of
detention	NN	detention
in	IN	in
a	DT	a
Louisiana	NP	Louisiana
immigration	NN	immigration
detention	NN	detention
center	NN	center
after	IN	after
Secretary	NP	Secretary
of	IN	of
State	NP	State
Marco	NP	Marco
Rubio	NP	Rubio
stripped	VBD	strip
her	PP	her
of	IN	of
her	PP$	her
visa	NN	visa
and	CC	and
ordered	VBD	order
her	PP	her
deported	VBD	deport
for	IN	for
co-authoring	VBG	co-authore
an	DT	an
op-ed	NN	<unknown>
in	IN	in
her	PP$	her
student	NN	student
newspaper	NN	newspaper
.	SENT	.
<p>
Judge	NP	Judge
William	NP	William
Sessions	NP	Sessions
III	NP	III
in	IN	in
the	DT	the
U.S.	NP	U.S.
District	NP	District
Court	NP	Court
of	IN	of
Vermont	NP	Vermont
ordered	VBD	order
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
released	VBN	release
on	IN	on
bail	NN	bail
Friday	NP	Friday
,	,	,
saying	VBG	say
that	IN	that
the	DT	the
government	NN	government
had	VBD	have
not	RB	not
presented	VBN	present
a	DT	a
legitimate	JJ	legitimate
case	NN	case
for	IN	for
her	PP$	her
detention	NN	detention
and	CC	and
thatshe	NN	<unknown>
faced	VBD	face
significant	JJ	significant
danger	NN	danger
of	IN	of
health	NN	health
issues	NNS	issue
while	IN	while
in	IN	in
detention	NN	detention
due	JJ	due
to	TO	to
her	PP$	her
asthma	NN	asthma
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
"	``	"
There	EX	there
is	VBZ	be
no	DT	no
evidence	NN	evidence
here	RB	here
as	RB	as
to	TO	to
the	DT	the
motivation	NN	motivation
to	TO	to
detain	VB	detain
and	CC	and
remove	VB	remove
her	PP	her
absent	VB	absent
the	DT	the
consideration	NN	consideration
of	IN	of
the	DT	the
op-ed	JJ	<unknown>
,	,	,
"	''	"
Sessions	NP	Sessions
said	VBD	say
.	SENT	.
Adding	VBG	add
,	,	,
"	''	"
The	DT	the
reason	NN	reason
she	PP	she
has	VBZ	have
been	VBN	be
detained	VBN	detain
is	VBZ	be
simply	RB	simply
and	CC	and
purely	RB	purely
the	DT	the
expression	NN	expression
she	PP	she
made	VBD	make
in	IN	in
the	DT	the
op-ed	NN	<unknown>
in	IN	in
violation	NN	violation
of	IN	of
her	PP$	her
First	NP	First
Amendment	NP	Amendment
rights	NNS	right
.	SENT	.
"	''	"
<p>
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NN	rk
'	POS	'
s	NN	S
detention	NN	detention
not	RB	not
only	RB	only
infringed	VBN	infringe
on	IN	on
her	PP$	her
own	JJ	own
rights	NNS	right
,	,	,
but	CC	but
it	PP	it
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
people	NNS	people
in	IN	in
this	DT	this
country	NN	country
who	WP	who
are	VBP	be
not	RB	not
citizens	NNS	citizen
,	,	,
"	''	"
Sessions	NP	Sessions
said	VBD	say
.	SENT	.
<p>
A	DT	a
fifth-year	JJ	<unknown>
doctoral	JJ	doctoral
student	NN	student
,	,	,
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
was	VBD	be
taken	VBN	take
off	RP	off
the	DT	the
street	NN	street
of	IN	of
Somerville	NP	Somerville
,	,	,
Massachusetts	NP	Massachusetts
,	,	,
by	IN	by
plainclothes	NNS	plainclothe
immigration	NN	immigration
officers	NNS	officer
wearing	VBG	wear
masks	NNS	mask
on	IN	on
March	NP	March
25	CD	@card@
,	,	,
after	IN	after
Rubio	NP	Rubio
labeled	VBD	label
her	PP	her
a	DT	a
threat	NN	threat
to	TO	to
national	JJ	national
security	NN	security
and	CC	and
revoked	VBN	revoke
her	PP$	her
student	NN	student
visa	NN	visa
.	SENT	.
What	WP	what
made	VBD	make
her	PP	her
a	DT	a
threat	NN	threat
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
government	NN	government
,	,	,
was	VBD	be
herco-authoring	VBG	herco-authore
an	DT	an
opinion	NN	opinion
piece	NN	piece
calling	VBG	call
on	IN	on
the	DT	the
Tufts	NP	Tufts
president	NN	president
to	TO	to
support	VB	support
a	DT	a
student	NN	student
vote	NN	vote
to	TO	to
divest	VB	divest
from	IN	from
Israeli	JJ	Israeli
companies	NNS	company
amid	IN	amid
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
She	PP	she
will	MD	will
now	RB	now
be	VB	be
released	VBN	release
back	RB	back
to	TO	to
Massachusetts	NP	Massachusetts
to	TO	to
resume	VB	resume
her	PP$	her
studies	NNS	study
at	IN	at
Tufts	NP	Tufts
while	IN	while
still	RB	still
being	VBG	be
subject	JJ	subject
to	TO	to
removal	NN	removal
proceedings	NNS	proceeding
.	SENT	.
Sessions	NNS	session
denied	VBD	deny
the	DT	the
government	NN	government
'	POS	'
s	JJ	<unknown>
request	NN	request
to	TO	to
impose	VB	impose
a	DT	a
travel	NN	travel
ban	NN	ban
on	IN	on
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
,	,	,
stating	VBG	state
that	IN	that
he	PP	he
did	VBD	do
not	RB	not
think	VB	think
she	PP	she
was	VBD	be
a	DT	a
flight	NN	flight
risk	NN	risk
.	SENT	.
<p>
A	DT	a
district	NN	district
court	NN	court
judge	NN	judge
released	VBN	release
R	NP	R
?	SENT	?
meysa	NN	<unknown>
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
on	IN	on
bail	NN	bail
Friday	NP	Friday
after	IN	after
she	PP	she
had	VBD	have
been	VBN	be
detained	VBN	detain
for	IN	for
over	IN	over
six	CD	six
weeks	NNS	week
.	SENT	.
<p>
Michael	NP	Michael
M.	NP	M.
Santiago	NP	Santiago
via	IN	via
Getty	NP	Getty
Images	NNS	image
<p>
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
joined	VBD	join
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
was	VBD	be
held	VBN	hold
.	SENT	.
It	PP	it
was	VBD	be
her	PP$	her
first	JJ	first
public	JJ	public
appearance	NN	appearance
since	IN	since
being	VBG	be
detained	VBN	detain
more	JJR	more
than	IN	than
six	CD	six
weeks	NNS	week
ago	RB	ago
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
She	PP	she
detailed	VBD	detail
her	PP$	her
Ph.D	NN	<unknown>
.	SENT	.
work	NN	work
at	IN	at
Tufts	NP	Tufts
and	CC	and
the	DT	the
community	NN	community
work	NN	work
she	PP	she
engaged	VBD	engage
in	IN	in
with	IN	with
other	JJ	other
students	NNS	student
as	RB	as
well	RB	well
as	IN	as
the	DT	the
12	CD	@card@
asthma	NN	asthma
attacks	VBZ	attack
she	PP	she
suffered	VBN	suffer
since	IN	since
being	VBG	be
detained	VBN	detain
.	SENT	.
While	IN	while
Dr.	NP	Dr.
Jessica	NP	Jessica
McCannon	NP	Mccannon
,	,	,
a	DT	a
doctor	NN	doctor
who	WP	who
had	VBD	have
examined	VBN	examine
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NN	rk
'	POS	'
s	JJ	<unknown>
asthma	NN	asthma
condition	NN	condition
,	,	,
testified	VBD	testify
,	,	,
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
suffered	VBD	suffer
yet	RB	yet
another	DT	another
asthma	NN	asthma
attack	NN	attack
and	CC	and
had	VBD	have
to	TO	to
leave	VB	leave
the	DT	the
room	NN	room
.	SENT	.
<p>
?	SENT	?
zt	NN	zt
?	SENT	?
rk	NNS	<unknown>
was	VBD	be
not	RB	not
in	IN	in
the	DT	the
courtroom	NN	courtroom
in	IN	in
Vermont	NP	Vermont
because	IN	because
Immigration	NN	immigration
and	CC	and
Customs	NP	Customs
Enforcement	NP	Enforcement
had	VBD	have
whisked	VBN	whisk
her	PP	her
out	RP	out
of	IN	of
Massachusetts	NP	Massachusetts
to	TO	to
a	DT	a
detention	NN	detention
facility	NN	facility
in	IN	in
Vermont	NP	Vermont
and	CC	and
then	RB	then
quickly	RB	quickly
off	RB	off
to	TO	to
Louisiana	NP	Louisiana
in	IN	in
a	DT	a
bid	NN	bid
to	TO	to
place	VB	place
any	DT	any
court	NN	court
case	NN	case
in	IN	in
the	DT	the
5th	JJ	5th
Circuit	NN	circuit
courts	NNS	court
,	,	,
which	WDT	which
are	VBP	be
