<p>
Eighteen	CD	eighteen
students	NNS	student
at	IN	at
Pomona	NP	Pomona
College	NP	College
in	IN	in
Claremont	NP	Claremont
,	,	,
California	NP	California
,	,	,
were	VBD	be
arrested	VBN	arrest
on	IN	on
Friday	NP	Friday
and	CC	and
charged	VBN	charge
with	IN	with
misdemeanor	NN	misdemeanor
trespassing	NN	trespassing
,	,	,
and	CC	and
one	CD	one
student	NN	student
was	VBD	be
arrested	VBN	arrest
for	IN	for
obstruction	NN	obstruction
of	IN	of
justice	NN	justice
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Claremont	NP	Claremont
police	NN	police
department	NN	department
,	,	,
during	IN	during
a	DT	a
protest	NN	protest
in	IN	in
response	NN	response
to	TO	to
the	DT	the
removal	NN	removal
of	IN	of
pro-Palestinian	NP	pro-Palestinian
art	NN	art
on	IN	on
the	DT	the
college	NN	college
campus	NN	campus
.	SENT	.
<p>
Students	NNS	student
criticized	VBD	criticize
the	DT	the
heavy	JJ	heavy
police	NN	police
response	NN	response
to	TO	to
the	DT	the
protest	NN	protest
,	,	,
as	IN	as
police	NN	police
from	IN	from
Claremont	NP	Claremont
,	,	,
Pomona	NP	Pomona
,	,	,
Azusa	NP	Azusa
and	CC	and
La	NP	La
Verne	NP	Verne
responded	VBD	respond
to	TO	to
the	DT	the
scene	NN	scene
in	IN	in
riot	NN	riot
gear	NN	gear
.	SENT	.
<p>
Organizers	NNS	organizer
of	IN	of
the	DT	the
protest	NN	protest
,	,	,
Pomona	NP	Pomona
Divest	VBP	divest
Apartheid	NN	apartheid
,	,	,
said	VBD	say
demonstrators	NNS	demonstrator
entered	VBD	enter
the	DT	the
Alexander	NP	Alexander
Hall	NP	Hall
on	IN	on
campus	NN	campus
in	IN	in
protest	NN	protest
of	IN	of
an	DT	an
"	``	"
apartheid	NN	apartheid
wall	NN	wall
"	''	"
of	IN	of
artwork	NN	artwork
from	IN	from
students	NNS	student
supporting	VBG	support
Palestine	NP	Palestine
being	VBG	be
removed	VBN	remove
after	IN	after
being	VBG	be
up	RB	up
since	IN	since
28	CD	@card@
March	NP	March
.	SENT	.
<p>
