<h>
Pro-Palestinian	NP	Pro-Palestinian
protesters	NNS	protester
set	VBD	set
up	RP	up
encampment	NN	encampment
in	IN	in
Montreal	NP	Montreal
'	POS	'
s	NN	S
Victoria	NP	Victoria
Square	NP	Square
<p>
Share	NP	Share
<p>
A	DT	a
group	NN	group
of	IN	of
pro-Palestinian	NP	pro-Palestinian
protesters	NNS	protester
has	VBZ	have
set	VBN	set
up	RP	up
an	DT	an
encampment	NN	encampment
at	IN	at
Victoria	NP	Victoria
Square	NP	Square
in	IN	in
downtown	JJ	downtown
Montreal	NP	Montreal
.	SENT	.
<p>
It	PP	it
'	POS	'
s	NN	S
believed	VBD	believe
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
such	JJ	such
encampment	NN	encampment
in	IN	in
a	DT	a
public	JJ	public
space	NN	space
in	IN	in
Montreal	NP	Montreal
,	,	,
located	VBN	locate
near	IN	near
the	DT	the
offices	NNS	office
of	IN	of
the	DT	the
Caisse	NP	Caisse
de	NP	de
d	SYM	d
?	SENT	?
p	NN	p
?	SENT	?
t	NN	t
et	CC	et
placement	NN	placement
du	FW	du
Qu	NP	Qu
?	SENT	?
bec	NP	bec
(	(	(
CDPQ	NP	<unknown>
)	)	)
,	,	,
one	CD	one
of	IN	of
Canada	NP	Canada
'	POS	'
s	JJ	<unknown>
largest	JJS	large
pension	NN	pension
fund	NN	fund
managers	NNS	manager
,	,	,
and	CC	and
Quebec	NP	Quebec
'	POS	'
s	NN	S
Minist	NN	<unknown>
?	SENT	?
re	IN	re
des	NP	des
Relations	NPS	Relations
internationales	NNS	internationale
et	CC	et
de	NP	de
la	NP	la
Francophonie	NP	Francophonie
(	(	(
MRIF	NP	<unknown>
)	)	)
,	,	,
which	WDT	which
recently	RB	recently
opened	VBD	open
an	DT	an
office	NN	office
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
<p>
A	DT	a
pro-Palestinian	NP	pro-Palestinian
encampment	NN	encampment
in	IN	in
Victoria	NP	Victoria
Square	NP	Square
in	IN	in
Montreal	NP	Montreal
on	IN	on
Saturday	NP	Saturday
,	,	,
June	NP	June
22	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
(	(	(
Max	NP	Max
Harrold/CTV	NP	<unknown>
News	NP	News
)	)	)
<p>
The	DT	the
group	NN	group
Divest	VB	divest
for	IN	for
