_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,loaded,factor,pole
v000001,0.0125006379,-0.009225449,-0.20123408,0.2255275527,0.4559521135,-0.000939795,0.4034664589,-0.148397375,0.2283823795,1,fac5,1
v000002,-0.066304172,0.0613894088,-0.324012204,0.1062949398,0.504715855,-0.032728523,0.270890746,-0.174710875,0.2629484728,1,fac5,1
v000003,-0.067414852,-0.248757208,0.0680291193,0.1286746637,0.3279749111,-0.012902079,0.0468466426,0.2472761363,-0.142427791,1,fac5,1
v000004,-0.155769927,-0.081940539,0.611480377,-0.082368295,0.1740430509,-0.014655348,0.0168054195,0.1962636326,0.0065627884,1,fac3,1
v000005,-0.056643548,-0.037764249,-0.070653815,0.3144647495,0.033481267,-0.010750444,0.0980438929,0.0888383156,0.0864001342,1,fac4,1
v000006,0.123960393,0.3081132391,0.1761281451,0.1505391247,-0.019720824,0.2903115428,0.0185530675,-0.238581177,0.240899621,1,fac2,1
v000007,0.0102620106,0.0609022069,0.084983171,0.0145196421,0.3120103117,-0.004810495,-0.056064088,0.0449719151,-0.134969857,1,fac5,1
v000008,0.0189804177,0.0243126266,0.1384528554,0.0444567598,0.1748979658,0.0322584986,-0.159604874,0.0076512005,-0.026834252,0,,
v000009,0.0745793009,-0.0746377,0.0939352582,-0.108674465,0.3357937106,0.0257924145,-0.021088001,0.0726232865,0.0179503822,1,fac5,1
v000010,-0.156924372,-0.178168702,0.4085770226,-0.145970152,-0.028501999,0.2731195206,0.0342017814,0.1534267919,-0.049929254,1,fac3,1
v000011,0.031268594,0.1489053285,0.349970577,-0.037784719,0.0937630977,-0.059066935,-0.113778049,-0.000458824,0.1286849717,1,fac3,1
v000012,-0.029089599,-0.053694416,0.0138864249,0.0504612193,0.1123185966,-0.077456027,0.2100814158,0.0053807841,0.0821023033,0,,
v000013,-0.027184502,-0.148745122,0.2315237812,0.2619406322,-0.025742323,-0.073494301,0.1859060826,-0.016647753,0.1836318574,0,,
v000014,-0.11827643,0.0746516151,0.8128452963,-0.097331412,-0.081347539,0.0142338411,0.1209775508,0.0460478229,0.0358024108,1,fac3,1
v000015,0.151133382,0.0695460004,-0.001128767,0.1092240576,0.1096730939,0.0114046138,0.0155347692,-0.031731536,-0.099235002,0,,
v000016,-0.37387866,-0.427759808,-0.050328955,0.4803236398,-0.185793448,-0.301364006,-0.544288586,-0.247261743,0.0242498219,1,fac7,-1
v000017,0.32085129,-0.180273382,0.1197359485,0.0006319154,0.3489429972,0.0028515935,0.0067081192,0.0684219913,0.0900159907,1,fac5,1
v000018,0.1701333505,0.2594722308,0.3025557531,0.0587619986,-0.028911808,0.2068596265,0.0527547158,-0.168288069,0.158524236,1,fac3,1
v000019,-0.097163218,-0.024169582,0.1616568688,0.0119316246,0.5123267848,0.0499240524,0.1455791733,0.059711511,0.1074250537,1,fac5,1
v000020,0.1478395973,-0.140101944,0.6403332315,-0.121590011,0.1312003095,0.0225299296,-0.279716894,0.1568498064,0.1478812913,1,fac3,1
