Effect	group	N	Mean fac7	SD fac7
group	global_north_2023_09	25	0.52000000	0.82259751
group	global_north_2023_10	815	0.78159509	1.37774694
group	global_north_2023_11	815	1.18527607	1.86557568
group	global_north_2023_12	815	1.13987730	1.71567924
group	global_north_2024_01	815	1.00490798	1.57918757
group	global_north_2024_02	815	1.80981595	2.81918695
group	global_north_2024_03	815	1.80736196	2.60757633
group	global_north_2024_04	815	1.49570552	1.99130017
group	global_north_2024_05	815	1.50674847	1.92351059
group	global_north_2024_06	709	1.41466855	2.21642796
group	global_north_2024_07	749	1.79439252	2.68396318
group	global_north_2024_08	768	1.96614583	3.19001044
group	global_north_2024_09	689	1.45428157	2.35041123
group	global_north_2024_10	815	1.33374233	2.17400944
group	global_north_2024_11	815	1.25521472	2.01252690
group	global_north_2024_12	815	0.63558282	1.22663324
group	global_north_2025_01	815	0.71165644	1.20565787
group	global_north_2025_02	815	0.65276074	1.16391870
group	global_north_2025_03	815	0.60858896	1.15512951
group	global_north_2025_04	815	0.53496933	1.22762699
group	global_north_2025_05	815	0.58159509	1.09293236
group	global_north_2025_06	815	0.45030675	1.11044705
group	global_south_2023_09	10	1.20000000	1.81352940
group	global_south_2023_10	815	0.43558282	0.88418267
group	global_south_2023_11	815	0.63067485	1.13782041
group	global_south_2023_12	486	0.73868313	1.13955386
group	global_south_2024_01	385	0.62077922	1.12573329
group	global_south_2024_02	253	0.99209486	1.43092848
group	global_south_2024_03	292	1.12328767	1.85520689
group	global_south_2024_04	333	1.09309309	1.38419882
group	global_south_2024_05	439	0.92027335	1.43839202
group	global_south_2024_06	300	0.82000000	1.39310293
group	global_south_2024_07	405	1.30864198	2.35385704
group	global_south_2024_08	493	1.04056795	2.23842490
group	global_south_2024_09	393	0.82697201	1.56999455
group	global_south_2024_10	687	0.83260553	1.68933787
group	global_south_2024_11	461	1.16268980	2.03277400
group	global_south_2024_12	322	0.54658385	1.20977488
group	global_south_2025_01	601	0.54742097	1.09308318
group	global_south_2025_02	498	0.38955823	0.79285758
group	global_south_2025_03	398	0.31909548	0.85243003
group	global_south_2025_04	405	0.39506173	1.11780164
group	global_south_2025_05	461	0.19088937	0.90793810
group	global_south_2025_06	481	0.40332640	1.07988684
