Effect	group	N	Mean fac1	SD fac1
group	global_north_2023_09	25	5.60000000	4.22295315
group	global_north_2023_10	815	5.22576687	3.72363111
group	global_north_2023_11	815	3.10920245	2.95695594
group	global_north_2023_12	815	3.88957055	3.89860136
group	global_north_2024_01	815	5.58282209	6.14466864
group	global_north_2024_02	815	3.71042945	4.39226220
group	global_north_2024_03	815	2.87730061	2.97939898
group	global_north_2024_04	815	5.16319018	6.40650925
group	global_north_2024_05	815	2.79018405	3.06344089
group	global_north_2024_06	709	3.24118477	3.71775352
group	global_north_2024_07	749	4.81041389	5.56525206
group	global_north_2024_08	768	6.11197917	6.81955637
group	global_north_2024_09	689	5.64586357	6.72201247
group	global_north_2024_10	815	6.08220859	6.06673493
group	global_north_2024_11	815	4.01104294	3.94291275
group	global_north_2024_12	815	3.78404908	4.05551050
group	global_north_2025_01	815	2.81840491	2.86320466
group	global_north_2025_02	815	2.34969325	2.21601758
group	global_north_2025_03	815	2.65644172	3.13061362
group	global_north_2025_04	815	2.71411043	2.46707750
group	global_north_2025_05	815	2.88343558	2.67941612
group	global_north_2025_06	815	3.19509202	3.70370363
group	global_south_2023_09	10	2.50000000	3.37474279
group	global_south_2023_10	815	6.59754601	4.51478531
group	global_south_2023_11	815	4.14355828	3.67242927
group	global_south_2023_12	486	5.14403292	4.80247309
group	global_south_2024_01	385	5.62597403	6.02169261
group	global_south_2024_02	253	4.38339921	4.11530741
group	global_south_2024_03	292	3.12671233	2.87321535
group	global_south_2024_04	333	7.15315315	7.33065629
group	global_south_2024_05	439	3.96810934	3.48694680
group	global_south_2024_06	300	5.45333333	5.02447078
group	global_south_2024_07	405	6.13827160	6.20129673
group	global_south_2024_08	493	9.98377282	8.30562917
group	global_south_2024_09	393	8.73536896	8.26142968
group	global_south_2024_10	687	9.50946143	7.67314127
group	global_south_2024_11	461	5.00433839	4.38921389
group	global_south_2024_12	322	4.52173913	4.45970112
group	global_south_2025_01	601	3.30948419	3.47237573
group	global_south_2025_02	498	2.88955823	2.24591097
group	global_south_2025_03	398	3.46733668	3.45284002
group	global_south_2025_04	405	3.19753086	2.71053935
group	global_south_2025_05	461	3.52060738	3.03710898
group	global_south_2025_06	481	4.21621622	4.49432826
