Effect	group	N	Mean fac6	SD fac6
group	global_north_2023_09	25	1.28000000	1.42945211
group	global_north_2023_10	815	0.84907975	1.01610908
group	global_north_2023_11	815	0.87361963	1.04563138
group	global_north_2023_12	815	1.07116564	1.46451575
group	global_north_2024_01	815	1.26012270	1.57485384
group	global_north_2024_02	815	1.05153374	1.34101596
group	global_north_2024_03	815	2.23190184	2.69843219
group	global_north_2024_04	815	1.62944785	1.96157600
group	global_north_2024_05	815	1.13496933	1.66077502
group	global_north_2024_06	709	1.14245416	1.69354546
group	global_north_2024_07	749	0.77169559	1.31423711
group	global_north_2024_08	768	0.59895833	1.11085621
group	global_north_2024_09	689	0.49492017	1.00016875
group	global_north_2024_10	815	0.56073620	1.02950547
group	global_north_2024_11	815	0.80981595	1.14196341
group	global_north_2024_12	815	0.81963190	1.15743823
group	global_north_2025_01	815	0.71901840	1.02825872
group	global_north_2025_02	815	0.60613497	0.90492057
group	global_north_2025_03	815	0.81349693	1.09592249
group	global_north_2025_04	815	0.93619632	1.21855143
group	global_north_2025_05	815	1.82331288	2.04150937
group	global_north_2025_06	815	2.82699387	3.71969427
group	global_south_2023_09	10	0.20000000	0.91893658
group	global_south_2023_10	815	0.80858896	0.98523490
group	global_south_2023_11	815	0.82576687	1.03100515
group	global_south_2023_12	486	1.25514403	1.71972315
group	global_south_2024_01	385	1.29870130	1.66508989
group	global_south_2024_02	253	1.07905138	1.06982229
group	global_south_2024_03	292	2.29109589	2.73720507
group	global_south_2024_04	333	1.53153153	1.98709611
group	global_south_2024_05	439	1.12072893	1.27013587
group	global_south_2024_06	300	1.07333333	1.48164541
group	global_south_2024_07	405	0.76790123	1.27444680
group	global_south_2024_08	493	0.57809331	1.19979962
group	global_south_2024_09	393	0.38167939	1.06515795
group	global_south_2024_10	687	0.50509461	1.14396131
group	global_south_2024_11	461	0.72234273	1.09391585
group	global_south_2024_12	322	0.73913043	1.02018103
group	global_south_2025_01	601	0.60898502	0.91205947
group	global_south_2025_02	498	0.51807229	0.78509422
group	global_south_2025_03	398	0.85929648	1.03602686
group	global_south_2025_04	405	0.85185185	1.07757418
group	global_south_2025_05	461	2.04772234	2.02642870
group	global_south_2025_06	481	2.89812890	3.70866337
