Effect	group	N	Mean fac9	SD fac9
group	global_north_2023_09	25	0.24000000	1.78605711
group	global_north_2023_10	815	-1.66134969	2.09026423
group	global_north_2023_11	815	-1.41717791	1.86660800
group	global_north_2023_12	815	-1.25030675	1.73592530
group	global_north_2024_01	815	-0.77055215	1.57065115
group	global_north_2024_02	815	-0.64049080	1.37620343
group	global_north_2024_03	815	-0.71779141	1.39896945
group	global_north_2024_04	815	-0.67975460	1.47519038
group	global_north_2024_05	815	-0.72147239	1.37446627
group	global_north_2024_06	709	-1.06770099	1.78693878
group	global_north_2024_07	749	-1.07209613	1.49871014
group	global_north_2024_08	768	-1.24609375	1.70530589
group	global_north_2024_09	689	-2.09433962	2.71110655
group	global_north_2024_10	815	-1.46871166	1.88780912
group	global_north_2024_11	815	-0.73006135	1.19613089
group	global_north_2024_12	815	-1.14969325	1.76079940
group	global_north_2025_01	815	-1.76932515	2.09029380
group	global_north_2025_02	815	-1.44049080	2.29486763
group	global_north_2025_03	815	-1.12024540	1.57538496
group	global_north_2025_04	815	-1.13865031	1.55778639
group	global_north_2025_05	815	-1.03067485	1.43928436
group	global_north_2025_06	815	-1.23926380	1.65008508
group	global_south_2023_09	10	2.80000000	4.75628240
group	global_south_2023_10	815	-0.47607362	1.56876900
group	global_south_2023_11	815	-0.60981595	1.36196196
group	global_south_2023_12	486	-0.62551440	1.41701270
group	global_south_2024_01	385	-0.35584416	1.23559339
group	global_south_2024_02	253	-0.53754941	1.28312194
group	global_south_2024_03	292	-0.44178082	1.00515898
group	global_south_2024_04	333	-0.60060060	1.32387697
group	global_south_2024_05	439	-0.39179954	1.16514298
group	global_south_2024_06	300	-0.51666667	1.20605588
group	global_south_2024_07	405	-0.58765432	1.13684716
group	global_south_2024_08	493	-0.44016227	1.10199817
group	global_south_2024_09	393	-1.16030534	2.00312305
group	global_south_2024_10	687	-0.65502183	1.30330382
group	global_south_2024_11	461	-0.36442516	1.05374753
group	global_south_2024_12	322	-0.72670807	1.25545577
group	global_south_2025_01	601	-1.12978369	1.56837329
group	global_south_2025_02	498	-0.78514056	1.83965378
group	global_south_2025_03	398	-0.41708543	1.17355820
group	global_south_2025_04	405	-0.63209877	1.20660591
group	global_south_2025_05	461	-0.72451193	1.28029634
group	global_south_2025_06	481	-0.68399168	1.18318667
