Effect	group	N	Mean fac5	SD fac5
group	global_north_2023_09	25	0.12000000	3.32064251
group	global_north_2023_10	815	1.79386503	1.86305386
group	global_north_2023_11	815	2.01472393	2.04189033
group	global_north_2023_12	815	2.41472393	2.55836617
group	global_north_2024_01	815	3.41349693	4.14504404
group	global_north_2024_02	815	2.76564417	3.20477186
group	global_north_2024_03	815	2.51901840	2.67747342
group	global_north_2024_04	815	2.69079755	2.96624768
group	global_north_2024_05	815	3.17423313	3.60406181
group	global_north_2024_06	709	2.28913963	2.79166596
group	global_north_2024_07	749	2.51802403	2.93171088
group	global_north_2024_08	768	2.26562500	2.37759328
group	global_north_2024_09	689	2.51523948	2.83973314
group	global_north_2024_10	815	2.07484663	2.30436888
group	global_north_2024_11	815	4.38404908	4.33867141
group	global_north_2024_12	815	3.37791411	3.60820837
group	global_north_2025_01	815	2.26748466	2.73697235
group	global_north_2025_02	815	2.43680982	2.73086276
group	global_north_2025_03	815	3.09447853	2.96907177
group	global_north_2025_04	815	3.47361963	3.35916781
group	global_north_2025_05	815	3.34846626	3.05297929
group	global_north_2025_06	815	3.51042945	3.07914866
group	global_south_2023_09	10	2.00000000	0.94280904
group	global_south_2023_10	815	2.31411043	2.46638026
group	global_south_2023_11	815	2.73374233	2.78712865
group	global_south_2023_12	486	3.43415638	3.45438404
group	global_south_2024_01	385	6.08311688	6.45524259
group	global_south_2024_02	253	3.26877470	3.67516511
group	global_south_2024_03	292	3.27397260	3.34195561
group	global_south_2024_04	333	2.66366366	2.69220782
group	global_south_2024_05	439	3.82915718	3.93850758
group	global_south_2024_06	300	2.90666667	3.57686110
group	global_south_2024_07	405	3.21234568	3.83952164
group	global_south_2024_08	493	2.58417850	2.82762095
group	global_south_2024_09	393	2.88549618	3.12407020
group	global_south_2024_10	687	2.49636099	3.03183808
group	global_south_2024_11	461	5.39913232	4.76731618
group	global_south_2024_12	322	3.95652174	4.08911301
group	global_south_2025_01	601	2.31946755	2.91852195
group	global_south_2025_02	498	2.98795181	3.35850154
group	global_south_2025_03	398	3.14070352	3.11820873
group	global_south_2025_04	405	3.86666667	3.75051152
group	global_south_2025_05	461	3.09978308	3.25890418
group	global_south_2025_06	481	4.19542620	3.69674123
