Effect	group	N	Mean fac8	SD fac8
group	global_north_2023_09	25	1.04000000	1.09848380
group	global_north_2023_10	815	0.68588957	0.93497936
group	global_north_2023_11	815	0.72638037	1.05498863
group	global_north_2023_12	815	0.58159509	0.99403870
group	global_north_2024_01	815	0.62944785	1.03388134
group	global_north_2024_02	815	0.66625767	0.96957531
group	global_north_2024_03	815	0.66503067	1.05473856
group	global_north_2024_04	815	0.49938650	0.97999003
group	global_north_2024_05	815	0.73865031	0.99958991
group	global_north_2024_06	709	0.60789845	1.02579428
group	global_north_2024_07	749	0.59546061	1.01619544
group	global_north_2024_08	768	0.48697917	0.85131219
group	global_north_2024_09	689	0.50943396	0.82492836
group	global_north_2024_10	815	0.61472393	0.90793885
group	global_north_2024_11	815	1.64294479	3.07983393
group	global_north_2024_12	815	1.52269939	2.91680930
group	global_north_2025_01	815	1.35214724	2.71222860
group	global_north_2025_02	815	2.27975460	3.20859870
group	global_north_2025_03	815	1.53006135	2.86361001
group	global_north_2025_04	815	2.00245399	3.36297135
group	global_north_2025_05	815	1.93251534	3.03041266
group	global_north_2025_06	815	1.83926380	2.78022668
group	global_south_2023_09	10	-0.10000000	1.52388393
group	global_south_2023_10	815	0.42576687	0.85658233
group	global_south_2023_11	815	0.36441718	0.88446051
group	global_south_2023_12	486	0.14609053	0.90431676
group	global_south_2024_01	385	0.32467532	0.87858727
group	global_south_2024_02	253	0.32806324	0.88140119
group	global_south_2024_03	292	0.17465753	0.87754043
group	global_south_2024_04	333	0.18318318	0.91148268
group	global_south_2024_05	439	0.46241458	0.89790451
group	global_south_2024_06	300	0.27666667	0.87330661
group	global_south_2024_07	405	0.46419753	0.91566519
group	global_south_2024_08	493	0.32860041	0.95505367
group	global_south_2024_09	393	0.51145038	0.95056169
group	global_south_2024_10	687	0.50800582	0.88862751
group	global_south_2024_11	461	0.75704989	1.04755366
group	global_south_2024_12	322	1.56211180	2.41958376
group	global_south_2025_01	601	1.20133111	2.07390089
group	global_south_2025_02	498	1.53413655	1.83083343
group	global_south_2025_03	398	0.77386935	1.15939731
group	global_south_2025_04	405	0.75308642	1.03802536
group	global_south_2025_05	461	1.03036876	1.35900766
group	global_south_2025_06	481	0.70270270	1.01907483
