Effect	group	N	Mean fac2	SD fac2
group	global_north_2023_09	25	6.4000000	4.98330546
group	global_north_2023_10	815	7.4969325	5.91231405
group	global_north_2023_11	815	7.8049080	6.11217623
group	global_north_2023_12	815	9.0687117	7.35900660
group	global_north_2024_01	815	8.1509202	6.74495323
group	global_north_2024_02	815	8.6012270	7.23740953
group	global_north_2024_03	815	9.1533742	7.29846575
group	global_north_2024_04	815	7.6674847	5.88034752
group	global_north_2024_05	815	7.4711656	6.83457322
group	global_north_2024_06	709	7.6812412	6.64558395
group	global_north_2024_07	749	6.0000000	5.93840937
group	global_north_2024_08	768	5.7747396	5.41498596
group	global_north_2024_09	689	5.4484761	4.77828496
group	global_north_2024_10	815	6.7177914	6.15095646
group	global_north_2024_11	815	6.7042945	6.20847235
group	global_north_2024_12	815	8.2613497	7.70950883
group	global_north_2025_01	815	6.4343558	5.52904305
group	global_north_2025_02	815	4.7595092	4.14403805
group	global_north_2025_03	815	5.7496933	5.38139225
group	global_north_2025_04	815	7.0098160	6.41729863
group	global_north_2025_05	815	7.9938650	6.53218918
group	global_north_2025_06	815	7.8098160	6.65243868
group	global_south_2023_09	10	4.3000000	5.49848464
group	global_south_2023_10	815	8.3791411	5.99588776
group	global_south_2023_11	815	9.1975460	6.82613088
group	global_south_2023_12	486	10.0925926	7.50159204
group	global_south_2024_01	385	8.9688312	7.52766183
group	global_south_2024_02	253	10.0513834	7.18694032
group	global_south_2024_03	292	10.3698630	7.40438590
group	global_south_2024_04	333	8.5795796	6.02633306
group	global_south_2024_05	439	9.3712984	7.05660065
group	global_south_2024_06	300	9.6066667	6.77532081
group	global_south_2024_07	405	8.4197531	6.51362661
group	global_south_2024_08	493	6.9634888	5.35893426
group	global_south_2024_09	393	8.1933842	5.96402968
group	global_south_2024_10	687	8.6637555	6.60233719
group	global_south_2024_11	461	7.7613883	6.45077560
group	global_south_2024_12	322	9.4689441	7.60148154
group	global_south_2025_01	601	7.1863561	5.63162619
group	global_south_2025_02	498	5.1004016	4.12505226
group	global_south_2025_03	398	7.4547739	6.00476006
group	global_south_2025_04	405	7.5580247	6.37249007
group	global_south_2025_05	461	9.6898048	7.10735108
group	global_south_2025_06	481	9.2058212	6.74237590
