Dependent	Source	DF	SS	MS	FValue	ProbF
fac3	Model	43	48289.1496	1123.0035	62.05	<.0001
fac3	Error	26484	479292.7515	18.0974	_	_
fac3	Corrected Total	26527	527581.9011	_	_	_
