Effect	group	N	Mean fac4	SD fac4
group	global_north_2023_09	25	3.6400000	2.78208555
group	global_north_2023_10	815	3.1901840	2.53416980
group	global_north_2023_11	815	5.3042945	4.11304256
group	global_north_2023_12	815	4.6404908	3.76679919
group	global_north_2024_01	815	4.3509202	3.55850312
group	global_north_2024_02	815	5.5067485	5.02374129
group	global_north_2024_03	815	5.1901840	4.07176432
group	global_north_2024_04	815	4.2147239	3.55259246
group	global_north_2024_05	815	4.3349693	3.71985069
group	global_north_2024_06	709	5.5839210	5.35099345
group	global_north_2024_07	749	5.3391188	4.56150245
group	global_north_2024_08	768	5.5247396	5.02426056
group	global_north_2024_09	689	4.5936139	3.89286241
group	global_north_2024_10	815	3.7840491	3.19896955
group	global_north_2024_11	815	4.7361963	3.73184092
group	global_north_2024_12	815	4.6883436	4.74417259
group	global_north_2025_01	815	9.7288344	6.58278154
group	global_north_2025_02	815	9.6282209	6.56514800
group	global_north_2025_03	815	7.5423313	6.90638432
group	global_north_2025_04	815	5.2184049	4.58460247
group	global_north_2025_05	815	5.2613497	4.57228760
group	global_north_2025_06	815	3.8478528	3.46536633
group	global_south_2023_09	10	3.5000000	1.77951304
group	global_south_2023_10	815	3.4650307	2.52767322
group	global_south_2023_11	815	5.5693252	4.54486685
group	global_south_2023_12	486	5.5699588	4.17136073
group	global_south_2024_01	385	3.9662338	3.33251072
group	global_south_2024_02	253	7.2292490	6.10967992
group	global_south_2024_03	292	6.1369863	5.01219151
group	global_south_2024_04	333	4.8858859	4.81265390
group	global_south_2024_05	439	5.4214123	5.17613039
group	global_south_2024_06	300	7.0200000	6.97676028
group	global_south_2024_07	405	6.0049383	5.35658892
group	global_south_2024_08	493	5.9391481	5.20751771
group	global_south_2024_09	393	4.8422392	4.53619762
group	global_south_2024_10	687	3.8427948	3.27260513
group	global_south_2024_11	461	4.7744035	3.63154595
group	global_south_2024_12	322	5.1335404	5.09267930
group	global_south_2025_01	601	11.3610649	7.02242229
group	global_south_2025_02	498	11.3232932	6.90361201
group	global_south_2025_03	398	10.4497487	8.21813669
group	global_south_2025_04	405	5.1901235	4.61067436
group	global_south_2025_05	461	6.5856833	5.43376431
group	global_south_2025_06	481	4.2203742	4.17698065
