<h>
Two	CD	two
Bradford	NP	Bradford
MPs	NP	MP
to	TO	to
back	VB	back
Gaza	NP	Gaza
ceasefire	NN	ceasefire
calls	VBZ	call
in	IN	in
crunch	NN	crunch
vote	NN	vote
<p>
A	DT	a
LABOUR	NN	labour
frontbencher	NN	frontbencher
and	CC	and
Bradford	NP	Bradford
MP	NN	MP
look	NN	look
set	VBN	set
to	TO	to
defy	VB	defy
Sir	NP	Sir
Keir	NP	Keir
Starmer	NP	Starmer
with	IN	with
a	DT	a
pledge	NN	pledge
to	TO	to
back	VB	back
calls	NNS	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
in	IN	in
a	DT	a
crunch	NN	crunch
House	NN	house
of	IN	of
Commons	NP	Commons
vote	NN	vote
tonight	NN	tonight
.	SENT	.
<p>
Bradford	NP	Bradford
West	NP	West
MP	NN	MP
Naz	NP	Naz
Shah	NP	Shah
,	,	,
the	DT	the
shadow	NN	shadow
minister	NN	minister
for	IN	for
crime	NN	crime
reduction	NN	reduction
,	,	,
broke	VBD	break
ranks	NNS	rank
with	IN	with
her	PP$	her
party	NN	party
leader	NN	leader
as	IN	as
she	PP	she
confirmed	VBD	confirm
her	PP	her
plans	VBZ	plan
to	TO	to
vote	VB	vote
for	IN	for
a	DT	a
Scottish	NP	Scottish
National	NP	National
Party	NP	Party
(	(	(
SNP	NP	<unknown>
)	)	)
amendment	NN	amendment
to	TO	to
the	DT	the
King	NP	King
'	POS	'
s	NN	S
Speech	NN	speech
,	,	,
backing	VBG	back
a	DT	a
ceasefire	NN	ceasefire
.	SENT	.
<p>
Labour	NN	labour
frontbenchers	NNS	frontbencher
are	VBP	be
facing	VBG	face
the	DT	the
sack	NN	sack
if	IN	if
they	PP	they
back	VBP	back
the	DT	the
amendment	NN	amendment
-	NN	<unknown>
as	IN	as
Sir	NP	Sir
Keir	NP	Keir
bids	VBZ	bid
to	TO	to
avoid	VB	avoid
a	DT	a
damaging	JJ	damaging
split	NN	split
in	IN	in
his	PP$	his
parliamentary	JJ	parliamentary
party	NN	party
.	SENT	.
<p>
Labour	NP	Labour
MPs	NP	MP
have	VBP	have
been	VBN	be
ordered	VBN	order
to	TO	to
abstain	VB	abstain
on	IN	on
the	DT	the
SNP	NP	<unknown>
move	NN	move
and	CC	and
have	VBP	have
instead	RB	instead
been	VBN	be
told	VBN	tell
to	TO	to
back	VB	back
Sir	NP	Sir
Keir	NP	Keir
'	POS	'
s	JJ	<unknown>
position	NN	position
calling	VBG	call
for	IN	for
longer	RBR	longer
"	``	"
humanitarian	JJ	humanitarian
pauses	NNS	pause
"	``	"
rather	RB	rather
than	IN	than
a	DT	a
ceasefire	NN	ceasefire
.	SENT	.
<p>
Ms	NN	Ms
Shah	NP	Shah
said	VBD	say
a	DT	a
"	``	"
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
"	''	"
is	VBZ	be
taking	VBG	take
place	NN	place
in	IN	in
Gaza	NP	Gaza
as	IN	as
she	PP	she
backed	VBD	back
calls	NNS	call
for	IN	for
an	DT	an
"	``	"
immediate	JJ	immediate
ceasefire	NN	ceasefire
"	''	"
.	SENT	.
<p>
She	PP	she
told	VBD	tell
the	DT	the
Commons	NN	commons
earlier	RBR	earlier
:	:	:
"	``	"
I	PP	I
will	MD	will
be	VB	be
supporting	VBG	support
the	DT	the
amendment	NN	amendment
which	WDT	which
seeks	VBZ	seek
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
