<p>
EXCLUSIVE	JJ	exclusive
--	:	--
Actor	NN	actor
and	CC	and
comedian	NN	comedian
Jon	NP	Jon
Lovitz	NP	Lovitz
blasted	VBD	blast
"	``	"
idiot	NN	idiot
"	''	"
John	NP	John
Oliver	NP	Oliver
,	,	,
continuing	VBG	continue
his	PP$	his
criticism	NN	criticism
of	IN	of
the	DT	the
HBO	NP	HBO
host	NN	host
'	POS	'
s	JJ	<unknown>
rant	NN	rant
about	IN	about
America	NP	America
'	POS	'
s	JJ	<unknown>
financial	JJ	financial
aid	NN	aid
to	TO	to
Israel	NP	Israel
during	IN	during
the	DT	the
Jewish	JJ	Jewish
State	NP	State
'	POS	'
s	JJ	<unknown>
ongoing	JJ	ongoing
war	NN	war
with	IN	with
Hamas	NP	<unknown>
.	SENT	.
<p>
"	``	"
He	PP	he
was	VBD	be
just	RB	just
presenting	VBG	present
a	DT	a
ridiculous	JJ	ridiculous
,	,	,
in	IN	in
my	PP$	my
opinion	NN	opinion
,	,	,
a	DT	a
ridiculous	JJ	ridiculous
argument	NN	argument
,	,	,
and	CC	and
also	RB	also
stating	VBG	state
the	DT	the
obvious	JJ	obvious
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
saying	VBG	say
,	,	,
'	''	'
Look	NP	Look
at	IN	at
America	NP	America
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
aligned	VBN	align
with	IN	with
Israel	NP	Israel
.	SENT	.
'	''	'
And	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
say	VB	say
'	''	'
It	PP	it
'	POS	'
s	JJ	<unknown>
American	JJ	American
ammunition	NN	ammunition
,	,	,
so	RB	so
America	NP	America
is	VBZ	be
killing	VBG	kill
innocent	JJ	innocent
Palestinians	NNS	Palestinian
.	SENT	.
'	''	'
That	WDT	that
was	VBD	be
his	PP$	his
real	JJ	real
point	NN	point
.	SENT	.
He	PP	he
did	VBD	do
n't	RB	n't
come	VB	come
out	RP	out
and	CC	and
say	VB	say
it	PP	it
,	,	,
but	CC	but
he	PP	he
basically	RB	basically
did	VBD	do
.	SENT	.
He	PP	he
goes	VBZ	go
,	,	,
'	''	'
They	PP	they
'	POS	'
re	NN	re
implicated	VBN	implicate
in	IN	in
that	DT	that
,	,	,
'	''	'
"	''	"
Lovitz	NP	Lovitz
told	VBD	tell
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
in	IN	in
an	DT	an
interview	NN	interview
.	SENT	.
<p>
On	IN	on
last	JJ	last
week	NN	week
'	POS	'
s	JJ	<unknown>
installment	NN	installment
of	IN	of
"	``	"
Last	JJ	last
Week	NN	week
Tonight	NN	tonight
,	,	,
"	''	"
Oliver	NP	Oliver
lectured	VBD	lecture
viewers	NNS	viewer
on	IN	on
how	WRB	how
the	DT	the
U.S.	NP	U.S.
has	VBZ	have
"	``	"
emphatically	RB	emphatically
picked	VBD	pick
a	DT	a
side	NN	side
"	''	"
between	IN	between
Israel	NP	Israel
and	CC	and
