<h>
Ex-Indian	NP	Ex-Indian
Army	NP	Army
Officer	NP	Officer
With	IN	with
UN	NP	UN
Killed	VBD	kill
In	IN	in
Gaza	NP	Gaza
,	,	,
First	NP	First
International	NP	International
Casualty	NP	Casualty
In	IN	in
Israel-Hamas	JJ	<unknown>
Conflict	NN	conflict
Who	WP	who
Was	VBD	be
He	PP	he
<p>
46-year-old	JJ	46-year-old
Col.	NP	Col.
Waibhav	NP	<unknown>
Anil	NP	Anil
Kale	NP	Kale
took	VBD	take
premature	JJ	premature
retirement	NN	retirement
from	IN	from
the	DT	the
Indian	JJ	Indian
Army	NN	army
in	IN	in
2022	CD	@card@
before	IN	before
joining	VBG	join
the	DT	the
United	NP	United
Nations	NPS	Nations
as	IN	as
a	DT	a
Security	NP	Security
Coordination	NN	coordination
Officer	NP	Officer
in	IN	in
the	DT	the
United	NP	United
Nations	NPS	Nations
Department	NP	Department
of	IN	of
Safety	NP	Safety
and	CC	and
Security	NP	Security
(	(	(
DSS	NP	DSS
)	)	)
two	CD	two
months	NNS	month
ago	RB	ago
,	,	,
officials	NNS	official
in	IN	in
New	NP	New
Delhi	NP	Delhi
said	VBD	say
on	IN	on
Tuesday	NP	Tuesday
.	SENT	.
Earlier	RBR	earlier
,	,	,
Kale	NP	Kale
served	VBD	serve
with	IN	with
the	DT	the
11	CD	@card@
Jammu	NP	Jammu
&amp	NNS	<unknown>
;	:	;
Kashmir	NP	Kashmir
Rifles	NNS	rifle
.	SENT	.
<p>
Former	JJ	former
Indian	JJ	Indian
Army	NP	Army
officer	NN	officer
,	,	,
46-year-old	JJ	46-year-old
Col	NN	col
Waibhav	NP	<unknown>
Anil	NP	Anil
Kale	NP	Kale
,	,	,
who	WP	who
was	VBD	be
working	VBG	work
with	IN	with
in	IN	in
association	NN	association
with	IN	with
the	DT	the
United	NP	United
Nations	NPS	Nations
,	,	,
was	VBD	be
killed	VBN	kill
in	IN	in
Gaza	NP	Gaza
when	WRB	when
the	DT	the
vehicle	NN	vehicle
he	PP	he
was	VBD	be
travelling	VBG	travel
in	IN	in
came	VBD	come
under	IN	under
attack	NN	attack
in	IN	in
the	DT	the
war-torn	JJ	war-torn
city	NN	city
Rafah	NP	<unknown>
.	SENT	.
With	IN	with
this	DT	this
,	,	,
Kale	NP	Kale
became	VBD	become
the	NP	the
'	POS	'
first	JJ	first
international	JJ	international
casualty	NN	casualty
'	''	'
for	IN	for
the	DT	the
