<h>
#BoycottPSL	NN	<unknown>
Trends	NNS	trend
in	IN	in
Pakistan	NP	Pakistan
Just	RB	just
Before	IN	before
Launch	NN	launch
:	:	:
Here	RB	here
'	POS	'
s	NN	S
Why	WRB	why
!	SENT	!
<p>
The	DT	the
Pakistan	NP	Pakistan
Cricket	NP	Cricket
Board	NP	Board
(	(	(
PCB	NP	PCB
)	)	)
is	VBZ	be
facing	VBG	face
mounting	VBG	mount
criticism	NN	criticism
just	RB	just
days	NNS	day
ahead	RB	ahead
of	IN	of
the	DT	the
launch	NN	launch
of	IN	of
the	DT	the
tenth	JJ	tenth
edition	NN	edition
of	IN	of
the	DT	the
Pakistan	NP	Pakistan
Super	NP	Super
League	NP	League
(	(	(
PSL	NP	PSL
)	)	)
,	,	,
as	IN	as
a	DT	a
large-scale	JJ	large-scale
boycott	NN	boycott
campaign	NN	campaign
gains	NNS	gain
momentum	NN	momentum
across	IN	across
the	DT	the
country	NN	country
and	CC	and
beyond	IN	beyond
.	SENT	.
The	DT	the
tournament	NN	tournament
,	,	,
set	VBN	set
to	TO	to
commence	VB	commence
on	IN	on
April	NP	April
11	CD	@card@
with	IN	with
an	DT	an
elaborate	JJ	elaborate
opening	NN	opening
ceremony	NN	ceremony
,	,	,
is	VBZ	be
being	VBG	be
overshadowed	VBN	overshadow
by	IN	by
public	JJ	public
outrage	NN	outrage
over	IN	over
its	PP$	its
selection	NN	selection
of	IN	of
sponsors	NNS	sponsor
allegedly	RB	allegedly
linked	VBN	link
to	TO	to
Israel	NP	Israel
.	SENT	.
<p>
While	IN	while
the	DT	the
PCB	NP	PCB
had	VBD	have
promised	VBN	promise
a	DT	a
"	``	"
bigger	JJR	big
and	CC	and
better	JJR	good
"	''	"
PSL	NN	PSL
,	,	,
public	JJ	public
enthusiasm	NN	enthusiasm
has	VBZ	have
been	VBN	be
dampened	VBN	dampen
by	IN	by
calls	NNS	call
from	IN	from
civil	JJ	civil
society	NN	society
and	CC	and
activists	NNS	activist
to	TO	to
