<p>
Their	PP$	their
decision	NN	decision
comes	VBZ	come
over	IN	over
Sir	NP	Sir
Keir	NP	Keir
Starmer	NP	Starmer
'	POS	'
s	NN	S
decision	NN	decision
not	RB	not
to	TO	to
push	VB	push
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
,	,	,
it	PP	it
has	VBZ	have
been	VBN	be
reported	VBN	report
.	SENT	.
Afrasiab	NP	<unknown>
Anwar	NP	Anwar
,	,	,
who	WP	who
has	VBZ	have
been	VBN	be
in	IN	in
the	DT	the
party	NN	party
for	IN	for
a	DT	a
decade	NN	decade
,	,	,
last	JJ	last
week	NN	week
said	VBD	say
Sir	NP	Sir
Keir	NP	Keir
had	VBD	have
"	``	"
not	RB	not
stood	VBD	stand
up	RP	up
for	IN	for
Labour	NP	Labour
values	NNS	value
"	''	"
and	CC	and
called	VBD	call
on	IN	on
him	PP	him
to	TO	to
quit	VB	quit
.	SENT	.
Mr	NP	Mr
Anwar	NP	Anwar
was	VBD	be
among	IN	among
those	DT	those
calling	NN	calling
for	IN	for
the	DT	the
party	NN	party
leader	NN	leader
to	TO	to
step	VB	step
down	RP	down
last	JJ	last
week	NN	week
.	SENT	.
Tonight	RB	tonight
the	DT	the
councillors	NNS	councillor
said	VBD	say
in	IN	in
a	DT	a
joint	JJ	joint
statement	NN	statement
:	:	:
"	``	"
It	PP	it
has	VBZ	have
become	VBN	become
apparent	JJ	apparent
that	IN	that
Keir	NP	Keir
Starmer	NP	Starmer
and	CC	and
the	DT	the
leadership	NN	leadership
either	CC	either
can	MD	can
not	RB	not
or	CC	or
will	MD	will
not	RB	not
heed	VB	heed
our	PP$	our
concerns	NNS	concern
or	CC	or
acknowledge	VBP	acknowledge
the	DT	the
sentiments	NNS	sentiment
within	IN	within
our	PP$	our
communities	NNS	community
.	SENT	.
"	''	"
<p>
It	PP	it
continued	VBD	continue
:	:	:
"	``	"
In	IN	in
response	NN	response
to	TO	to
our	PP$	our
calls	NNS	call
