<h>
Travel	NN	travel
chaos	NN	chaos
at	IN	at
King	NP	King
'	POS	'
s	JJ	<unknown>
Cross	NP	Cross
station	NN	station
as	IN	as
hundreds	NNS	hundred
stage	NN	stage
sit-in	NN	sit-in
for	IN	for
Gaza	NP	Gaza
ceasefire	NN	ceasefire
<p>
Protesters	NNS	protester
are	VBP	be
staging	VBG	stage
a	DT	a
sit-in	NN	sit-in
at	IN	at
part	NN	part
of	IN	of
London	NP	London
King	NP	King
'	POS	'
s	JJ	<unknown>
Cross	NP	Cross
railway	NN	railway
station	NN	station
while	IN	while
chanting	VBG	chant
slogans	NNS	slogan
and	CC	and
waving	VBG	wave
flags	NNS	flag
-	NN	<unknown>
it	PP	it
comes	VBZ	come
hours	NNS	hour
after	IN	after
leader	NN	leader
of	IN	of
Hezbollah	NP	Hezbollah
made	VBD	make
threats	NNS	threat
about	IN	about
the	DT	the
escalating	VBG	escalate
conflict	NN	conflict
<p>
Pro-Palestine	NN	<unknown>
protesters	NNS	protester
at	IN	at
London	NP	London
King	NP	King
'	POS	'
s	JJ	<unknown>
Cross	NP	Cross
station	NN	station
on	IN	on
Friday	NP	Friday
evening	NN	evening
(	(	(
<h>
Key	JJ	Key
Events	NNS	event
<p>
A	DT	a
large	JJ	large
'	''	'
sit-in	NN	sit-in
'	POS	'
demonstration	NN	demonstration
by	IN	by
pro-Palestinian	NP	pro-Palestinian
protesters	NNS	protester
took	VBD	take
place	NN	place
at	IN	at
London	NP	London
King	NP	King
'	POS	'
s	JJ	<unknown>
Cross	NP	Cross
railway	NN	railway
station	NN	station
this	DT	this
evening	NN	evening
,	,	,
with	IN	with
hundreds	NNS	hundred
estimated	VBN	estimate
to	TO	to
be	VB	be
in	IN	in
attendance	NN	attendance
.	SENT	.
<p>
The	DT	the
large	JJ	large
group	NN	group
were	VBD	be
seen	VBN	see
waving	VBG	wave
flags	NNS	flag
and	CC	and
placards	NNS	placard
in	IN	in
the	DT	the
station	NN	station
concourse	NN	concourse
around	IN	around
rush-hour	JJ	rush-hour
,	,	,
and	CC	and
chanted	VBD	chant
slogans	NNS	slogan
calling	VBG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
conflict	NN	conflict
.	SENT	.
<p>
British	NP	British
Transport	NP	Transport
Police	NP	Police
confirmed	VBD	confirm
they	PP	they
had	VBD	have
made	VBN	make
two	CD	two
arrests	NNS	arrest
in	IN	in
connection	NN	connection
with	IN	with
the	DT	the
demonstration	NN	demonstration
.	SENT	.
They	PP	they
had	VBD	have
earlier	RBR	earlier
said	VBD	say
the	DT	the
protests	NNS	protest
could	MD	could
risk	VB	risk
causing	VBG	cause
"	``	"
serious	JJ	serious
disruption	NN	disruption
"	''	"
to	TO	to
services	NNS	service
,	,	,
and	CC	and
confirmed	VBD	confirm
they	PP	they
had	VBD	have
obtained	VBN	obtain
consent	NN	consent
to	TO	to
use	VB	use
powers	NNS	power
under	IN	under
the	DT	the
Public	NP	Public
Order	NP	Order
Act	NP	Act
.	SENT	.
This	DT	this
makes	VBZ	make
it	PP	it
a	DT	a
criminal	JJ	criminal
offence	NN	offence
to	TO	to
take	VB	take
part	NN	part
in	IN	in
a	DT	a
trespassory	JJ	<unknown>
assembly	NN	assembly
while	IN	while
the	DT	the
order	NN	order
is	VBZ	be
active	JJ	active
.	SENT	.
Images	NNS	image
from	IN	from
the	DT	the
evening	NN	evening
shows	VBZ	show
police	NNS	police
arresting	VBG	arrest
demonstrators	NNS	demonstrator
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
