<p>
Following	VBG	follow
the	DT	the
interaction	NN	interaction
,	,	,
Ohayon	NP	Ohayon
shared	VBD	share
that	IN	that
he	PP	he
struggled	VBD	struggle
to	TO	to
sleep	VB	sleep
and	CC	and
moved	VBD	move
to	TO	to
a	DT	a
new	JJ	new
hotel	NN	hotel
.	SENT	.
<p>
The	DT	the
footage	NN	footage
showed	VBD	show
the	DT	the
two	CD	two
women	NNS	woman
raising	VBG	raise
their	PP$	their
middle	JJ	middle
fingers	NNS	finger
at	IN	at
Ohayon	NP	Ohayon
while	IN	while
they	PP	they
yelled	VBD	yell
at	IN	at
him	PP	him
that	IN	that
he	PP	he
was	VBD	be
not	RB	not
welcome	JJ	welcome
in	IN	in
Ireland	NP	Ireland
.	SENT	.
People	NNS	people
hold	VBP	hold
placards	NNS	placard
and	CC	and
flags	NNS	flag
during	IN	during
a	DT	a
demonstration	NN	demonstration
in	IN	in
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
,	,	,
ahead	RB	ahead
of	IN	of
the	DT	the
October	NP	October
7	CD	@card@
attack	NN	attack
anniversary	NN	anniversary
,	,	,
amid	IN	amid
the	DT	the
Israel-Hamas	JJ	<unknown>
conflict	NN	conflict
,	,	,
in	IN	in
Dublin	NP	Dublin
,	,	,
Ireland	NP	Ireland
October	NP	October
5	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
(	(	(
credit	VB	credit
:	:	:
REUTERS/CLODAGH	NP	<unknown>
KILCOYNE	NP	Kilcoyne
)	)	)
<p>
"	``	"
Zionists	NNS	Zionist
are	VBP	be
not	RB	not
welcome	JJ	welcome
in	IN	in
Ireland	NP	Ireland
,	,	,
"	''	"
the	DT	the
women	NNS	woman
told	VBD	tell
him	PP	him
.	SENT	.
"	''	"
F***	NN	<unknown>
you	PP	you
and	CC	and
f***	NP	<unknown>
Israel	NP	Israel
.	SENT	.
Israel	NP	Israel
is	VBZ	be
on	IN	on
its	PP$	its
way	NN	way
out	RP	out
.	SENT	.
"	''	"
<p>
In	IN	in
response	NN	response
to	TO	to
the	DT	the
harassment	NN	harassment
,	,	,
Ohayon	NP	Ohayon
responded	VBD	respond
,	,	,
"	``	"
I	PP	I
love	VBP	love
you	PP	you
too	RB	too
"	``	"
-	NN	<unknown>
which	WDT	which
is	VBZ	be
when	WRB	when
the	DT	the
women	NNS	woman
spat	VBN	spit
on	IN	on
him	PP	him
and	CC	and
later	RBR	later
bragged	VBD	brag
that	IN	that
"	``	"
I	PP	I
did	VBD	do
it	PP	it
and	CC	and
I	PP	I
actually	RB	actually
did	VBD	do
not	RB	not
miss	VB	miss
.	SENT	.
"	''	"
<p>
After	IN	after
asking	VBG	ask
nearby	JJ	nearby
staff	NN	staff
to	TO	to
call	VB	call
the	DT	the
police	NN	police
,	,	,
the	DT	the
women	NNS	woman
laughed	VBN	laugh
over	IN	over
his	PP$	his
description	NN	description
of	IN	of
the	DT	the
incident	NN	incident
as	IN	as
an	DT	an
"	``	"
attack	NN	attack
.	SENT	.
"	``	"
<p>
The	DT	the
women	NNS	woman
were	VBD	be
identified	VBN	identify
by	IN	by
The	NP	The
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
Seale	NP	Seale
