<p>
When	WRB	when
Taoiseach	NP	<unknown>
Miche	NP	<unknown>
?	SENT	?
l	NN	l
Martin	NP	Martin
meets	VBZ	meet
with	IN	with
US	NP	US
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
next	JJ	next
week	NN	week
,	,	,
he	PP	he
has	VBZ	have
promised	VBN	promise
to	TO	to
bring	VB	bring
up	RP	up
Ireland	NP	Ireland
'	POS	'
s	JJ	<unknown>
position	NN	position
on	IN	on
Gaza	NP	Gaza
and	CC	and
Ukraine	NP	Ukraine
,	,	,
reports	VBZ	report
Breaking	VBG	break
News	NP	News
.	SENT	.
<p>
As	IN	as
part	NN	part
of	IN	of
an	DT	an
annual	JJ	annual
custom	NN	custom
to	TO	to
commemorate	VB	commemorate
the	DT	the
week	NN	week
of	IN	of
Ireland	NP	Ireland
'	POS	'
s	JJ	<unknown>
national	JJ	national
festival	NN	festival
,	,	,
St.	NP	St.
Patrick	NP	Patrick
'	POS	'
s	NN	S
Day	NN	day
,	,	,
the	DT	the
Taoiseach	NP	<unknown>
is	VBZ	be
scheduled	VBN	schedule
to	TO	to
meet	VB	meet
with	IN	with
Mr.	NP	Mr.
Trump	NP	Trump
in	IN	in
a	DT	a
bilateral	JJ	bilateral
meeting	NN	meeting
next	JJ	next
week	NN	week
.	SENT	.
<p>
According	VBG	accord
to	TO	to
Mr.	NP	Mr.
Martin	NP	Martin
,	,	,
Ireland	NP	Ireland
will	MD	will
state	VB	state
its	PP$	its
wish	NN	wish
for	IN	for
a	DT	a
"	``	"
durable	JJ	durable
and	CC	and
sustainable	JJ	sustainable
"	''	"
peace	NN	peace
in	IN	in
Ukraine	NP	Ukraine
and	CC	and
for	IN	for
the	DT	the
truce	NN	truce
in	IN	in
the	DT	the
Gaza	NP	Gaza
war	NN	war
to	TO	to
be	VB	be
strengthened	VBN	strengthen
,	,	,
reports	NNS	report
Breaking	VBG	break
News	NP	News
.	SENT	.
<p>
He	PP	he
was	VBD	be
reacting	VBG	react
to	TO	to
the	DT	the
statement	NN	statement
made	VBN	make
by	IN	by
Mary	NP	Mary
Lou	NP	Lou
McDonald	NP	McDonald
,	,	,
the	DT	the
leader	NN	leader
of	IN	of
Sinn	NP	Sinn
Fein	NP	Fein
,	,	,
the	DT	the
biggest	JJS	big
opposition	NN	opposition
party	NN	party
,	,	,
that	IN	that
she	PP	she
was	VBD	be
"	``	"
deeply	RB	deeply
concerned	JJ	concerned
"	''	"
about	IN	about
Ireland	NP	Ireland
'	POS	'
s	JJ	<unknown>
role	NN	role
in	IN	in
the	DT	the
global	JJ	global
system	NN	system
.	SENT	.
<p>
She	PP	she
said	VBD	say
:	:	:
"	``	"
Will	MD	will
you	PP	you
put	VB	put
it	PP	it
to	TO	to
President	NP	President
Trump	NP	Trump
that	IN	that
Ireland	NP	Ireland
stands	VBZ	stand
on	IN	on
the	DT	the
side	NN	side
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
diplomacy	NN	diplomacy
,	,	,
that	IN	that
the	DT	the
sovereignty	NN	sovereignty
of	IN	of
Ukraine	NP	Ukraine
must	MD	must
be	VB	be
upheld	VBN	uphold
,	,	,
that	IN	that
the	DT	the
pressing	JJ	pressing
and	CC	and
immediate	JJ	immediate
priority	NN	priority
now	RB	now
is	VBZ	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
?	SENT	?
"	''	"
reports	NNS	report
Breaking	VBG	break
News	NP	News
.	SENT	.
<p>
"	''	"
And	CC	and
what	WP	what
,	,	,
Taoiseach	NP	<unknown>
,	,	,
will	MD	will
be	VB	be
your	PP$	your
message	NN	message
to	TO	to
the	DT	the
American	JJ	American
president	NN	president
in	IN	in
standing	VBG	stand
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
?	SENT	?
Will	MD	will
you	PP	you
express	VB	express
Ireland	NP	Ireland
'	POS	'
s	JJ	<unknown>
strong	JJ	strong
view	NN	view
that	IN	that
the	DT	the
US	NP	US
is	VBZ	be
catastrophically	RB	catastrophically
wrong	JJ	wrong
on	IN	on
Gaza	NP	Gaza
,	,	,
