<p>
Underneath	IN	underneath
the	DT	the
rubble	NN	rubble
of	IN	of
Gaza	NP	Gaza
,	,	,
as	IN	as
Israeli	JJ	Israeli
bombs	NNS	bomb
rained	VBD	rain
down	RP	down
on	IN	on
his	PP$	his
besieged	JJ	besieged
people	NNS	people
,	,	,
Yahya	NP	Yahya
Sinwar	NP	<unknown>
could	MD	could
luxuriate	VB	luxuriate
in	IN	in
a	DT	a
hot	JJ	hot
shower	NN	shower
.	SENT	.
<p>
The	DT	the
bunker	NN	bunker
below	IN	below
Sinwar	NP	<unknown>
'	POS	'
s	JJ	<unknown>
hometown	NN	hometown
of	IN	of
Khan	NP	Khan
Yunis	NP	Yunis
included	VBD	include
a	DT	a
well-stocked	VBN	well-stock
kitchen	NN	kitchen
,	,	,
stacks	NNS	stack
of	IN	of
cash	NN	cash
and	CC	and
a	DT	a
tiled	VBN	tile
bathroom	NN	bathroom
furnished	VBN	furnish
with	IN	with
shampoos	NNS	shampoo
and	CC	and
shower	NN	shower
gels	NNS	gel
,	,	,
according	VBG	accord
to	TO	to
footage	NN	footage
released	VBN	release
by	IN	by
the	DT	the
Israel	NP	Israel
Defence	NN	defence
Forces	NP	Forces
(	(	(
IDF	NP	IDF
)	)	)
.	SENT	.
<p>
Since	IN	since
the	DT	the
assassination	NN	assassination
of	IN	of
the	DT	the
Hamas	JJ	<unknown>
leader	NN	leader
,	,	,
Israel	NP	Israel
has	VBZ	have
released	VBN	release
a	DT	a
series	NN	series
of	IN	of
videos	NNS	video
that	WDT	that
give	VBP	give
an	DT	an
insight	NN	insight
into	IN	into
his	PP$	his
final	JJ	final
months	NNS	month
,	,	,
attempting	VBG	attempt
to	TO	to
reverse	VB	reverse
the	DT	the
narrative	NN	narrative
of	IN	of
selfless	JJ	selfless
martyrdom	NN	martyrdom
that	WDT	that
has	VBZ	have
taken	VBN	take
hold	VB	hold
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
following	VBG	follow
his	PP$	his
death	NN	death
last	JJ	last
week	NN	week
.	SENT	.
<p>
IDF	NP	IDF
footage	NN	footage
shows	VBZ	show
Sinwar	NP	<unknown>
wearing	VBG	wear
a	DT	a
keffiyeh	NN	keffiyeh
,	,	,
a	DT	a
traditional	JJ	traditional
scarf	NN	scarf
,	,	,
moments	NNS	moment
before	IN	before
he	PP	he
was	VBD	be
killed	VBN	kill
in	IN	in
a	DT	a
house	NN	house
in	IN	in
Tal	NP	Tal
al-Sultan	NP	al-Sultan
,	,	,
Rafah	NP	<unknown>
<p>
For	IN	for
some	DT	some
Palestinians	NPS	Palestinians
,	,	,
footage	NN	footage
of	IN	of
Sinwar	NP	<unknown>
'	POS	'
s	JJ	<unknown>
final	JJ	final
moments	NNS	moment
shows	VBZ	show
a	DT	a
determined	VBN	determine
fighter	NN	fighter
wrapped	VBN	wrap
in	IN	in
a	DT	a
keffiyeh	NN	keffiyeh
,	,	,
a	DT	a
traditional	JJ	traditional
scarf	NN	scarf
,	,	,
using	VBG	use
his	PP$	his
last	JJ	last
strength	NN	strength
to	TO	to
try	VB	try
to	TO	to
knock	VB	knock
down	RP	down
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
.	SENT	.
<p>
The	DT	the
images	NNS	image
,	,	,
along	RB	along
with	IN	with
photographs	NNS	photograph
of	IN	of
Sinwar	NP	<unknown>
'	POS	'
s	NN	S
splayed	VBD	splay
corpse	NN	corpse
,	,	,
have	VBP	have
been	VBN	be
interpreted	VBN	interpret
across	IN	across
the	DT	the
Arab	JJ	Arab
world	NN	world
as	RB	as
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
