<p>
Despite	IN	despite
.	SENT	.
<p>
The	DT	the
judgment	NN	judgment
said	VBD	say
the	DT	the
absence	NN	absence
of	IN	of
a	DT	a
"	``	"
resettlement	NN	resettlement
scheme	NN	scheme
was	VBD	be
irrelevant	JJ	irrelevant
"	''	"
to	TO	to
their	PP$	their
decision	NN	decision
.	SENT	.
<p>
ADVERTISEMENT	NN	advertisement
<p>
What	WP	what
next	JJ	next
?	SENT	?
<p>
Judge	NP	Judge
Norton-Taylor	NP	Norton-Taylor
went	VBD	go
on	RP	on
to	TO	to
back	VB	back
the	DT	the
claim	NN	claim
from	IN	from
the	DT	the
family	NN	family
in	IN	in
Gaza	NP	Gaza
based	VBN	base
on	IN	on
the	DT	the
ECHR	NP	<unknown>
and	CC	and
the	DT	the
right	NN	right
to	TO	to
a	DT	a
family	NN	family
life	NN	life
between	IN	between
them	PP	them
and	CC	and
their	PP$	their
relative	NN	relative
in	IN	in
Britain	NP	Britain
.	SENT	.
<p>
A	DT	a
Home	NP	Home
Office	NP	Office
spokesperson	NN	spokesperson
said	VBD	say
:	:	:
"	``	"
The	DT	the
Ukraine	NP	Ukraine
Family	NP	Family
scheme	NN	scheme
was	VBD	be
clearly	RB	clearly
set	VBN	set
out	RP	out
for	IN	for
Ukrainians	NP	Ukrainians
.	SENT	.
We	PP	we
have	VBP	have
been	VBN	be
clear	JJ	clear
that	IN	that
we	PP	we
do	VBP	do
not	RB	not
agree	VB	agree
with	IN	with
this	DT	this
judgment	NN	judgment
and	CC	and
we	PP	we
twice	RB	twice
vigorously	RB	vigorously
contested	VBN	contest
this	DT	this
case	NN	case
.	SENT	.
<p>
"	''	"
As	RB	as
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
right	NN	right
to	TO	to
a	DT	a
family	NN	family
life	NN	life
,	,	,
should	MD	should
be	VB	be
interpreted	VBN	interpret
much	RB	much
more	RBR	more
narrowly	RB	narrowly
.	SENT	.
It	PP	it
is	VBZ	be
for	IN	for
the	DT	the
government	NN	government
and	CC	and
Parliament	NP	Parliament
to	TO	to
decide	VB	decide
who	WP	who
should	MD	should
be	VB	be
covered	VBN	cover
by	IN	by
the	DT	the
UK	NP	UK
'	POS	'
s	JJ	<unknown>
safe	JJ	safe
and	CC	and
legal	JJ	legal
routes	NNS	route
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
pursuing	VBG	pursue
all	DT	all
legal	JJ	legal
avenues	NNS	avenue
to	TO	to
address	VB	address
the	DT	the
legal	JJ	legal
loophole	NN	loophole
which	WDT	which
has	VBZ	have
been	VBN	be
exploited	VBN	exploit
in	IN	in
this	DT	this
case	NN	case
.	SENT	.
The	DT	the
home	NN	home
secretary	NN	secretary
is	VBZ	be
urgently	RB	urgently
reviewing	VBG	review
this	DT	this
case	NN	case
to	TO	to
ensure	VB	ensure
the	DT	the
correct	JJ	correct
processes	NNS	process
are	VBP	be
always	RB	always
followed	VBN	follow
and	CC	and
existing	JJ	existing
laws	NNS	law
correctly	RB	correctly
interpreted	VBN	interpret
.	SENT	.
"	''	"
<p>
Users	NNS	user
concerned	VBN	concern
about	IN	about
Canadian	JJ	Canadian
foreign	JJ	foreign
aid	NN	aid
spending	NN	spending
falsely	RB	falsely
claimed	VBD	claim
a	DT	a
list	NN	list
of	IN	of
expenditures	NNS	expenditure
that	WDT	that
has	VBZ	have
circulated	VBN	circulate
for	IN	for
years	NNS	year
as	IN	as
a	DT	a
meme	NN	<unknown>
accurately	RB	accurately
depicts	VBZ	depict
contributions	NNS	contribution
to	TO	to
international	JJ	international
entities	NNS	entity
.	SENT	.
The	DT	the
image	NN	image
contains	VBZ	contain
erroneous	JJ	erroneous
claims	NNS	claim
about	IN	about
money	NN	money
sent	VBN	send
to	TO	to
Hamas	NP	<unknown>
and	CC	and
the	DT	the
Clinton	NP	Clinton
Foundation	NP	Foundation
and	CC	and
comparing	VBG	compare
the	DT	the
figures	NNS	figure
for	IN	for
other	JJ	other
spending	NN	spending
does	VBZ	do
not	RB	not
align	VB	align
with	IN	with
the	DT	the
most	RBS	most
recent	JJ	recent
available	JJ	available
disclosures	NNS	disclosure
on	IN	on
funds	NNS	fund
provided	VBN	provide
by	IN	by
Canada	NP	Canada
.	SENT	.
<p>
Syria	NP	Syria
said	VBD	say
Wednesday	NP	Wednesday
a	DT	a
new	JJ	new
government	NN	government
would	MD	would
take	VB	take
over	IN	over
next	JJ	next
month	NN	month
from	IN	from
the	DT	the
interim	JJ	interim
cabinet	NN	cabinet
formed	VBD	form
following	VBG	follow
Bashar	NP	Bashar
al-Assad	NP	al-Assad
'	POS	'
s	NN	S
overthrow	NN	overthrow
,	,	,
and	CC	and
announced	VBD	announce
a	DT	a
preparatory	JJ	preparatory
body	NN	body
for	IN	for
a	DT	a
national	JJ	national
dialogue	NN	dialogue
conference.Sharaa	NN	<unknown>
'	POS	'
s	NN	S
office	NN	office
announced	VBD	announce
Wednesday	NP	Wednesday
the	DT	the
formation	NN	formation
of	IN	of
a	DT	a
seven-member	NN	seven-member
preparatory	JJ	preparatory
committee	NN	committee
for	IN	for
a	DT	a
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
historic	JJ	historic
phase	NN	phase
and	CC	and
guarantee	VB	guarantee
the	DT	the
aspirations	NNS	aspiration
of	IN	of
the	DT	the
Syrian	JJ	Syrian
people	NNS	people
"	''	"
.	SENT	.
<p>
The	DT	the
father	NN	father
of	IN	of
a	DT	a
Nottingham	NP	Nottingham
attack	NN	attack
victim	NN	victim
has	VBZ	have
thanked	VBN	thank
Sir	NP	Sir
Keir	NP	Keir
Starmer	NP	Starmer
from	IN	from
"	``	"
father	NN	father
to	TO	to
father	NN	father
"	''	"
for	IN	for
announcing	VBG	announce
a	DT	a
judge-led	JJ	<unknown>
public	JJ	public
inquiry	NN	inquiry
that	WDT	that
is	VBZ	be
due	JJ	due
to	TO	to
take	VB	take
place	NN	place
in	IN	in
"	``	"
a	DT	a
matter	NN	matter
of	IN	of
weeks	NNS	week
"	''	"
.	SENT	.
Relatives	NNS	relative
of	IN	of
Barnaby	NP	Barnaby
Webber	NP	Webber
,	,	,
Grace	NP	Grace
O'Malley-Kumar	NP	O'Malley-Kumar
and	CC	and
Ian	NP	Ian
Coates	NP	Coates
met	VBD	meet
the	DT	the
prime	JJ	prime
minister	NN	minister
at	IN	at
Number	NP	Number
10	CD	@card@
on	IN	on
Wednesday	NP	Wednesday
(	(	(
12	NP	@card@
February	NP	February
)	)	)
,	,	,
where	WRB	where
they	PP	they
say	VBP	say
they	PP	they
were	VBD	be
told	VBN	tell
by	IN	by
Sir	NP	Sir
Keir	NP	Keir
that	IN	that
a	DT	a
"	``	"
number	NN	number
of	IN	of
different	JJ	different
agencies	NNS	agency
"	``	"
would	MD	would
be	VB	be
scrutinised	VBN	scrutinise
by	IN	by
the	DT	the
probe	NN	probe
.	SENT	.
Valdo	NP	Valdo
Calocane	NP	<unknown>
killed	VBD	kill
19-year-old	JJ	19-year-old
students	NNS	student
Mr	NP	Mr
Webber	NP	Webber
and	CC	and
Ms	NN	Ms
O'Malley-Kumar	NP	O'Malley-Kumar
and	CC	and
65-year-old	JJ	65-year-old
caretaker	NN	caretaker
Mr	NP	Mr
Coates	NP	Coates
before	IN	before
attempting	VBG	attempt
to	TO	to
kill	VB	kill
three	CD	three
other	JJ	other
people	NNS	people
in	IN	in
June	NP	June
2023	CD	@card@
.	SENT	.
