<p>
Before	IN	before
the	DT	the
exchange	NN	exchange
,	,	,
the	DT	the
Israel	NP	Israel
Prison	NN	prison
Service	NP	Service
released	VBD	release
photos	NNS	photo
of	IN	of
a	DT	a
few	JJ	few
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
dressed	VBD	dress
in	IN	in
those	DT	those
provocative	JJ	provocative
shirts	NNS	shirt
.	SENT	.
As	IN	as
the	DT	the
Palestinians	NPS	Palestinians
were	VBD	be
being	VBG	be
returned	VBN	return
,	,	,
a	DT	a
number	NN	number
of	IN	of
them	PP	them
wore	VBD	wear
their	PP$	their
shirts	NNS	shirt
inside	RB	inside
out	RB	out
in	IN	in
order	NN	order
to	TO	to
cover	VB	cover
the	DT	the
messages	NNS	message
.	SENT	.
<p>
Gaza	NP	Gaza
Palestinian	NP	Palestinian
detainees	NNS	detainee
,	,	,
released	VBN	release
today	NN	today
as	IN	as
part	NN	part
of	IN	of
the	DT	the
prisoner	NN	prisoner
exchange	NN	exchange
deal	NN	deal
,	,	,
and	CC	and
their	PP$	their
families	NNS	family
burn	VBP	burn
the	DT	the
uniforms	NNS	uniform
that	IN	that
Israeli	JJ	Israeli
prison	NN	prison
guards	NNS	guard
forced	VBN	force
to	TO	to
wear	VB	wear
,	,	,
emblazoned	VBN	emblazon
with	IN	with
the	DT	the
Star	NP	Star
of	IN	of
David	NP	David
and	CC	and
the	DT	the
phrase	NN	phrase
"	``	"
We	PP	we
will	MD	will
not	RB	not
forgive	VB	forgive
,	,	,
we	PP	we
will	MD	will
not	RB	not
forget	VB	forget
.	SENT	.
"	''	"
**26	NN	<unknown>
;	:	;
1314	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
<p>
Footage	NN	footage
shot	VBN	shoot
in	IN	in
Gaza	NP	Gaza
by	IN	by
Al	NP	Al
Jazeera	NP	<unknown>
showed	VBD	show
a	DT	a
few	JJ	few
Palestinians	NNS	Palestinian
setting	VBG	set
fire	NN	fire
to	TO	to
the	DT	the
shirts	NNS	shirt
upon	IN	upon
their	PP$	their
arrival	NN	arrival
at	IN	at
the	DT	the
European	NP	European
Gaza	NP	Gaza
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
'	POS	'
s	NN	S
Khan	NP	Khan
Younis	NP	Younis
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
"	``	"
We	PP	we
condemn	VBP	condemn
the	DT	the
occupation	NN	occupation
'	POS	'
s	JJ	<unknown>
crime	NN	crime
of	IN	of
placing	VBG	place
racist	JJ	racist
slogans	NNS	slogan
on	IN	on
the	DT	the
backs	NNS	back
of	IN	of
our	PP$	our
heroic	JJ	heroic
prisoners	NNS	prisoner
,	,	,
and	CC	and
treating	VBG	treat
them	PP	them
with	IN	with
cruelty	NN	cruelty
and	CC	and
violence	NN	violence
,	,	,
in	IN	in
a	DT	a
blatant	JJ	blatant
violation	NN	violation
of	IN	of
humanitarian	JJ	humanitarian
laws	NNS	law
and	CC	and
norms	NNS	norm
,	,	,
"	''	"
Hamas	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
It	PP	it
added	VBD	add
that	IN	that
this	DT	this
is	VBZ	be
"	``	"
in	IN	in
contrast	NN	contrast
to	TO	to
the	DT	the
resistance	NN	resistance
'	POS	'
s	JJ	<unknown>
firm	JJ	firm
commitment	NN	commitment
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
prisoners	NNS	prisoner
"	''	"
.	SENT	.
<p>
The	DT	the
Palestinian	NP	Palestinian
Islamic	NP	Islamic
Jihad	NP	Jihad
group	NN	group
also	RB	also
condemned	VBD	condemn
the	DT	the
shirts	NNS	shirt
as	IN	as
a	DT	a
"	``	"
racist	JJ	racist
crime	NN	crime
"	''	"
.	SENT	.
<p>
According	VBG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Broadcasting	NP	Broadcasting
Authority	NP	Authority
,	,	,
quoting	VBG	quote
an	DT	an
Israeli	JJ	Israeli
source	NN	source
,	,	,
there	EX	there
was	VBD	be
criticism	NN	criticism
in	IN	in
Israel	NP	Israel
over	IN	over
the	DT	the
uniforms	NNS	uniform
as	RB	as
well	RB	well
.	SENT	.
A	DT	a
source	NN	source
was	VBD	be
quoted	VBN	quote
as	IN	as
saying	VBG	say
that	IN	that
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
political	JJ	political
echelon	NN	echelon
was	VBD	be
not	RB	not
informed	VBN	inform
of	IN	of
the	DT	the
move	NN	move
.	SENT	.
<p>
Forcing	VBG	force
Palestian	NP	<unknown>
detainees	NNS	detainee
to	TO	to
wear	VB	wear
t-shirts	NNS	T-shirt
with	IN	with
the	DT	the
Star	NP	Star
of	IN	of
David	NP	David
and	CC	and
the	DT	the
words	NNS	word
"	``	"
We	PP	we
will	MD	will
not	RB	not
forget	VB	forget
and	CC	and
we	PP	we
will	MD	will
not	RB	not
forgive	VB	forgive
"	``	"
written	VBN	write
on	IN	on
them	PP	them
is	VBZ	be
a	DT	a
grotesque	JJ	grotesque
violation	NN	violation
of	IN	of
international	JJ	international
law	NN	law
prohibiting	VBG	prohibit
outrages	NNS	outrage
upon	IN	upon
personal	JJ	personal
dignity	NN	dignity
,	,	,
in	IN	in
particular	JJ	particular
humiliating	VBG	humiliate
and	CC	and
degrading	VBG	degrade
...	:	...
**26	NN	<unknown>
;	:	;
1342	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
<p>
The	DT	the
decision	NN	decision
to	TO	to
have	VB	have
the	DT	the
Palestinians	NPS	Palestinians
don	VBP	don
the	DT	the
shirts	NNS	shirt
was	VBD	be
made	VBN	make
by	IN	by
Israel	NP	Israel
'	POS	'
s	NN	S
Prison	NN	prison
Commissioner	NP	Commissioner
Kobi	NP	<unknown>
Yaacobi	NP	<unknown>
,	,	,
the	DT	the
source	NN	source
told	VBD	tell
the	DT	the
broadcaster	NN	broadcaster
.	SENT	.
<p>
Mohamad	NP	Mohamad
Elmasry	NP	<unknown>
,	,	,
a	DT	a
professor	NN	professor
in	IN	in
the	DT	the
media	NNS	medium
studies	NNS	study
programme	VBP	programme
at	IN	at
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
for	IN	for
Graduate	NP	Graduate
Studies	NPS	Studies
,	,	,
told	VBD	tell
Al	NP	Al
Jazeera	NP	<unknown>
that	IN	that
this	DT	this
was	VBD	be
"	``	"
another	DT	another
method	NN	method
"	''	"
under	IN	under
which	WDT	which
Israel	NP	Israel
intends	VBZ	intend
to	TO	to
"	``	"
dehumanise	VB	dehumanise
"	''	"
Palestinians	NPS	Palestinians
.	SENT	.
<p>
The	DT	the
International	NP	International
Committee	NP	Committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
(	(	(
ICRC	NP	<unknown>
)	)	)
,	,	,
which	WDT	which
is	VBZ	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
dignified	JJ	dignified
"	''	"
releases	NNS	release
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
"	''	"
Despite	IN	despite
repeatedly	RB	repeatedly
calling	VBG	call
for	IN	for
all	DT	all
transfers	NNS	transfer
to	TO	to
be	VB	be
carried	VBN	carry
out	RP	out
in	IN	in
a	DT	a
dignified	JJ	dignified
and	CC	and
private	JJ	private
manner	NN	manner
,	,	,
more	JJR	more
must	MD	must
be	VB	be
done	VBN	do
by	IN	by
all	DT	all
sides	NNS	side
,	,	,
including	VBG	include
the	DT	the
mediators	NNS	mediator
,	,	,
to	TO	to
improve	VB	improve
future	JJ	future
transfers	NNS	transfer
,	,	,
"	''	"
the	DT	the
ICRC	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
on	IN	on
Saturday	NP	Saturday
.	SENT	.
<p>
Who	WP	who
'	POS	'
s	NNS	<unknown>
gon	VBG	gon
na	TO	na
bet	VB	bet
we	PP	we
wo	MD	wo
n't	RB	n't
see	VB	see
a	DT	a
single	JJ	single
mention	NN	mention
in	IN	in
mainstream	JJ	mainstream
media	NNS	medium
of	IN	of
Israel	NP	Israel
forcing	VBG	force
tortured	JJ	tortured
,	,	,
starved	VBN	starve
&amp	NNS	<unknown>
;	:	;
sexually	RB	sexually
assaulted	VBN	assault
elderly	JJ	elderly
captives	NNS	captive
in	IN	in
concentration	NN	concentration
camps	NNS	camp
to	TO	to
wear	VB	wear
"	''	"
we	PP	we
'	POS	'
ll	NNS	<unknown>
never	RB	never
forget	VBP	forget
&amp	NN	<unknown>
;	:	;
never	RB	never
forgive	VB	forgive
"	``	"
shirts	NNS	shirt
with	IN	with
stars	NNS	star
of	IN	of
David	NP	David
?	SENT	?
**26	NN	<unknown>
;	:	;
1370	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
<p>
The	DT	the
furore	NN	furore
surrounding	VBG	surround
the	DT	the
provocative	JJ	provocative
shirts	NNS	shirt
underscores	VBZ	underscore
a	DT	a
long	JJ	long
policy	NN	policy
of	IN	of
"	``	"
humiliation	NN	humiliation
"	''	"
,	,	,
according	VBG	accord
to	TO	to
Xavier	NP	Xavier
Abu	NP	Abu
Eid	NP	Eid
,	,	,
a	DT	a
political	JJ	political
analyst	NN	analyst
speaking	VBG	speak
to	TO	to
Al	NP	Al
Jazeera	NP	<unknown>
from	IN	from
Bethlehem	NP	Bethlehem
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
analysing	VBG	analyse
throughout	IN	throughout
these	DT	these
past	JJ	past
weeks	NNS	week
the	DT	the
humiliation	NN	humiliation
of	IN	of
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
,	,	,
"	''	"
Abu	NP	Abu
Eid	NP	Eid
said	VBD	say
.	SENT	.
He	PP	he
noted	VBD	note
this	DT	this
was	VBD	be
"	``	"
nothing	RB	nothing
new	JJ	new
"	''	"
but	CC	but
not	RB	not
only	RB	only
damaged	VBN	damage
the	DT	the
prisoners	NNS	prisoner
but	CC	but
also	RB	also
their	PP$	their
families	NNS	family
.	SENT	.
<p>
A	DT	a
total	NN	total
of	IN	of
24	CD	@card@
captives	NNS	captive
and	CC	and
985	CD	@card@
