<p>
During	IN	during
to	TO	to
various	JJ	various
security	NN	security
concerns	NNS	concern
.	SENT	.
<p>
Following	VBG	follow
a	DT	a
strong	JJ	strong
stance	NN	stance
of	IN	of
neutrality	NN	neutrality
and	CC	and
maintaining	VBG	maintain
a	DT	a
balancing	NN	balancing
act	NN	act
,	,	,
India	NP	India
has	VBZ	have
established	VBN	establish
itself	PP	itself
as	IN	as
a	DT	a
key	JJ	key
partner	NN	partner
for	IN	for
both	DT	both
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
and	CC	and
is	VBZ	be
also	RB	also
seen	VBN	see
as	IN	as
a	DT	a
key	JJ	key
player	NN	player
in	IN	in
the	DT	the
implementation	NN	implementation
of	IN	of
the	DT	the
two-state	NN	two-state
solution	NN	solution
due	JJ	due
to	TO	to
its	PP$	its
close	JJ	close
ties	NNS	tie
with	IN	with
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
