lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
lebanon	409	4659	595.34	132.76	97.31	571.11	127.07	POSKW
nasrallah	166	597	241.63	17.01	14.65	536.16	173.69	POSKW
hezbollah	341	4137	496.36	117.88	85.98	444.71	123.23	POSKW
hassan	164	975	238.72	27.78	21.87	395.49	158.3	POSKW
iran	355	4933	516.74	140.57	101.53	394.4	114.46	POSKW
missile	274	3328	398.84	94.83	69.16	356.87	123.16	POSKW
beirut	169	1332	246.0	37.96	28.82	331.3	146.53	POSKW
tehran	165	1456	240.17	41.49	31.12	294.29	141.08	POSKW
sinwar	141	1060	205.24	30.2	23.06	286.96	148.69	POSKW
yahya	136	1134	197.96	32.31	24.38	254.57	143.87	POSKW
lebanese	166	1812	241.63	51.63	37.98	242.29	129.57	POSKW
iranian	178	2171	259.1	61.86	45.1	230.76	122.9	POSKW
haniyeh	126	1096	183.41	31.23	23.46	227.54	141.8	POSKW
anniversary	102	748	148.47	21.31	16.32	211.61	149.79	POSKW
ismail	125	1199	181.95	34.17	25.42	206.87	136.76	POSKW
ballistic	85	506	123.73	14.42	11.35	204.8	158.25	POSKW
mastermind	66	290	96.07	8.26	6.84	191.63	168.32	POSKW
assassination	104	897	151.38	25.56	19.22	189.18	142.22	POSKW
oct	88	735	128.09	20.94	15.8	164.49	143.79	POSKW
barrage	87	719	126.64	20.49	15.48	164.07	144.3	POSKW
september	129	1619	187.77	46.13	33.56	161.91	121.11	POSKW
escalate	162	2704	235.81	77.05	55.03	140.02	101.49	POSKW
year-long	37	100	53.86	2.85	2.63	136.55	179.9	POSKW
killing	171	3195	248.91	91.04	64.63	123.49	92.88	POSKW
assassinate	58	443	84.43	12.62	9.62	116.58	147.97	POSKW
retaliation	115	1740	167.39	49.58	35.62	114.34	108.6	POSKW
october	503	15249	732.17	434.52	302.44	113.25	51.02	POSKW
region	294	7452	427.95	212.34	148.72	112.96	67.35	POSKW
suburb	68	653	98.98	18.61	13.84	112.42	136.7	POSKW
iran-backed	94	1231	136.83	35.08	25.44	112.27	118.38	POSKW
strike	362	10007	526.93	285.15	199.09	109.68	59.55	POSKW
year	463	13851	673.94	394.68	274.83	109.17	52.27	POSKW
araghchi	25	55	36.39	1.57	1.54	100.4	183.48	POSKW
intercept	79	1019	114.99	29.04	21.08	96.06	119.36	POSKW
eliminate	110	1851	160.12	52.74	37.65	93.92	100.89	POSKW
salvo	30	115	43.67	3.28	2.78	93.78	172.08	POSKW
mark	173	3822	251.82	108.91	76.7	91.21	79.24	POSKW
retaliate	71	887	103.35	25.27	18.39	89.58	121.4	POSKW
axis	54	526	78.6	14.99	11.14	88.1	135.94	POSKW
oil	61	683	88.79	19.46	14.28	86.73	128.09	POSKW
facility	144	2981	209.61	84.94	60.0	86.46	84.65	POSKW
operation	312	8928	454.15	254.4	177.41	85.1	56.38	POSKW
jabalia	70	913	101.89	26.02	18.87	84.01	118.64	POSKW
launch	291	8185	423.58	233.23	162.74	83.71	57.96	POSKW
northern	232	6027	337.7	171.74	120.17	83.62	65.15	POSKW
reliable	52	519	75.69	14.79	10.96	82.91	134.62	POSKW
target	300	8557	436.68	243.83	170.06	82.66	56.68	POSKW
regional	143	3040	208.15	86.62	61.11	81.52	82.45	POSKW
revolutionary	58	667	84.43	19.01	13.92	80.18	126.5	POSKW
dna	29	142	42.21	4.05	3.28	79.08	165.01	POSKW
chief	196	4887	285.3	139.25	97.59	78.48	68.8	POSKW
peacekeeper	31	176	45.12	5.02	3.97	77.07	159.99	POSKW
targeted	69	958	100.44	27.3	19.72	76.74	114.52	POSKW
projectile	45	418	65.5	11.91	8.89	76.69	138.46	POSKW
leader	357	11000	519.65	313.44	218.06	75.84	49.5	POSKW
blow	79	1238	114.99	35.28	25.29	74.83	106.1	POSKW
pager	35	247	50.95	7.04	5.41	74.75	151.45	POSKW
one-year	26	118	37.85	3.36	2.76	74.12	167.36	POSKW
july	104	1980	151.38	56.42	40.01	72.73	91.4	POSKW
architect	30	178	43.67	5.07	3.99	72.44	158.37	POSKW
lahiya	41	367	59.68	10.46	7.83	72.22	140.36	POSKW
airstrike	177	4454	257.64	126.92	88.92	69.27	67.99	POSKW
yemen	92	1698	133.92	48.38	34.37	67.83	93.84	POSKW
commander	108	2198	157.21	62.63	44.28	66.97	86.04	POSKW
khamenei	37	321	53.86	9.15	6.87	66.97	141.93	POSKW
death	333	10448	484.72	297.71	207.0	66.14	47.8	POSKW
conflict	392	12848	570.6	366.1	254.21	65.44	43.66	POSKW
unifil	25	131	36.39	3.73	3.0	65.41	162.79	POSKW
escalation	119	2586	173.22	73.69	51.94	64.91	80.62	POSKW
adwan	41	432	59.68	12.31	9.08	62.01	131.6	POSKW
kamal	43	475	62.59	13.54	9.95	62.0	128.88	POSKW
stronghold	45	543	65.5	15.47	11.29	59.04	123.57	POSKW
ayatollah	35	329	50.95	9.37	6.99	59.01	137.83	POSKW
successor	28	208	40.76	5.93	4.53	57.51	149.22	POSKW
regroup	37	380	53.86	10.83	8.01	57.39	133.04	POSKW
fire	244	7336	355.17	209.04	145.54	56.55	51.8	POSKW
abbas	63	1026	91.7	29.24	20.91	56.47	103.3	POSKW
haifa	32	286	46.58	8.15	6.11	56.44	140.44	POSKW
retaliatory	84	1643	122.27	46.82	33.16	56.02	89.25	POSKW
vow	116	2674	168.85	76.2	53.57	55.82	75.62	POSKW
defence	163	4327	237.26	123.3	86.21	55.42	63.22	POSKW
rocket	147	3756	213.97	107.03	74.94	55.33	66.63	POSKW
enemy	98	2095	142.65	59.7	42.11	55.25	81.99	POSKW
beit	61	989	88.79	28.18	20.16	55.04	103.63	POSKW
figure	147	3767	213.97	107.34	75.15	54.91	66.37	POSKW
nuclear	63	1054	91.7	30.03	21.45	54.26	101.32	POSKW
aggression	79	1551	114.99	44.2	31.3	52.33	88.95	POSKW
force	430	15111	625.91	430.59	298.39	52.15	36.98	POSKW
hit	169	4648	246.0	132.44	92.49	51.98	60.01	POSKW
infrastructure	120	2902	174.67	82.69	58.02	51.75	71.48	POSKW
syria	102	2310	148.47	65.82	46.31	51.02	77.14	POSKW
tension	121	2973	176.13	84.72	59.41	50.23	70.09	POSKW
peacekeepe	25	195	36.39	5.56	4.22	49.42	147.01	POSKW
tally	87	1854	126.64	52.83	37.27	49.36	82.25	POSKW
intensify	78	1586	113.54	45.19	31.95	48.45	86.11	POSKW
result	202	6059	294.03	172.65	120.21	47.2	52.02	POSKW
influence	74	1521	107.71	43.34	30.62	45.04	85.23	POSKW
resistance	97	2288	141.19	65.2	45.79	44.33	73.64	POSKW
proxy	60	1110	87.34	31.63	22.46	44.06	93.65	POSKW
troop	165	4802	240.17	136.83	95.37	42.64	54.82	POSKW
pezeshkian	22	177	32.02	5.04	3.82	42.42	145.57	POSKW
southern	292	9883	425.04	281.62	195.36	42.37	40.59	POSKW
ongoing	235	7569	342.07	215.68	149.84	42.14	45.32	POSKW
ally	168	5011	244.54	142.79	99.44	40.01	52.54	POSKW
major	148	4289	215.43	122.21	85.19	38.78	55.21	POSKW
