<h>
Why	WRB	why
of	IN	of
Davis	NP	Davis
mean	NN	mean
?	SENT	?
<p>
The	DT	the
Star	NP	Star
of	IN	of
David	NP	David
is	VBZ	be
a	DT	a
symbol	NN	symbol
in	IN	in
Judaism	NP	Judaism
and	CC	and
Israel	NP	Israel
.	SENT	.
It	PP	it
is	VBZ	be
called	VBN	call
Magen	NP	Magen
David	NP	David
(	(	(
shield	NN	shield
of	IN	of
David	NP	David
)	)	)
in	IN	in
Hebrew	NP	Hebrew
.	SENT	.
The	DT	the
star	NN	star
is	VBZ	be
basically	RB	basically
two	CD	two
triangles	NNS	triangle
superimposed	VBN	superimpose
on	IN	on
each	DT	each
other	JJ	other
,	,	,
forming	VBG	form
the	DT	the
shape	NN	shape
of	IN	of
a	DT	a
hexagram	NN	hexagram
.	SENT	.
<p>
Now	RB	now
,	,	,
the	DT	the
criticism	NN	criticism
stems	VBZ	stem
from	IN	from
the	DT	the
time	NN	time
Jews	NNS	jew
were	VBD	be
forced	VBN	force
to	TO	to
wear	VB	wear
the	DT	the
yellow	JJ	yellow
badge	NN	badge
in	IN	in
Nazi-occupied	JJ	Nazi-occupied
Europe	NP	Europe
.	SENT	.
It	PP	it
gave	VBD	give
the	DT	the
Star	NP	Star
of	IN	of
David	NP	David
a	DT	a
symbolism	NN	symbolism
indicating	VBG	indicate
martyrdom	NN	martyrdom
and	CC	and
heroism	NN	heroism
.	SENT	.
<p>
Erdan	NP	<unknown>
,	,	,
during	IN	during
his	PP$	his
interview	NN	interview
with	IN	with
Channel	NP	Channel
12	CD	@card@
,	,	,
added	VBD	add
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
from	IN	from
Hamas	JJ	<unknown>
bodycams	NNS	<unknown>
and	CC	and
other	JJ	other
cameras	NNS	camera
in	IN	in
the	DT	the
UN	NP	UN
.	SENT	.
<p>
"	``	"
The	DT	the
campaign	NN	campaign
against	IN	against
Hamas	NP	<unknown>
is	VBZ	be
being	VBG	be
waged	VBN	wage
mainly	RB	mainly
in	IN	in
Gaza	NP	Gaza
.	SENT	.
But	CC	but
the	DT	the
pictures	NNS	picture
that	WDT	that
Hamas	NP	<unknown>
sends	VBZ	send
out	RP	out
from	IN	from
there	EX	there
to	TO	to
the	DT	the
world	NN	world
,	,	,
and	CC	and
the	DT	the
lies	VBZ	lie
it	PP	it
disseminates	VBZ	disseminate
,	,	,
are	VBP	be
starting	VBG	start
to	TO	to
turn	VB	turn
public	JJ	public
opinion	NN	opinion
against	IN	against
the	DT	the
war	NN	war
,	,	,
with	IN	with
calls	NNS	call
for	IN	for
ceasefires	NNS	ceasefire
and	CC	and
pauses	NNS	pause
...	:	...
things	NNS	thing
that	WDT	that
would	MD	would
harm	VB	harm
our	PP$	our
capacity	NN	capacity
to	TO	to
destroy	VB	destroy
Hamas	NNS	<unknown>
.	SENT	.
"	``	"
