<h>
Community	NN	community
members	NNS	member
call	VBP	call
for	IN	for
action	NN	action
after	IN	after
Glenbrook	NP	Glenbrook
South	NP	South
yearbook	NN	yearbook
controversy	NN	controversy
<p>
A	DT	a
Glenbrook	NP	Glenbrook
South	NP	South
High	NP	High
School	NP	School
student	NN	student
'	POS	'
s	JJ	<unknown>
quote	NN	quote
for	IN	for
the	DT	the
yearbook	NN	yearbook
about	IN	about
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
and	CC	and
Israel	NP	Israel
was	VBD	be
taken	VBN	take
out	RP	out
of	IN	of
context	NN	context
so	IN	so
it	PP	it
appeared	VBD	appear
to	TO	to
praise	VB	praise
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
terror	NN	terror
attacks	NNS	attack
,	,	,
a	DT	a
report	NN	report
by	IN	by
the	DT	the
school	NN	school
district	NN	district
'	POS	'
s	NN	S
attorney	NN	attorney
revealed	VBD	reveal
.	SENT	.
Glenbrook	NP	Glenbrook
High	NP	High
School	NP	School
District	NP	District
225	CD	@card@
officials	NNS	official
have	VBP	have
pledged	VBN	pledge
to	TO	to
take	VB	take
action	NN	action
and	CC	and
met	VBD	meet
privately	RB	privately
Tuesday	NP	Tuesday
night	NN	night
.	SENT	.
Russell	NP	Russell
**30	NP	<unknown>
;	:	;
1282	CD	@card@
;	:	;
TOOLONG	NP	<unknown>
<p>
The	NP	The
Glenbrook	NP	Glenbrook
High	NP	High
School	NP	School
District	NP	District
225	CD	@card@
board	NN	board
met	VBD	meet
privately	RB	privately
Tuesday	NP	Tuesday
night	NN	night
as	IN	as
members	NNS	member
prepare	VBP	prepare
to	TO	to
take	VB	take
corrective	JJ	corrective
measures	NNS	measure
following	VBG	follow
the	DT	the
out-of-context	NN	out-of-context
publication	NN	publication
in	IN	in
a	DT	a
yearbook	NN	yearbook
of	IN	of
a	DT	a
student	NN	student
'	POS	'
s	JJ	<unknown>
comment	NN	comment
about	IN	about
Israel	NP	Israel
and	CC	and
Palestinians	NPS	Palestinians
.	SENT	.
<p>
But	CC	but
before	IN	before
the	DT	the
audience	NN	audience
was	VBD	be
ushered	VBN	usher
out	RP	out
of	IN	of
the	DT	the
meeting	NN	meeting
room	NN	room
at	IN	at
District	NP	District
225	CD	@card@
headquarters	NN	headquarters
in	IN	in
Glenview	NP	Glenview
,	,	,
three	CD	three
people	NNS	people
went	VBD	go
to	TO	to
the	DT	the
lectern	NN	lectern
to	TO	to
praise	VB	praise
officials	NNS	official
for	IN	for
how	WRB	how
officials	NNS	official
have	VBP	have
handled	VBN	handle
the	DT	the
emotionally	RB	emotionally
explosive	JJ	explosive
situation	NN	situation
--	:	--
and	CC	and
to	TO	to
call	VB	call
for	IN	for
action	NN	action
.	SENT	.
<p>
The	DT	the
special	JJ	special
meeting	NN	meeting
was	VBD	be
called	VBN	call
to	TO	to
discuss	VB	discuss
personnel	JJ	personnel
matters	NNS	matter
,	,	,
the	DT	the
exact	JJ	exact
nature	NN	nature
of	IN	of
which	WDT	which
were	VBD	be
n't	RB	n't
publicly	RB	publicly
disclosed	VBN	disclose
.	SENT	.
<p>
But	CC	but
it	PP	it
was	VBD	be
the	DT	the
seven-member	NN	seven-member
panel	NN	panel
'	POS	'
s	JJ	<unknown>
first	JJ	first
meeting	NN	meeting
since	IN	since
last	JJ	last
week	NN	week
'	POS	'
s	NN	S
,	,	,
at	IN	at
which	WDT	which
attorney	NN	attorney
Justino	NP	Justino
D.	NP	D.
Petrarca	NP	Petrarca
publicly	RB	publicly
released	VBD	release
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
poor	JJ	poor
journalistic	JJ	journalistic
decisions	NNS	decision
were	VBD	be
factors	NNS	factor
in	IN	in
the	DT	the
erroneous	JJ	erroneous
use	NN	use
of	IN	of
a	DT	a
student	NN	student
'	POS	'
s	JJ	<unknown>
quote	NN	quote
in	IN	in
the	DT	the
latest	JJS	late
edition	NN	edition
of	IN	of
Glenbrook	NP	Glenbrook
South	NP	South
High	NP	High
'	POS	'
s	NN	S
yearbook	NN	yearbook
,	,	,
Etruscan	JJ	Etruscan
.	SENT	.
<p>
The	DT	the
quote	NN	quote
was	VBD	be
published	VBN	publish
in	IN	in
such	PDT	such
a	DT	a
way	NN	way
that	IN	that
the	DT	the
teen	NN	teen
