<p>
Photographers	NNS	photographer
in	IN	in
the	DT	the
Oval	JJ	oval
Office	NN	office
caught	VBD	catch
Wiles	NP	Wiles
making	VBG	make
a	DT	a
wide-eyed	JJ	wide-eyed
expression	NN	expression
as	IN	as
Trump	NP	Trump
spoke	VBD	speak
to	TO	to
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
about	IN	about
his	PP$	his
plans	NNS	plan
for	IN	for
Gaza	NP	Gaza
.	SENT	.
<p>
Trump	NP	Trump
first	RB	first
made	VBD	make
the	DT	the
pitch	NN	pitch
for	IN	for
the	DT	the
U.S.	NP	U.S.
to	TO	to
take	VB	take
over	IN	over
Gaza	NP	Gaza
at	IN	at
an	DT	an
executive	JJ	executive
order	NN	order
signing	NN	signing
in	IN	in
the	DT	the
Oval	JJ	oval
-	NN	<unknown>
and	CC	and
later	RBR	later
made	VBD	make
waves	NNS	wave
by	IN	by
talking	VBG	talk
about	IN	about
it	PP	it
at-length	NN	at-length
in	IN	in
the	DT	the
first	JJ	first
bilateral	JJ	bilateral
press	NN	press
conference	NN	conference
of	IN	of
his	PP$	his
administration	NN	administration
alongside	IN	alongside
the	DT	the
Israeli	JJ	Israeli
leader	NN	leader
.	SENT	.
<p>
During	IN	during
the	DT	the
Oval	JJ	oval
Office	NP	Office
meeting	NN	meeting
,	,	,
Trump	NP	Trump
expanded	VBD	expand
on	IN	on
his	PP$	his
desire	NN	desire
to	TO	to
have	VB	have
Palestinians	NNS	Palestinian
relocated	VBN	relocate
out	RP	out
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
and	CC	and
this	DT	this
time	NN	time
said	VBD	say
he	PP	he
thought	VBD	think
it	PP	it
would	MD	would
be	VB	be
a	DT	a
permanent	JJ	permanent
relocation	NN	relocation
.	SENT	.
<p>
'	''	'
It	PP	it
would	MD	would
be	VB	be
my	PP$	my
hope	NN	hope
that	IN	that
we	PP	we
could	MD	could
do	VB	do
something	NN	something
really	RB	really
nice	JJ	nice
,	,	,
really	RB	really
good	JJ	good
,	,	,
where	WRB	where
they	PP	they
would	MD	would
n't	RB	n't
want	VB	want
to	TO	to
return	VB	return
.	SENT	.
Why	WRB	why
would	MD	would
they	PP	they
want	VB	want
to	TO	to
return	VB	return
?	SENT	?
The	DT	the
place	NN	place
has	VBZ	have
been	VBN	be
hell	NN	hell
,	,	,
'	''	'
he	PP	he
told	VBD	tell
reporters	NNS	reporter
.	SENT	.
<p>
'	''	'
You	PP	you
take	VBP	take
certain	JJ	certain
areas	NNS	area
and	CC	and
you	PP	you
build	VBP	build
really	RB	really
good	JJ	good
quality	NN	quality
housing	NN	housing
,	,	,
like	IN	like
a	DT	a
beautiful	JJ	beautiful
town	NN	town
,	,	,
like	IN	like
some	DT	some
place	NN	place
where	WRB	where
they	PP	they
can	MD	can
live	VB	live
and	CC	and
not	RB	not
die	VB	die
,	,	,
because	IN	because
Gaza	NP	Gaza
is	VBZ	be
a	DT	a
guarantee	NN	guarantee
that	IN	that
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
happen	VB	happen
again	RB	again
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
happened	VBD	happen
over	RP	over
and	CC	and
over	RP	over
again	RB	again
,	,	,
'	''	'
he	PP	he
added	VBD	add
.	SENT	.
<p>
'	''	'
I	PP	I
hope	VBP	hope
that	IN	that
we	PP	we
can	MD	can
do	VB	do
something	NN	something
where	WRB	where
they	PP	they
would	MD	would
n't	RB	n't
want	VB	want
to	TO	to
go	VB	go
back	RB	back
,	,	,
who	WP	who
would	MD	would
n't	RB	n't
want	VB	want
to	TO	to
go	VB	go
back	RB	back
,	,	,
they	PP	they
experienced	VBD	experience
nothing	NN	nothing
but	CC	but
death	NN	death
and	CC	and
destruction	NN	destruction
.	SENT	.
'	''	'
<p>
A	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
White	NP	White
House	NP	House
did	VBD	do
n't	RB	n't
respond	VB	respond
to	TO	to
DailyMail.com	NP	<unknown>
'	POS	'
s	JJ	<unknown>
request	NN	request
for	IN	for
comment	NN	comment
on	IN	on
why	WRB	why
Wiles	NP	Wiles
was	VBD	be
making	VBG	make
the	DT	the
expression	NN	expression
.	SENT	.
<p>
White	NP	White
House	NP	House
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
Susie	NP	Susie
Wiles	NP	Wiles
'	POS	'
expression	NN	expression
went	VBD	go
viral	JJ	viral
.	SENT	.
She	PP	she
was	VBD	be
captured	VBN	capture
making	VBG	make
a	DT	a
face	NN	face
as	IN	as
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
revealed	VBD	reveal
his	PP$	his
plans	NNS	plan
for	IN	for
Gaza	NP	Gaza
<p>
'	''	'
And	CC	and
after	IN	after
the	DT	the
jaws	NNS	jaw
drop	NN	drop
people	NNS	people
scratch	VBP	scratch
their	PP$	their
heads	NNS	head
and	CC	and
they	PP	they
say	VBP	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
'	''	'
<p>
Earlier	RBR	earlier
Trump	NP	Trump
told	VBD	tell
reporters	NNS	reporter
at	IN	at
an	DT	an
executive	JJ	executive
order	NN	order
signing	NN	signing
,	,	,
'	''	'
The	DT	the
Gaza	NP	Gaza
thing	NN	thing
has	VBZ	have
not	RB	not
worked	VBN	work
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
never	RB	never
worked	VBD	work
.	SENT	.
'	''	'
<p>
'	''	'
And	CC	and
I	PP	I
feel	VBP	feel
very	RB	very
differently	RB	differently
about	IN	about
Gaza	NP	Gaza
than	IN	than
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
'	''	'
the	DT	the
president	NN	president
continued	VBD	continue
.	SENT	.
'	''	'
I	PP	I
think	VBP	think
they	PP	they
should	MD	should
get	VB	get
a	DT	a
good	JJ	good
,	,	,
fresh	JJ	fresh
,	,	,
beautiful	JJ	beautiful
piece	NN	piece
of	IN	of
land	NN	land
,	,	,
and	CC	and
we	PP	we
get	VBP	get
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
make	VB	make
it	PP	it
nice	JJ	nice
and	CC	and
make	VB	make
it	PP	it
habitable	JJ	habitable
and	CC	and
enjoyable	JJ	enjoyable
.	SENT	.
'	''	'
<p>
He	PP	he
pressed	VBD	press
that	IN	that
Palestinians	NPS	Palestinians
would	MD	would
n't	RB	n't
want	VB	want
to	TO	to
stay	VB	stay
in	IN	in
their	PP$	their
homeland	NN	homeland
.	SENT	.
<p>
'	''	'
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
they	PP	they
could	MD	could
want	VB	want
to	TO	to
stay	VB	stay
