Effect	group	N	Mean fac5	SD fac5
group	global_north_2023_09	25	1.92000000	2.78268456
group	global_north_2023_10	2864	2.06215084	1.90930742
group	global_north_2023_11	1996	2.36122244	2.36479597
group	global_north_2023_12	1113	2.51392633	2.60430505
group	global_north_2024_01	875	3.68228571	4.00567038
group	global_north_2024_02	900	3.07000000	3.18621021
group	global_north_2024_03	880	2.72386364	2.82639494
group	global_north_2024_04	1037	2.86981678	2.74906535
group	global_north_2024_05	1213	3.46578730	3.80157929
group	global_north_2024_06	709	2.82933709	3.23739402
group	global_north_2024_07	749	2.86648865	2.98361140
group	global_north_2024_08	768	2.67187500	2.54229221
group	global_north_2024_09	689	2.74891147	2.83293588
group	global_north_2024_10	921	2.43756786	2.57425805
group	global_north_2024_11	1189	5.20857864	4.86520946
group	global_north_2024_12	873	4.11569301	4.09818082
group	global_north_2025_01	1651	2.98364627	3.26807871
group	global_north_2025_02	1649	3.22377198	3.28929089
group	global_north_2025_03	1249	3.57165733	3.16073627
group	global_north_2025_04	1110	4.09729730	3.56461569
group	global_north_2025_05	1663	4.22369212	3.54044761
group	global_north_2025_06	1349	4.41215715	3.48511466
group	global_south_2023_09	10	1.90000000	1.37032032
group	global_south_2023_10	1361	2.52975753	2.36907850
group	global_south_2023_11	845	2.95502959	2.89227831
group	global_south_2023_12	486	3.20370370	3.09066881
group	global_south_2024_01	385	5.84675325	5.72502694
group	global_south_2024_02	253	3.41501976	3.53296434
group	global_south_2024_03	292	3.06849315	3.18535639
group	global_south_2024_04	333	2.78978979	2.56557685
group	global_south_2024_05	439	3.86332574	3.75682014
group	global_south_2024_06	300	3.14333333	3.65339292
group	global_south_2024_07	405	3.43703704	3.83755686
group	global_south_2024_08	493	2.82352941	2.87675258
group	global_south_2024_09	393	2.99745547	2.96536016
group	global_south_2024_10	687	2.75254731	3.11020446
group	global_south_2024_11	461	5.66377440	4.97316386
group	global_south_2024_12	322	4.54968944	4.29942580
group	global_south_2025_01	601	2.86688852	3.25047460
group	global_south_2025_02	498	3.59236948	3.76103367
group	global_south_2025_03	398	3.42964824	3.23376789
group	global_south_2025_04	405	4.15308642	3.71460479
group	global_south_2025_05	461	3.98047722	3.77601823
group	global_south_2025_06	481	4.46569647	3.77538188
