Effect	group	N	Mean fac3	SD fac3
group	global_north_2023_09	25	3.48000000	2.55147016
group	global_north_2023_10	2864	1.78351955	2.34976698
group	global_north_2023_11	1996	2.29659319	2.83819428
group	global_north_2023_12	1113	1.84186882	2.54636306
group	global_north_2024_01	875	1.94514286	2.40693289
group	global_north_2024_02	900	1.85111111	2.30828871
group	global_north_2024_03	880	1.75568182	2.16982921
group	global_north_2024_04	1037	3.51012536	5.18510114
group	global_north_2024_05	1213	5.78812861	6.36503373
group	global_north_2024_06	709	3.38081805	4.60090557
group	global_north_2024_07	749	3.14552737	3.77352470
group	global_north_2024_08	768	2.63541667	3.70663394
group	global_north_2024_09	689	2.43976778	3.11358388
group	global_north_2024_10	921	2.57003257	3.52255665
group	global_north_2024_11	1189	2.42977292	2.89452433
group	global_north_2024_12	873	1.96449026	2.58122615
group	global_north_2025_01	1651	1.88249546	2.46296251
group	global_north_2025_02	1649	1.76349303	2.57529363
group	global_north_2025_03	1249	5.76941553	8.31788271
group	global_north_2025_04	1110	4.28648649	6.37163584
group	global_north_2025_05	1663	2.75947084	4.83915714
group	global_north_2025_06	1349	3.09636768	4.39208489
group	global_south_2023_09	10	2.90000000	2.33095116
group	global_south_2023_10	1361	1.14327700	1.63623065
group	global_south_2023_11	845	1.31360947	1.76588709
group	global_south_2023_12	486	1.12757202	1.48121609
group	global_south_2024_01	385	1.43116883	1.47056712
group	global_south_2024_02	253	1.35968379	1.81732052
group	global_south_2024_03	292	1.16438356	1.62889458
group	global_south_2024_04	333	2.12612613	3.87714290
group	global_south_2024_05	439	2.94533030	4.94875288
group	global_south_2024_06	300	1.52333333	2.13337601
group	global_south_2024_07	405	1.63209877	2.06106211
group	global_south_2024_08	493	1.57606491	2.74320949
group	global_south_2024_09	393	1.58269720	2.06746070
group	global_south_2024_10	687	1.20232897	1.65759858
group	global_south_2024_11	461	1.68329718	1.99660657
group	global_south_2024_12	322	1.27950311	1.54157819
group	global_south_2025_01	601	1.28452579	1.89576110
group	global_south_2025_02	498	1.19076305	1.73197966
group	global_south_2025_03	398	4.30150754	7.74626246
group	global_south_2025_04	405	2.92345679	4.48777966
group	global_south_2025_05	461	1.92190889	3.80765497
group	global_south_2025_06	481	2.08523909	3.29757019
