Dependent	Source	DF	SS	MS	FValue	ProbF
fac2	Model	43	109579.1963	2548.3534	123.35	<.0001
fac2	Error	35737	738296.6386	20.6592	_	_
fac2	Corrected Total	35780	847875.8349	_	_	_
