Effect	group	N	Mean fac8	SD fac8
group	global_north_2023_09	25	0.68000000	0.98826447
group	global_north_2023_10	2864	0.84706704	1.30516791
group	global_north_2023_11	1996	1.30961924	1.72997390
group	global_north_2023_12	1113	1.31266846	1.70673427
group	global_north_2024_01	875	1.18971429	1.55689484
group	global_north_2024_02	900	2.01666667	2.80923909
group	global_north_2024_03	880	2.09545455	2.59867425
group	global_north_2024_04	1037	1.62487946	2.06764889
group	global_north_2024_05	1213	1.48804617	1.90211726
group	global_north_2024_06	709	1.61354020	2.24429912
group	global_north_2024_07	749	1.71161549	2.57448114
group	global_north_2024_08	768	1.99869792	3.18875933
group	global_north_2024_09	689	1.37155298	2.49268769
group	global_north_2024_10	921	1.20738328	2.25335252
group	global_north_2024_11	1189	1.22960471	1.94847733
group	global_north_2024_12	873	0.59335624	1.16260615
group	global_north_2025_01	1651	0.69957601	1.19112621
group	global_north_2025_02	1649	0.61431170	1.17175037
group	global_north_2025_03	1249	0.59807846	1.11452940
group	global_north_2025_04	1110	0.51891892	1.27792618
group	global_north_2025_05	1663	0.40108238	1.09848327
group	global_north_2025_06	1349	0.24833210	1.26344659
group	global_south_2023_09	10	1.30000000	1.49443412
group	global_south_2023_10	1361	0.57237325	0.95683349
group	global_south_2023_11	845	0.82958580	1.27752183
group	global_south_2023_12	486	0.96913580	1.36414849
group	global_south_2024_01	385	0.72727273	1.18844659
group	global_south_2024_02	253	1.09881423	1.57425927
group	global_south_2024_03	292	1.34246575	1.97558415
group	global_south_2024_04	333	1.18018018	1.58227112
group	global_south_2024_05	439	1.03416856	1.53682905
group	global_south_2024_06	300	1.05000000	1.53471534
group	global_south_2024_07	405	1.33827160	2.35503295
group	global_south_2024_08	493	1.19066937	2.27217039
group	global_south_2024_09	393	0.83969466	1.60746089
group	global_south_2024_10	687	0.83114993	1.78690303
group	global_south_2024_11	461	1.25813449	2.16407526
group	global_south_2024_12	322	0.58385093	1.31162550
group	global_south_2025_01	601	0.60565724	1.11918182
group	global_south_2025_02	498	0.40160643	0.83398478
group	global_south_2025_03	398	0.40954774	0.91481470
group	global_south_2025_04	405	0.36049383	1.02126875
group	global_south_2025_05	461	0.07592191	0.85762910
group	global_south_2025_06	481	0.24948025	1.31502723
