_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,loaded,factor,pole
v000040,-0.057994794,0.2659086666,0.0311683843,-0.149843205,0.057334378,0.0157101035,-0.270164837,0.1829856667,0.0665002716,0,,
v000041,0.0247637773,0.0514120163,-0.026391757,-0.058450116,0.2209330904,0.0496763626,-0.170585232,0.2286707735,-0.078264038,0,,
v000042,0.1999370152,0.054337852,-0.000390592,0.3120509606,-0.40555885,-0.025953516,-0.060437629,0.3152100839,0.022730912,1,fac5,-1
v000043,0.0558228666,0.7110387314,0.0187855088,-0.107672094,-0.472692456,0.4331342037,0.5549003483,-0.056630365,0.0286023461,1,fac2,1
v000044,0.2618247312,0.5167798584,-0.163687951,0.032215685,-0.156312792,-0.012886008,-0.113064199,-0.167017473,0.1553035462,1,fac2,1
v000045,-0.209853141,-0.114151022,0.5113668345,-0.158430395,0.1431237281,0.0226887338,-0.250965351,0.143339555,-0.122205542,1,fac3,1
v000047,-0.245022782,-0.019282933,-0.027060763,-0.029229009,0.0661920951,0.1502230245,-0.342441923,0.1920630561,-0.050095869,1,fac7,-1
v000048,-0.088374939,-0.25934784,0.1625242439,-0.197615385,-0.04104992,-0.08806709,-0.455230446,0.3650018318,-0.207194479,1,fac7,-1
v000049,0.1115779559,0.034292306,0.0079095555,-0.128261012,0.2676351159,0.0122828969,-0.194132347,0.0845158262,0.0694991078,0,,
v000050,0.3559837592,0.0885824809,0.3038893622,0.0015707641,0.1335267231,0.045361807,0.3976186738,0.1129000005,-0.039862889,1,fac7,1
v000051,-0.116881381,0.0492483493,-0.152180694,0.2655803609,0.0930696266,-0.004609099,0.214106925,0.2394908688,-0.086123692,0,,
v000052,-0.361662739,-0.189021657,-0.082803389,-0.201406926,0.1248879211,-0.252929744,0.3718870658,0.7430219937,-0.370257465,1,fac8,1
v000053,-0.166464191,0.2061173178,0.0561199844,0.1010294515,0.1203732646,-0.280219062,-0.226821685,-0.098838699,-0.206477291,0,,
v000054,0.4089163526,0.1992900641,-0.08372425,0.032572225,-0.059178369,-0.05124885,-0.032500897,-0.195293041,-0.041111409,1,fac1,1
v000055,-0.086226975,0.0113184248,0.2536996652,-0.012199092,0.4321085673,-0.063749272,0.0663704324,0.2223830897,0.0390571379,1,fac5,1
v000056,0.0051142758,0.144247896,0.0079169333,-0.003733586,0.1521469136,0.0897722028,-0.132832873,0.0773747468,-0.056643674,0,,
v000057,0.3207591389,0.2175185455,-0.107869444,-0.001630683,-0.053898445,0.0304151949,-0.056943756,-0.175592078,-0.055106896,1,fac1,1
v000058,-0.036045133,-0.031183586,0.6311076403,-0.014155355,0.1143027741,0.0100674172,-0.01818798,-0.168231568,-0.030978967,1,fac3,1
v000059,0.0135973556,0.0988196735,0.2124854188,-0.118587489,0.2981129407,-0.058582798,0.0052731982,0.0902899533,-0.297358845,0,,
v000060,0.3605997287,0.3755904075,-0.131519938,-0.014645744,-0.005073996,-0.052661556,-0.05441548,-0.053663411,-0.027134587,1,fac2,1
v000061,-0.181884672,0.6417031046,-0.128271257,-0.016137626,0.0738919458,-0.078720877,-0.000253361,0.01284516,-0.009838541,1,fac2,1
v000062,-0.190233108,0.7106739487,-0.112573834,0.057330747,0.0397196482,-0.124083457,-0.082333881,0.0711012571,0.0214849167,1,fac2,1
v000063,0.1843046613,0.1898527421,0.0790630682,-0.064759004,0.0207289431,0.0023426492,0.0079530123,-0.024720894,0.0242192107,0,,
v000064,0.2574283096,-0.061182287,-0.113347317,0.0377625044,0.1837384865,0.0616768642,0.2463361542,0.1027846839,0.0469682008,0,,
v000065,-0.017897381,0.0092182624,0.1806327633,0.016118256,0.3372599685,0.0638576278,-0.060987073,-0.06451702,-0.15649801,1,fac5,1
v000066,-0.272281974,0.0082611166,0.0093516427,-0.281946602,0.0703282243,0.1359667411,-0.305719566,0.0436325195,-0.158031697,1,fac7,-1
v000067,0.1739644864,0.3811504683,-0.060925443,-0.090058835,-0.124123307,-0.009675139,-0.018304167,-0.069041954,0.0939915932,1,fac2,1
v000068,-0.102797953,-0.144512828,0.6875231574,-0.104784702,0.1031296089,-0.004666645,0.0052352867,-0.032970647,-0.12088388,1,fac3,1
v000069,-0.109183281,0.2881520336,-0.178366362,-0.013241047,-0.284727158,-0.256183686,0.0199792485,0.0143946177,0.1153013588,0,,
