Effect	group	N	Mean fac6	SD fac6
group	global_north_2023_09	25	1.16000000	1.17898261
group	global_north_2023_10	2864	0.66480447	0.94859351
group	global_north_2023_11	1996	0.54909820	0.91497932
group	global_north_2023_12	1113	0.87061995	1.58209669
group	global_north_2024_01	875	0.99200000	1.66431932
group	global_north_2024_02	900	0.70333333	1.23887261
group	global_north_2024_03	880	1.37613636	2.01148547
group	global_north_2024_04	1037	0.93056895	1.37229937
group	global_north_2024_05	1213	0.73784007	1.15349703
group	global_north_2024_06	709	0.84344147	1.23714977
group	global_north_2024_07	749	0.58744993	1.14551090
group	global_north_2024_08	768	0.52734375	1.07927361
group	global_north_2024_09	689	0.42670537	0.94357421
group	global_north_2024_10	921	0.42453855	0.90710087
group	global_north_2024_11	1189	0.42977292	0.79316633
group	global_north_2024_12	873	0.54410080	0.95335725
group	global_north_2025_01	1651	0.53179891	0.89207982
group	global_north_2025_02	1649	0.43117041	0.76499486
group	global_north_2025_03	1249	0.61569255	0.98202288
group	global_north_2025_04	1110	0.66936937	1.01194781
group	global_north_2025_05	1663	1.40168370	1.80380586
group	global_north_2025_06	1349	2.41438102	3.76412878
group	global_south_2023_09	10	0.40000000	1.17378779
group	global_south_2023_10	1361	0.57384276	0.87817860
group	global_south_2023_11	845	0.49704142	1.01484398
group	global_south_2023_12	486	0.93209877	1.86379463
group	global_south_2024_01	385	1.01558442	1.73648539
group	global_south_2024_02	253	0.67984190	1.03330874
group	global_south_2024_03	292	1.19863014	2.04290697
group	global_south_2024_04	333	0.91891892	1.53160559
group	global_south_2024_05	439	0.63097950	0.94388041
group	global_south_2024_06	300	0.76000000	1.28890298
group	global_south_2024_07	405	0.44197531	1.16454047
group	global_south_2024_08	493	0.47667343	1.23546981
group	global_south_2024_09	393	0.36386768	1.03628915
group	global_south_2024_10	687	0.36972344	1.11319298
group	global_south_2024_11	461	0.39262473	0.89919641
group	global_south_2024_12	322	0.27329193	0.92381154
group	global_south_2025_01	601	0.22795341	0.91448563
group	global_south_2025_02	498	0.36546185	0.80427172
group	global_south_2025_03	398	0.48492462	0.86553015
group	global_south_2025_04	405	0.52839506	0.84566960
group	global_south_2025_05	461	1.40563991	1.82682032
group	global_south_2025_06	481	2.44074844	3.70150908
