Effect	group	N	Mean fac7	SD fac7
group	global_north_2023_09	25	-1.24000000	2.57034369
group	global_north_2023_10	2864	-1.99371508	2.30929169
group	global_north_2023_11	1996	-1.77855711	2.20094788
group	global_north_2023_12	1113	-1.29559748	2.02851711
group	global_north_2024_01	875	-0.96114286	1.77404335
group	global_north_2024_02	900	-0.84000000	1.61849709
group	global_north_2024_03	880	-0.87045455	1.78771939
group	global_north_2024_04	1037	-0.90742527	1.73458818
group	global_north_2024_05	1213	-1.04369332	1.69319261
group	global_north_2024_06	709	-1.29619182	1.97434095
group	global_north_2024_07	749	-1.34045394	1.72825847
group	global_north_2024_08	768	-1.44401042	1.82106766
group	global_north_2024_09	689	-2.27721335	2.89748594
group	global_north_2024_10	921	-1.84690554	2.24417451
group	global_north_2024_11	1189	-0.85618167	1.45482104
group	global_north_2024_12	873	-1.26689576	1.97484562
group	global_north_2025_01	1651	-1.70623864	2.11065490
group	global_north_2025_02	1649	-1.57731959	2.30427944
group	global_north_2025_03	1249	-1.32105685	1.68378775
group	global_north_2025_04	1110	-1.43063063	1.69073179
group	global_north_2025_05	1663	-1.36861094	1.69501312
group	global_north_2025_06	1349	-1.54484804	1.88121605
group	global_south_2023_09	10	2.50000000	3.24037035
group	global_south_2023_10	1361	-0.77663483	1.84153408
group	global_south_2023_11	845	-0.75857988	1.61917944
group	global_south_2023_12	486	-0.37860082	1.79250297
group	global_south_2024_01	385	-0.54025974	1.44484174
group	global_south_2024_02	253	-0.55335968	1.45913875
group	global_south_2024_03	292	-0.36643836	1.52391147
group	global_south_2024_04	333	-0.66366366	1.62652184
group	global_south_2024_05	439	-0.55580866	1.63884265
group	global_south_2024_06	300	-0.65000000	1.57769783
group	global_south_2024_07	405	-0.73086420	1.36583507
group	global_south_2024_08	493	-0.58012170	1.21314380
group	global_south_2024_09	393	-1.10178117	2.02907989
group	global_south_2024_10	687	-0.85880640	1.59321824
group	global_south_2024_11	461	-0.30368764	1.41227825
group	global_south_2024_12	322	-0.81677019	1.47268953
group	global_south_2025_01	601	-1.01164725	1.56147285
group	global_south_2025_02	498	-0.85341365	1.93885361
group	global_south_2025_03	398	-0.66080402	1.27878302
group	global_south_2025_04	405	-0.81234568	1.37673228
group	global_south_2025_05	461	-0.92407809	1.43431754
group	global_south_2025_06	481	-0.85239085	1.53874932
