Effect	group	N	Mean fac9	SD fac9
group	global_north_2023_09	25	-0.68000000	0.90000000
group	global_north_2023_10	2864	-0.19308659	0.48814915
group	global_north_2023_11	1996	-0.10320641	0.57462616
group	global_north_2023_12	1113	-0.10601977	0.59030664
group	global_north_2024_01	875	-0.16114286	0.46413579
group	global_north_2024_02	900	-0.14222222	0.43714560
group	global_north_2024_03	880	-0.17840909	0.47339907
group	global_north_2024_04	1037	-0.14946962	0.43919043
group	global_north_2024_05	1213	-0.18219291	0.48299069
group	global_north_2024_06	709	-0.18194640	0.53616249
group	global_north_2024_07	749	-0.19759680	0.50763644
group	global_north_2024_08	768	-0.13281250	0.39628839
group	global_north_2024_09	689	-0.14949202	0.44395540
group	global_north_2024_10	921	-0.14223670	0.44031485
group	global_north_2024_11	1189	-0.60807401	1.43763815
group	global_north_2024_12	873	-0.36655212	1.39408289
group	global_north_2025_01	1651	-0.51968504	1.25193432
group	global_north_2025_02	1649	-0.83808369	1.43503500
group	global_north_2025_03	1249	-0.54603683	1.28152643
group	global_north_2025_04	1110	-0.69369369	1.50917120
group	global_north_2025_05	1663	-0.52675887	1.26713508
group	global_north_2025_06	1349	-0.53817643	1.29117178
group	global_south_2023_09	10	-0.70000000	0.82327260
group	global_south_2023_10	1361	0.12270389	1.16584621
group	global_south_2023_11	845	0.21656805	1.01491720
group	global_south_2023_12	486	0.28806584	1.14303880
group	global_south_2024_01	385	0.00259740	0.90857805
group	global_south_2024_02	253	-0.03557312	0.75771126
group	global_south_2024_03	292	0.11986301	1.07582749
group	global_south_2024_04	333	-0.00300300	0.82687719
group	global_south_2024_05	439	-0.07289294	0.43180471
group	global_south_2024_06	300	0.00333333	0.62016468
group	global_south_2024_07	405	-0.05679012	0.71006524
group	global_south_2024_08	493	-0.06288032	0.68528481
group	global_south_2024_09	393	-0.15012723	0.56275220
group	global_south_2024_10	687	-0.01164483	0.91465780
group	global_south_2024_11	461	-0.09110629	0.70737349
group	global_south_2024_12	322	-0.30124224	1.52014459
group	global_south_2025_01	601	-0.46422629	1.20656597
group	global_south_2025_02	498	-0.58433735	1.27895662
group	global_south_2025_03	398	-0.07537688	0.95982090
group	global_south_2025_04	405	-0.11111111	0.74793445
group	global_south_2025_05	461	-0.14099783	0.97337952
group	global_south_2025_06	481	-0.10602911	0.77135232
