Effect	group	N	Mean fac4	SD fac4
group	global_north_2023_09	25	3.8400000	2.57681975
group	global_north_2023_10	2864	3.1176676	2.31046050
group	global_north_2023_11	1996	4.9408818	4.07061873
group	global_north_2023_12	1113	4.7412399	3.82220381
group	global_north_2024_01	875	4.2845714	3.48355760
group	global_north_2024_02	900	5.4166667	4.81570821
group	global_north_2024_03	880	5.1909091	4.08609386
group	global_north_2024_04	1037	4.2073288	3.41476811
group	global_north_2024_05	1213	4.4122012	3.72573552
group	global_north_2024_06	709	5.6220028	5.36975953
group	global_north_2024_07	749	5.4312417	4.50900895
group	global_north_2024_08	768	5.5351563	4.95232167
group	global_north_2024_09	689	4.7314949	3.80317465
group	global_north_2024_10	921	3.9022801	3.14248676
group	global_north_2024_11	1189	4.9041211	3.73727581
group	global_north_2024_12	873	4.7273769	4.64855651
group	global_north_2025_01	1651	10.1078134	6.75496716
group	global_north_2025_02	1649	9.9302608	6.85870664
group	global_north_2025_03	1249	7.8879103	7.04383638
group	global_north_2025_04	1110	5.3099099	4.72884125
group	global_north_2025_05	1663	5.4034877	4.50539587
group	global_north_2025_06	1349	3.9369904	3.44128842
group	global_south_2023_09	10	3.5000000	2.22361068
group	global_south_2023_10	1361	3.5422483	2.38897910
group	global_south_2023_11	845	5.5230769	4.47462567
group	global_south_2023_12	486	5.7037037	4.22445832
group	global_south_2024_01	385	4.0623377	3.26219822
group	global_south_2024_02	253	7.2252964	5.89664893
group	global_south_2024_03	292	6.1506849	4.98636280
group	global_south_2024_04	333	4.9789790	4.78729898
group	global_south_2024_05	439	5.3621868	5.08723272
group	global_south_2024_06	300	7.0533333	6.87468982
group	global_south_2024_07	405	6.1259259	5.17911308
group	global_south_2024_08	493	6.0324544	5.14060053
group	global_south_2024_09	393	4.8905852	4.42000761
group	global_south_2024_10	687	3.9854440	3.22884558
group	global_south_2024_11	461	4.9956616	3.64512519
group	global_south_2024_12	322	5.2360248	5.04437076
group	global_south_2025_01	601	11.8219634	7.23946937
group	global_south_2025_02	498	11.7248996	7.15245188
group	global_south_2025_03	398	10.7236181	8.40828397
group	global_south_2025_04	405	5.3086420	4.73046262
group	global_south_2025_05	461	6.6030369	5.30019601
group	global_south_2025_06	481	4.2349272	4.03434557
