Effect	group	N	Mean fac2	SD fac2
group	global_north_2023_09	25	6.4000000	5.04975247
group	global_north_2023_10	2864	6.3697626	4.02443729
group	global_north_2023_11	1996	4.1092184	3.36219513
group	global_north_2023_12	1113	4.9559748	4.32813728
group	global_north_2024_01	875	6.5542857	6.31968443
group	global_north_2024_02	900	4.6666667	4.64753215
group	global_north_2024_03	880	3.6772727	3.19384103
group	global_north_2024_04	1037	5.8534233	6.21305454
group	global_north_2024_05	1213	3.5861500	3.12530491
group	global_north_2024_06	709	4.1001410	4.00068673
group	global_north_2024_07	749	5.4939920	5.73795215
group	global_north_2024_08	768	6.7643229	6.92484732
group	global_north_2024_09	689	6.4194485	6.93090687
group	global_north_2024_10	921	6.9229099	6.27066381
group	global_north_2024_11	1189	4.6879731	4.30949523
group	global_north_2024_12	873	4.4295533	4.14362525
group	global_north_2025_01	1651	3.5814658	3.05780599
group	global_north_2025_02	1649	2.9539115	2.42615417
group	global_north_2025_03	1249	3.2786229	3.18362185
group	global_north_2025_04	1110	3.2369369	2.65861744
group	global_north_2025_05	1663	3.3908599	2.95594824
group	global_north_2025_06	1349	3.7398073	3.54973902
group	global_south_2023_09	10	2.9000000	4.77144283
group	global_south_2023_10	1361	7.4695077	4.65366590
group	global_south_2023_11	845	4.9597633	3.85621797
group	global_south_2023_12	486	5.9938272	4.94776456
group	global_south_2024_01	385	6.6129870	6.21769465
group	global_south_2024_02	253	5.3636364	4.40713052
group	global_south_2024_03	292	3.9794521	3.04709693
group	global_south_2024_04	333	7.8438438	7.04714756
group	global_south_2024_05	439	4.9589977	3.72859552
group	global_south_2024_06	300	6.4333333	5.21307421
group	global_south_2024_07	405	6.9481481	6.38413704
group	global_south_2024_08	493	10.7038540	8.29765893
group	global_south_2024_09	393	9.7430025	8.41418919
group	global_south_2024_10	687	10.5094614	7.78853988
group	global_south_2024_11	461	5.6941432	4.47307748
group	global_south_2024_12	322	5.2857143	4.59232540
group	global_south_2025_01	601	4.0449251	3.60226480
group	global_south_2025_02	498	3.5903614	2.46685625
group	global_south_2025_03	398	4.2160804	3.60988605
group	global_south_2025_04	405	3.8691358	2.92567340
group	global_south_2025_05	461	4.1409978	3.21404362
group	global_south_2025_06	481	4.7525988	4.46923727
