Effect	group	N	Mean fac1	SD fac1
group	global_north_2023_09	25	8.3200000	5.6178288
group	global_north_2023_10	2864	8.8104050	6.7870161
group	global_north_2023_11	1996	9.4674349	7.6750053
group	global_north_2023_12	1113	11.4752920	9.4978022
group	global_north_2024_01	875	10.8914286	9.2954730
group	global_north_2024_02	900	11.4711111	9.8685605
group	global_north_2024_03	880	12.1522727	10.0348423
group	global_north_2024_04	1037	10.0626808	8.0186153
group	global_north_2024_05	1213	9.3413026	8.6648593
group	global_north_2024_06	709	9.7799718	8.6301662
group	global_north_2024_07	749	7.2857143	6.8981181
group	global_north_2024_08	768	7.0742188	6.2091712
group	global_north_2024_09	689	6.6328012	5.4912852
group	global_north_2024_10	921	8.0477742	6.8714831
group	global_north_2024_11	1189	8.6047098	7.6564608
group	global_north_2024_12	873	9.9003436	8.6399919
group	global_north_2025_01	1651	8.1708056	6.3532303
group	global_north_2025_02	1649	6.2819891	4.8947586
group	global_north_2025_03	1249	7.2001601	6.2954730
group	global_north_2025_04	1110	8.4459459	7.4006956
group	global_north_2025_05	1663	9.9542995	7.9989668
group	global_north_2025_06	1349	9.1237954	7.3056585
group	global_south_2023_09	10	5.8000000	6.3034382
group	global_south_2023_10	1361	10.3071271	6.9652299
group	global_south_2023_11	845	11.2686391	7.7531540
group	global_south_2023_12	486	12.6213992	8.9602027
group	global_south_2024_01	385	11.3220779	8.8582680
group	global_south_2024_02	253	12.9644269	8.7270515
group	global_south_2024_03	292	13.5000000	9.1206122
group	global_south_2024_04	333	11.2012012	7.6385830
group	global_south_2024_05	439	11.8747153	8.6623772
group	global_south_2024_06	300	12.1600000	8.1306884
group	global_south_2024_07	405	10.6864198	7.7218308
group	global_south_2024_08	493	8.7849899	6.5178318
group	global_south_2024_09	393	10.0585242	6.7837693
group	global_south_2024_10	687	10.7714702	7.7631785
group	global_south_2024_11	461	9.7787419	7.5428388
group	global_south_2024_12	322	11.3571429	8.4178139
group	global_south_2025_01	601	9.2479201	6.3261442
group	global_south_2025_02	498	7.0321285	4.7929958
group	global_south_2025_03	398	9.4472362	7.0650793
group	global_south_2025_04	405	9.3308642	7.3571653
group	global_south_2025_05	461	11.9761388	8.2933627
group	global_south_2025_06	481	11.2411642	7.5746321
