<h>
Lorry	NP	Lorry
driver	NN	driver
'	POS	'
terror	NN	terror
attack	NN	attack
'	''	'
in	IN	in
Israel	NP	Israel
as	IN	as
truck	NN	truck
rams	NNS	ram
into	IN	into
crowded	JJ	crowded
bus	NN	bus
stop	NN	stop
injuring	VBG	injure
at	IN	at
least	JJS	least
35	CD	@card@
people	NNS	people
before	IN	before
being	VBG	be
'	POS	'
shot	NN	shot
and	CC	and
neutralised	VBN	neutralise
'	''	'
by	IN	by
civilians	NNS	civilian
<p>
A	DT	a
truck	NN	truck
driver	NN	driver
rammed	VBD	ram
his	PP$	his
vehicle	NN	vehicle
into	IN	into
a	DT	a
crowd	NN	crowd
of	IN	of
people	NNS	people
at	IN	at
a	DT	a
bus	NN	bus
stop	NN	stop
in	IN	in
central	JJ	central
Israel	NP	Israel
on	IN	on
Sunday	NP	Sunday
,	,	,
injuring	VBG	injure
at	IN	at
least	JJS	least
35	CD	@card@
people	NNS	people
before	IN	before
he	PP	he
was	VBD	be
'	POS	'
shot	NN	shot
and	CC	and
neutralised	VBN	neutralise
'	''	'
in	IN	in
what	WP	what
is	VBZ	be
believed	VBN	believe
to	TO	to
have	VB	have
been	VBN	be
a	DT	a
terror	NN	terror
attack	NN	attack
,	,	,
police	NNS	police
said	VBD	say
.	SENT	.
<p>
At	IN	at
least	JJS	least
35	CD	@card@
people	NNS	people
were	VBD	be
injured	VBN	injure
in	IN	in
the	DT	the
incident	NN	incident
near	IN	near
Glilot	NP	<unknown>
,	,	,
just	RB	just
north	RB	north
of	IN	of
Tel	NP	Tel
Aviv	NP	Aviv
,	,	,
which	WDT	which
took	VBD	take
place	NN	place
just	RB	just
after	IN	after
10am	JJ	<unknown>
local	JJ	local
time	NN	time
(	(	(
8am	JJ	<unknown>
UK	NP	UK
time	NN	time
)	)	)
,	,	,
police	NN	police
said	VBD	say
.	SENT	.
The	DT	the
attack	NN	attack
took	VBD	take
place	NN	place
near	IN	near
the	DT	the
headquarters	NN	headquarters
of	IN	of
Mossad	NP	Mossad
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
shadowy	JJ	shadowy
spy	NN	spy
agency	NN	agency
.	SENT	.
<p>
At	IN	at
least	JJS	least
six	CD	six
people	NNS	people
are	VBP	be
believed	VBN	believe
to	TO	to
have	VB	have
been	VBN	be
seriously	RB	seriously
injured	VBN	injure
,	,	,
with	IN	with
many	JJ	many
Israeli	JJ	Israeli
news	NN	news
outlet	NN	outlet
reporting	VBG	report
that	IN	that
people	NNS	people
were	VBD	be
trapped	VBN	trap
in	IN	in
and	CC	and
around	IN	around
the	DT	the
wreck	NN	wreck
.	SENT	.
