<p>
Thousands	NNS	thousand
of	IN	of
people	NNS	people
took	VBD	take
part	NN	part
in	IN	in
the	DT	the
march	NN	march
organised	VBN	organise
by	IN	by
the	DT	the
Palestine	NP	Palestine
Solidarity	NP	Solidarity
Campaign	NP	Campaign
on	IN	on
Saturday	NP	Saturday
.	SENT	.
<p>
The	DT	the
Metropolitan	NP	Metropolitan
Police	NP	Police
said	VBD	say
two	CD	two
people	NNS	people
were	VBD	be
arrested	VBN	arrest
on	IN	on
suspicion	NN	suspicion
of	IN	of
supporting	VBG	support
a	DT	a
proscribed	VBN	proscribe
organisation	NN	organisation
,	,	,
one	CD	one
of	IN	of
which	WDT	which
included	VBD	include
a	DT	a
protester	NN	protester
wearing	VBG	wear
what	WP	what
looked	VBD	look
to	TO	to
be	VB	be
a	DT	a
parachute	NN	parachute
.	SENT	.
<p>
There	EX	there
were	VBD	be
eight	CD	eight
arrests	NNS	arrest
on	IN	on
suspicion	NN	suspicion
of	IN	of
public	JJ	public
order	NN	order
offences	NNS	offence
--	:	--
three	CD	three
of	IN	of
which	WDT	which
were	VBD	be
allegedly	RB	allegedly
racially	RB	racially
aggravated	VBN	aggravate
.	SENT	.
<p>
Meanwhile	RB	meanwhile
,	,	,
three	CD	three
people	NNS	people
were	VBD	be
arrested	VBN	arrest
on	IN	on
suspicion	NN	suspicion
of	IN	of
assaulting	VBG	assault
an	DT	an
emergency	NN	emergency
worker	NN	worker
,	,	,
three	CD	three
arrested	VBN	arrest
on	IN	on
suspicion	NN	suspicion
of	IN	of
assault	NN	assault
and	CC	and
one	CD	one
person	NN	person
was	VBD	be
arrested	VBN	arrest
on	IN	on
suspicion	NN	suspicion
of	IN	of
breaching	VBG	breach
a	DT	a
Public	NP	Public
Order	NP	Order
Act	NP	Act
condition	NN	condition
.	SENT	.
<p>
A	DT	a
number	NN	number
of	IN	of
people	NNS	people
were	VBD	be
detained	VBN	detain
when	WRB	when
protesters	NNS	protester
attempted	VBD	attempt
to	TO	to
get	VB	get
past	JJ	past
officers	NNS	officer
who	WP	who
had	VBD	have
formed	VBN	form
a	DT	a
cordon	NN	cordon
to	TO	to
stop	VB	stop
any	DT	any
groups	NNS	group
breaking	VBG	break
away	RB	away
from	IN	from
the	DT	the
main	JJ	main
march	NN	march
.	SENT	.
<p>
To	TO	to
view	VB	view
this	DT	this
video	JJ	video
please	UH	please
enable	VB	enable
JavaScript	NN	<unknown>
,	,	,
and	CC	and
consider	VBP	consider
upgrading	VBG	upgrade
to	TO	to
a	DT	a
web	NN	web
browser	NN	browser
that	WDT	that
supports	VBZ	support
HTML5	JJ	<unknown>
video	NN	video
<h>
Up	IN	up
Next	NP	Next
<p>
A	NP	A
'	POS	'
significant	JJ	significant
