<h>
Recommended	JJ	recommended
<h>
Columbia	NP	Columbia
University	NP	University
student-vets	NNS	<unknown>
turn	VBP	turn
out	RP	out
to	TO	to
face	VB	face
down	RP	down
anti-veterans	NNS	anti-veteran
'	''	'
'	''	'
Martyrs	VBZ	martyr
Day	NP	Day
'	POS	'
protest	NN	protest
<p>
A	DT	a
vile	JJ	vile
Columbia	NP	Columbia
University	NP	University
student	NN	student
demonstration	NN	demonstration
seeking	VBG	seek
to	TO	to
"	``	"
reclaim	VB	reclaim
"	''	"
Veterans	NP	Veterans
Day	NP	Day
in	IN	in
the	DT	the
name	NN	name
of	IN	of
Palestinians	NNS	Palestinian
killed	VBN	kill
in	IN	in
Gaza	NP	Gaza
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
a	DT	a
far	JJ	far
cry	NN	cry
from	IN	from
the	DT	the
protests	NNS	protest
that	WDT	that
raged	VBD	rage
on	IN	on
campus	NN	campus
last	JJ	last
year	NN	year
--	:	--
as	IN	as
student-vets	NNS	<unknown>
showed	VBD	show
up	RP	up
to	TO	to
face	VB	face
down	RP	down
the	DT	the
agitators	NNS	agitator
and	CC	and
demonstrate	VB	demonstrate
their	PP$	their
pride	NN	pride
.	SENT	.
<p>
About	IN	about
30	CD	@card@
Columbia	NP	Columbia
students	NNS	student
and	CC	and
student-vets	NNS	<unknown>
gathered	VBN	gather
at	IN	at
the	DT	the
campus	NN	campus
sundial	NN	sundial
Monday	NP	Monday
morning	NN	morning
,	,	,
planting	VBG	plant
American	JJ	American
flags	NNS	flag
in	IN	in
the	DT	the
exact	JJ	exact
spot	NN	spot
the	DT	the
so-called	JJ	so-called
"	''	"
Martyrs	VBZ	martyr
Day	NP	Day
"	``	"
demonstration	NN	demonstration
was	VBD	be
scheduled	VBN	schedule
to	TO	to
take	VB	take
place	VB	place
an	DT	an
hour	NN	hour
later	RBR	later
.	SENT	.
<p>
There	RB	there
they	PP	they
tossed	VBD	toss
a	DT	a
football	NN	football
,	,	,
played	VBD	play
music	NN	music
and	CC	and
kept	VBD	keep
up	RP	up
a	DT	a
festive	JJ	festive
atmosphere	NN	atmosphere
,	,	,
while	IN	while
across	IN	across
the	DT	the
quad	NN	quad
a	DT	a
small	JJ	small
contingent	NN	contingent
of	IN	of
detractors	NNS	detractor
sat	VBN	sit
on	IN	on
the	DT	the
lawn	NN	lawn
in	IN	in
front	NN	front
of	IN	of
the	DT	the
school	NN	school
'	POS	'
s	NN	S
library	NN	library
.	SENT	.
<p>
"	``	"
The	DT	the
main	JJ	main
goal	NN	goal
was	VBD	be
to	TO	to
take	VB	take
oxygen	NN	oxygen
away	RB	away
from	IN	from
it	PP	it
and	CC	and
focus	VB	focus
on	IN	on
the	DT	the
veterans	NNS	veteran
who	WP	who
are	VBP	be
celebrating	VBG	celebrate
Veterans	NPS	Veterans
Day	NP	Day
at	IN	at
the	DT	the
Veterans	NPS	Veterans
Day	NP	Day
Parade	NP	Parade
,	,	,
"	''	"
said	VBD	say
31-year-old	JJ	31-year-old
Sam	NP	Sam
Nahins	NP	<unknown>
,	,	,
an	DT	an
Air	NP	Air
Force	NP	Force
veteran	NN	veteran
and	CC	and
Columbia	NP	Columbia
grad	NN	grad
student	NN	student
who	WP	who
helped	VBD	help
