<p>
Pro-Palestinian	NP	Pro-Palestinian
protesters	NNS	protester
condemned	VBD	condemn
Trinity	NP	Trinity
College	NP	College
'	POS	'
s	NN	S
"	``	"
complicity	NN	complicity
in	IN	in
genocide	NN	genocide
"	''	"
yesterday	NN	yesterday
afternoon	NN	afternoon
(	(	(
17/11	CD	@card@
)	)	)
,	,	,
after	IN	after
the	DT	the
College	NP	College
backtracked	VBD	backtrack
on	IN	on
divesting	VBG	divest
from	IN	from
arms	NNS	arm
.	SENT	.
<p>
The	DT	the
"	``	"
Emergency	NP	Emergency
Rally	NP	Rally
"	''	"
yesterday	NN	yesterday
afternoon	NN	afternoon
was	VBD	be
organised	VBN	organise
to	TO	to
express	VB	express
"	``	"
anger	NN	anger
"	''	"
at	IN	at
Trinity	NP	Trinity
'	POS	'
s	NN	S
"	``	"
betrayal	NN	betrayal
"	''	"
of	IN	of
their	PP$	their
promises	NNS	promise
to	TO	to
divest	VB	divest
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
here	RB	here
today	NN	today
because	IN	because
the	DT	the
Master	NP	Master
of	IN	of
this	DT	this
college	NN	college
has	VBZ	have
decided	VBN	decide
it	PP	it
'	POS	'
s	NN	S
okay	JJ	okay
to	TO	to
invest	VB	invest
in	IN	in
arms	NNS	arm
,	,	,
"	''	"
one	CD	one
speaker	NN	speaker
said	VBD	say
.	SENT	.
"	''	"
Trinity	NP	Trinity
,	,	,
how	WRB	how
dare	VBP	dare
you	PP	you
invest	VB	invest
in	IN	in
arms	NNS	arm
companies	NNS	company
which	WDT	which
kill	VBP	kill
children	NNS	child
"	''	"
.	SENT	.
<p>
The	DT	the
speaker	NN	speaker
accused	VBN	accuse
Trinity	NP	Trinity
of	IN	of
refusing	VBG	refuse
to	TO	to
listen	VB	listen
to	TO	to
students	NNS	student
,	,	,
academics	NNS	academic
,	,	,
and	CC	and
faculties	NNS	faculty
who	WP	who
"	``	"
do	VBP	do
not	RB	not
support	VB	support
the	DT	the
College	NP	College
'	POS	'
s	JJ	<unknown>
genocide	NN	genocide
"	''	"
,	,	,
and	CC	and
accused	VBD	accuse
the	DT	the
College	NP	College
of	IN	of
having	VBG	have
"	``	"
not	RB	not
only	JJ	only
blood	NN	blood
on	IN	on
their	PP$	their
hands	NNS	hand
,	,	,
but	CC	but
blood	NN	blood
all	RB	all
over	IN	over
them	PP	them
"	''	"
.	SENT	.
<p>
It	PP	it
was	VBD	be
reported	VBN	report
last	JJ	last
term	NN	term
that	IN	that
Trinity	NP	Trinity
College	NP	College
had	VBD	have
decided	VBN	decide
to	TO	to
divest	VB	divest
from	IN	from
arms	NNS	arm
,	,	,
with	IN	with
senior	JJ	senior
members	NNS	member
of	IN	of
the	DT	the
College	NP	College
allegedly	RB	allegedly
telling	VBG	tell
the	DT	the
Trinity	NP	Trinity
College	NP	College
Student	NP	Student
Union	NP	Union
(	(	(
TCSU	NP	<unknown>
)	)	)
that	IN	that
"	``	"
Trinity	NP	Trinity
will	MD	will
be	VB	be
and	CC	and
is	VBZ	be
in	IN	in
the	DT	the
process	NN	process
of	IN	of
divesting	VBG	divest
"	''	"
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Master	NP	Master
of	IN	of
Trinity	NP	Trinity
had	VBD	have
said	VBN	say
in	IN	in
a	DT	a
recent	JJ	recent
meeting	NN	meeting
with	IN	with
the	DT	the
TCSU	NP	<unknown>
that	IN	that
the	DT	the
College	NP	College
had	VBD	have
"	``	"
no	DT	no
interest	NN	interest
in	IN	in
divesting	VBG	divest
from	IN	from
arms	NNS	arm
companies	NNS	company
"	''	"
.	SENT	.
The	DT	the
Master	NP	Master
,	,	,
Dame	NP	Dame
Sally	NP	Sally
Davies	NP	Davies
,	,	,
said	VBD	say
there	EX	there
was	VBD	be
a	DT	a
"	``	"
consensus	NN	consensus
"	''	"
in	IN	in
the	DT	the
College	NP	College
against	IN	against
cutting	VBG	cut
ties	NNS	tie
from	IN	from
the	DT	the
weapons	NNS	weapon
industry	NN	industry
.	SENT	.
<p>
Freedom	NN	freedom
of	IN	of
information	NN	information
requests	NNS	request
seen	VBN	see
by	IN	by
Varsity	NN	varsity
show	VBP	show
the	DT	the
College	NP	College
has	VBZ	have
maintained	VBN	maintain
investments	NNS	investment
in	IN	in
multiple	JJ	multiple
arms	NNS	arm
companies	NNS	company
.	SENT	.
This	DT	this
includes	VBZ	include
Elbit	NP	Elbit
Systems	NP	Systems
which	WDT	which
produces	VBZ	produce
85	CD	@card@
%	NN	%
of	IN	of
the	DT	the
drones	NNS	drone
and	CC	and
land-based	JJ	land-based
equipment	NN	equipment
used	VBN	use
by	IN	by
the	DT	the
Israeli	JJ	Israeli
army	NN	army
.	SENT	.
<p>
One	CD	one
student	NN	student
speaker	NN	speaker
expressed	VBD	express
their	PP$	their
anger	NN	anger
at	IN	at
Trinity	NP	Trinity
'	POS	'
s	JJ	<unknown>
failure	NN	failure
to	TO	to
divest	VB	divest
.	SENT	.
"	``	"
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
so	RB	so
hard	JJ	hard
to	TO	to
get	VB	get
Trinity	NP	Trinity
to	TO	to
divest	VB	divest
,	,	,
"	''	"
they	PP	they
said	VBD	say
,	,	,
"	``	"
but	CC	but
they	PP	they
do	VBP	do
n't	RB	n't
understand	VB	understand
that	IN	that
people	NNS	people
are	VBP	be
dying	VBG	die
,	,	,
and	CC	and
enough	RB	enough
is	VBZ	be
enough	JJ	enough
"	''	"
.	SENT	.
<p>
Protesters	NNS	protester
gathered	VBD	gather
outside	IN	outside
the	DT	the
College	NP	College
chanted	VBD	chant
"	``	"
how	WRB	how
many	JJ	many
kids	NNS	kid
have	VBP	have
you	PP	you
killed	VBN	kill
today	NN	today
,	,	,
"	''	"
and	CC	and
accused	VBD	accuse
Trinity	NP	Trinity
of	IN	of
"	``	"
committing	VBG	commit
war	NN	war
crimes	NNS	crime
in	IN	in
our	PP$	our
name	NN	name
"	''	"
.	SENT	.
<p>
This	DT	this
comes	VBZ	come
just	RB	just
two	CD	two
weeks	NNS	week
after	IN	after
pro-Palestinian	NP	pro-Palestinian
protesters	NNS	protester
burned	VBD	burn
a	DT	a
copy	NN	copy
of	IN	of
the	DT	the
Balfour	NP	Balfour
declaration	NN	declaration
outside	IN	outside
Trinity	NP	Trinity
--	:	--
a	DT	a
document	NN	document
which	WDT	which
announced	VBD	announce
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	''	"
.	SENT	.
<p>
Demonstrators	NNS	demonstrator
at	IN	at
the	DT	the
Balfour	NP	Balfour
protest	NN	protest
,	,	,
which	WDT	which
took	VBD	take
place	NN	place
on	IN	on
Sunday	NP	Sunday
3	CD	@card@
November	NP	November
,	,	,
told	VBD	tell
Trinity	NP	Trinity
to	TO	to
"	``	"
taste	VB	taste
the	DT	the
fire	NN	fire
you	PP	you
inflict	VBP	inflict
upon	IN	upon
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
"	''	"
as	IN	as
the	DT	the
declaration	NN	declaration
burned	VBD	burn
.	SENT	.
<p>
"	''	"
We	PP	we
condemned	VBD	condemn
the	DT	the
Balfour	NP	Balfour
declaration	NN	declaration
here	RB	here
two	CD	two
weeks	NNS	week
ago	RB	ago
,	,	,
"	''	"
one	CD	one
speaker	NN	speaker
said	VBD	say
at	IN	at
yesterday	NN	yesterday
'	POS	'
s	NN	S
protest	NN	protest
,	,	,
"	''	"
and	CC	and
on	IN	on
Friday	NP	Friday
we	PP	we
find	VBP	find
out	RP	out
the	DT	the
Master	NP	Master
of	IN	of
this	DT	this
college	NN	college
said	VBD	say
arms	NNS	arm
investment	NN	investment
is	VBZ	be
okay	JJ	okay
"	''	"
.	SENT	.
<p>
Trinity	NP	Trinity
is	VBZ	be
the	DT	the
richest	JJS	rich
of	IN	of
the	DT	the
Oxford	NP	Oxford
and	CC	and
Cambridge	NP	Cambridge
colleges	NNS	college
,	,	,
with	IN	with
an	DT	an
endowment	NN	endowment
of	IN	of
over	RB	over
?	SENT	?
2	CD	@card@
billion	NNS	billion
.	SENT	.
Its	PP$	its
investment	NN	investment
in	IN	in
multiple	JJ	multiple
arms	NNS	arm
companies	NNS	company
has	VBZ	have
been	VBN	be
a	DT	a
point	NN	point
of	IN	of
contention	NN	contention
--	:	--
many	JJ	many
feature	NN	feature
on	IN	on
the	DT	the
Boycott	NN	boycott
,	,	,
Divestment	NN	divestment
&amp	NNS	<unknown>
;	:	;
Sanctions	NNS	sanction
(	(	(
BDS	NP	BDS
)	)	)
Movement	NP	Movement
list	NN	list
,	,	,
which	WDT	which
urges	VBZ	urge
individuals	NNS	individual
to	TO	to
cut	VB	cut
ties	NNS	tie
with	IN	with
companies	NNS	company
associated	VBN	associate
with	IN	with
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Trinity	NP	Trinity
College	NP	College
was	VBD	be
contacted	VBN	contact
for	IN	for
comment	NN	comment
.	SENT	.
<p>
Support	NN	support
Varsity	NN	varsity
<p>
Varsity	NN	varsity
is	VBZ	be
the	DT	the
independent	JJ	independent
newspaper	NN	newspaper
for	IN	for
the	DT	the
University	NP	University
of	IN	of
Cambridge	NP	Cambridge
,	,	,
established	VBN	establish
in	IN	in
its	PP$	its
current	JJ	current
form	NN	form
in	IN	in
1947	CD	@card@
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
maintain	VB	maintain
our	PP$	our
editorial	JJ	editorial
independence	NN	independence
,	,	,
our	PP$	our
print	NN	print
newspaper	NN	newspaper
and	CC	and
news	NN	news
website	NN	website
receives	VBZ	receive
no	DT	no
funding	NN	funding
from	IN	from
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
are	VBP	be
therefore	RB	therefore
almost	RB	almost
entirely	RB	entirely
reliant	JJ	reliant
on	IN	on
advertising	NN	advertising
for	IN	for
funding	NN	funding
and	CC	and
we	PP	we
expect	VBP	expect
to	TO	to
have	VB	have
a	DT	a
tough	JJ	tough
few	JJ	few
months	NNS	month
and	CC	and
years	NNS	year
ahead	RB	ahead
.	SENT	.
<p>
In	IN	in
spite	NN	spite
of	IN	of
this	DT	this
situation	NN	situation
,	,	,
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
look	VB	look
at	IN	at
inventive	JJ	inventive
ways	NNS	way
to	TO	to
look	VB	look
at	IN	at
serving	VBG	serve
our	PP$	our
readership	NN	readership
with	IN	with
digital	JJ	digital
content	NN	content
and	CC	and
of	IN	of
course	NN	course
in	IN	in
print	NN	print
too	RB	too
!	SENT	!
<p>
Therefore	RB	therefore
we	PP	we
are	VBP	be
asking	VBG	ask
our	PP$	our
readers	NNS	reader
,	,	,
if	IN	if
they	PP	they
wish	VBP	wish
,	,	,
to	TO	to
make	VB	make
a	DT	a
donation	NN	donation
from	IN	from
as	RB	as
little	JJ	little
as	RB	as
?	SENT	?
1	CD	@card@
,	,	,
to	TO	to
help	VB	help
with	IN	with
our	PP$	our
running	VBG	run
costs	NNS	cost
.	SENT	.
Many	JJ	many
thanks	NNS	thanks
,	,	,
we	PP	we
hope	VBP	hope
you	PP	you
can	MD	can
help	VB	help
!	SENT	!
