<p>
ISLAMABAD-Islamabad	NP	ISLAMABAD-Islamabad
police	NNS	police
have	VBP	have
apprehended	VBN	apprehend
scores	NNS	score
of	IN	of
leaders	NNS	leader
and	CC	and
activists	NNS	activist
of	IN	of
Jamaat-e-Islami	NP	<unknown>
(	(	(
JI	NP	Ji
)	)	)
for	IN	for
attempting	VBG	attempt
to	TO	to
block	VB	block
Srinagar	NP	Srinagar
Highway	NP	Highway
during	IN	during
a	DT	a
protest	NN	protest
against	IN	against
Israel	NP	Israel
for	IN	for
bombing	NN	bombing
on	IN	on
Gaza	NP	Gaza
martyring	VBG	martyr
hundreds	NNS	hundred
of	IN	of
Palestinians	NPS	Palestinians
including	VBG	include
children	NNS	child
.	SENT	.
The	DT	the
police	NN	police
allegedly	RB	allegedly
uprooted	VBD	uproot
the	DT	the
protest/	JJ	<unknown>
aid	NN	aid
camps	NNS	camp
of	IN	of
JI	NP	Ji
from	IN	from
various	JJ	various
parts	NNS	part
of	IN	of
capital	NN	capital
city	NN	city
.	SENT	.
The	DT	the
Islamabad	NP	Islamabad
police	NN	police
also	RB	also
resorted	VBN	resort
to	TO	to
teargas	NNS	<unknown>
shelling	VBG	shell
to	TO	to
disperse	VB	disperse
the	DT	the
JI	NP	Ji
leaders	NNS	leader
and	CC	and
activists	NNS	activist
,	,	,
subsequently	RB	subsequently
reopening	VBG	reopen
the	DT	the
Srinagar	NP	Srinagar
Highway	NP	Highway
for	IN	for
traffic	NN	traffic
movement	NN	movement
.	SENT	.
The	DT	the
detained	VBN	detain
workers	NNS	worker
and	CC	and
leaders	NNS	leader
were	VBD	be
shifted	VBN	shift
to	TO	to
different	JJ	different
police	NN	police
stations	NNS	station
by	IN	by
police	NNS	police
while	IN	while
sparking	VBG	spark
an	DT	an
unrest	NN	unrest
along	IN	along
top	JJ	top
leadership	NN	leadership
of	IN	of
JI	NP	Ji
who	WP	who
marched	VBD	march
on	IN	on
roads	NNS	road
against	IN	against
police	NN	police
atrocities	NNS	atrocity
.	SENT	.
A	DT	a
senior	JJ	senior
officer	NN	officer
of	IN	of
Islamabad	NP	Islamabad
police	NNS	police
told	VBD	tell
media	NNS	medium
that	IN	that
the	DT	the
district	NN	district
government	NN	government
had	VBD	have
ordered	VBN	order
police	NNS	police
for	IN	for
action	NN	action
against	IN	against
JI	NP	Ji
leaders	NNS	leader
and	CC	and
workers	NNS	worker
as	IN	as
the	DT	the
were	VBD	be
planning	VBG	plan
to	TO	to
hold	VB	hold
"	``	"
Gaza	NP	Gaza
March	NP	March
"	''	"
outside	IN	outside
the	DT	the
US	NP	US
Embassy	NP	Embassy
in	IN	in
diplomatic	JJ	diplomatic
enclave	NN	enclave
.	SENT	.
It	PP	it
may	MD	may
be	VB	be
noted	VBN	note
that	IN	that
Ameer	NP	Ameer
JI	NP	Ji
Pakistan	NP	Pakistan
Siraj-Ul-Haq	NP	Siraj-Ul-Haq
had	VBD	have
announced	VBN	announce
a	DT	a
protest	NN	protest
in	IN	in
front	NN	front
of	IN	of
US	NP	US
Embassy	NP	Embassy
in	IN	in
Islamabad	NP	Islamabad
today	NN	today
(	(	(
Sunday	NP	Sunday
)	)	)
to	TO	to
show	VB	show
solidarity	NN	solidarity
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
who	WP	who
are	VBP	be
facing	VBG	face
history	NN	history
'	POS	'
s	JJ	<unknown>
worst	JJS	bad
bombing	NN	bombing
by	IN	by
the	DT	the
Isreali	NP	Isreali
Defence	NN	defence
Force	NP	Force
.	SENT	.
According	VBG	accord
to	TO	to
details	NNS	detail
,	,	,
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
held	VBN	hold
scores	NNS	score
of	IN	of
its	PP$	its
leaders	NNS	leader
and	CC	and
activists	NNS	activist
during	IN	during
a	DT	a
massive	JJ	massive
action	NN	action
in	IN	in
capital	NN	capital
city	NN	city
.	SENT	.
The	DT	the
police	NN	police
had	VBD	have
taken	VBN	take
this	DT	this
action	NN	action
against	IN	against
JI	NP	Ji
leaders	NNS	leader
following	VBG	follow
orders	NNS	order
of	IN	of
district	NN	district
government	NN	government
for	IN	for
not	RB	not
relocating	VBG	relocate
their	PP$	their
planned	JJ	planned
protest	NN	protest
in	IN	in
front	NN	front
of	IN	of
the	DT	the
US	NP	US
Embassy	NP	Embassy
.	SENT	.
During	IN	during
a	DT	a
clampdown	NN	clampdown
,	,	,
scores	NNS	score
of	IN	of
leaders	NNS	leader
and	CC	and
activists	NNS	activist
of	IN	of
JI	NP	Ji
were	VBD	be
arrested	VBN	arrest
by	IN	by
the	DT	the
police	NN	police
.	SENT	.
Reportedly	RB	reportedly
,	,	,
police	NN	police
baton	NN	baton
charged	VBN	charge
to	TO	to
dispurse	VB	dispurse
the	DT	the
protestors	NNS	protestor
.	SENT	.
Nonetheless	RB	nonetheless
,	,	,
JI	NP	Ji
chief	JJ	chief
Siraj	NP	<unknown>
ul	NN	ul
Haq	NP	Haq
had	VBD	have
announced	VBN	announce
the	DT	the
"	``	"
Gaza	NP	Gaza
March	NP	March
"	''	"
to	TO	to
be	VB	be
taken	VBN	take
out	RP	out
in	IN	in
front	NN	front
of	IN	of
the	DT	the
US	NP	US
Embassy	NP	Embassy
today	NN	today
(	(	(
Sunday	NP	Sunday
)	)	)
in	IN	in
any	DT	any
cost	NN	cost
.	SENT	.
However	RB	however
,	,	,
the	DT	the
administration	NN	administration
denied	VBD	deny
permission	NN	permission
to	TO	to
