<p>
Jason	NP	Jason
,	,	,
"	''	"
he	PP	he
explained	VBD	explain
,	,	,
adding	VBG	add
:	:	:
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
political	JJ	political
,	,	,
which	WDT	which
it	PP	it
is	VBZ	be
n't	RB	n't
.	SENT	.
"	''	"
<p>
Indeed	RB	indeed
,	,	,
Isaacs	NP	Isaacs
was	VBD	be
keen	JJ	keen
not	RB	not
to	TO	to
mix	VB	mix
his	PP$	his
advocacy	NN	advocacy
for	IN	for
hostages	NNS	hostage
with	IN	with
the	DT	the
fraught	JJ	fraught
debate	NN	debate
over	IN	over
the	DT	the
Gaza	NP	Gaza
War	NP	War
more	RBR	more
generally	RB	generally
.	SENT	.
<p>
He	PP	he
also	RB	also
urged	VBD	urge
anyone	NN	anyone
considering	VBG	consider
to	TO	to
weigh	VB	weigh
in	IN	in
on	IN	on
the	DT	the
matter	NN	matter
not	RB	not
to	TO	to
neglect	VB	neglect
the	DT	the
complexity	NN	complexity
of	IN	of
the	DT	the
issue	NN	issue
in	IN	in
favour	NN	favour
of	IN	of
slogans	NNS	slogan
and	CC	and
talking	VBG	talk
points	NNS	point
,	,	,
saying	VBG	say
:	:	:
"	``	"
Where	WRB	where
I	PP	I
am	VBP	be
is	VBZ	be
either	RB	either
a	DT	a
full	JJ	full
magazine	NN	magazine
or	CC	or
no	DT	no
comment	NN	comment
about	IN	about
it	PP	it
,	,	,
because	IN	because
two	CD	two
or	CC	or
three	CD	three
sentences	NNS	sentence
in	IN	in
a	DT	a
profile	NN	profile
are	VBP	be
not	RB	not
enough	JJ	enough
to	TO	to
deal	VB	deal
with	IN	with
the	DT	the
issues	NNS	issue
.	SENT	.
<p>
"	''	"
So	RB	so
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
more	RBR	more
nuanced	JJ	nuanced
arguments	NNS	argument
about	IN	about
Netanyahu	NP	<unknown>
and	CC	and
the	DT	the
right-wing	JJ	right-wing
lunatics	NNS	lunatic
in	IN	in
the	DT	the
cabinet	NN	cabinet
,	,	,
or	CC	or
whether	IN	whether
the	DT	the
IDF	NP	IDF
is	VBZ	be
or	CC	or
is	VBZ	be
n't	RB	n't
doing	VBG	do
things	NNS	thing
,	,	,
or	CC	or
this	DT	this
new	JJ	new
Gaza	NP	Gaza
Humanitarian	JJ	humanitarian
Foundation	NP	Foundation
is	VBZ	be
or	CC	or
is	VBZ	be
n't	RB	n't
handing	VBG	hand
out	RP	out
food	NN	food
correctly	RB	correctly
,	,	,
or	CC	or
whether	IN	whether
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
press	NN	press
releases	NNS	release
should	MD	should
be	VB	be
printed	VBN	print
as	IN	as
fact	NN	fact
,	,	,
and	CC	and
whether	IN	whether
there	EX	there
are	VBP	be
n't	RB	n't
journalists	NNS	journalist
in	IN	in
there	RB	there
--	:	--
there	EX	there
are	VBP	be
so	RB	so
many	JJ	many
complicated	JJ	complicated
arguments	NNS	argument
.	SENT	.
<p>
"	``	"
It	PP	it
is	VBZ	be
n't	RB	n't
a	DT	a
